,score,p_value,cointegrated,critical_values
mid_binance_mid_coinbase,-2.9974402931049977,0.11081518837074511,False,[-3.90376596 -3.34021188 -3.04728245]
mid_binance_mid_kraken,-3.0297255458044954,0.10330769373746873,False,[-3.90376596 -3.34021188 -3.04728245]
mid_binance_mid_okx,-3.322873239715462,0.05166812109669805,False,[-3.90376596 -3.34021188 -3.04728245]
mid_binance_mid_bybit,-3.0451083993143966,0.09986854737309203,False,[-3.90376596 -3.34021188 -3.04728245]
mid_binance_mid_binance_diff,-3.1748372618144636,0.07423761297456487,False,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_mid_coinbase_diff,-3.0232308715220935,0.10478626533536212,False,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_mid_kraken_diff,-3.006574192138537,0.10865107633785759,False,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_mid_okx_diff,-3.023274108779565,0.10477636955898922,False,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_mid_bybit_diff,-3.0114555031910255,0.10750758289564438,False,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_mid_kraken,-1.844864013558183,0.607685343883759,False,[-3.90376596 -3.34021188 -3.04728245]
mid_coinbase_mid_okx,-2.0013016975035978,0.5279013669388463,False,[-3.90376596 -3.34021188 -3.04728245]
mid_coinbase_mid_bybit,-1.9457142358707944,0.5566551139960119,False,[-3.90376596 -3.34021188 -3.04728245]
mid_coinbase_mid_binance_diff,-2.023169845982256,0.5165148589409775,False,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_mid_coinbase_diff,-1.4353270972485164,0.7851478202332084,False,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_mid_kraken_diff,-2.02129832413906,0.5174905330318805,False,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_mid_okx_diff,-2.0257646011759585,0.5151618211992979,False,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_mid_bybit_diff,-2.0255776218664887,0.5152593339768794,False,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_mid_okx,-1.935863518671753,0.5617131511043585,False,[-3.90376596 -3.34021188 -3.04728245]
mid_kraken_mid_bybit,-3.302461596830775,0.05439780364773328,False,[-3.90376596 -3.34021188 -3.04728245]
mid_kraken_mid_binance_diff,-1.9062889496071658,0.5768137697923243,False,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_mid_coinbase_diff,-1.8897975026940073,0.5851723993917228,False,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_mid_kraken_diff,-1.7793216875349176,0.639710839900764,False,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_mid_okx_diff,-1.888905065224049,0.585623357238417,False,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_mid_bybit_diff,-1.8997744085004724,0.5801212801409598,False,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_mid_bybit,-2.251586518334032,0.39794277165411085,False,[-3.90376596 -3.34021188 -3.04728245]
mid_okx_mid_binance_diff,-2.133465177828446,0.4588914760851193,False,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_mid_coinbase_diff,-2.1347629626440336,0.4582147481691438,False,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_mid_kraken_diff,-2.1350399622603216,0.45807031918702223,False,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_mid_okx_diff,-1.9713427414554467,0.5434385403626266,False,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_mid_bybit_diff,-2.0232115740960923,0.5164931027080375,False,[-3.90377086 -3.34021461 -3.04728435]
mid_bybit_mid_binance_diff,-0.6637972930507061,0.9504053679364567,False,[-3.90377086 -3.34021461 -3.04728435]
mid_bybit_mid_coinbase_diff,-0.6649167321653255,0.9502929919484954,False,[-3.90377086 -3.34021461 -3.04728435]
mid_bybit_mid_kraken_diff,-0.6656508852442681,0.9502191540168904,False,[-3.90377086 -3.34021461 -3.04728435]
mid_bybit_mid_okx_diff,-0.6683132056729584,0.9499504616713599,False,[-3.90377086 -3.34021461 -3.04728435]
mid_bybit_mid_bybit_diff,-0.5770163482539749,0.9583744764519346,False,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_diff_mid_coinbase_diff,-11.408327247890512,8.843565867326887e-20,True,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_diff_mid_kraken_diff,-8.403524449558061,2.889208324455676e-12,True,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_diff_mid_okx_diff,-11.411157126240921,8.7090028318212e-20,True,[-3.90377086 -3.34021461 -3.04728435]
mid_binance_diff_mid_bybit_diff,-11.595525550844581,3.2287860541296103e-20,True,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_diff_mid_kraken_diff,-10.605260750149352,7.660357649327101e-18,True,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_diff_mid_okx_diff,-10.619425920880468,7.068675851588869e-18,True,[-3.90377086 -3.34021461 -3.04728435]
mid_coinbase_diff_mid_bybit_diff,-10.602529545184193,7.780059212723391e-18,True,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_diff_mid_okx_diff,-9.243081611476489,2.0820980709300033e-14,True,[-3.90377086 -3.34021461 -3.04728435]
mid_kraken_diff_mid_bybit_diff,-7.855376774427199,6.958333797576678e-11,True,[-3.90377086 -3.34021461 -3.04728435]
mid_okx_diff_mid_bybit_diff,-11.946593793432134,5.0735677045163965e-21,True,[-3.90377086 -3.34021461 -3.04728435]
