,adf_statistic,p_value,stationary
mid_binance,-3.030392944575932,0.03215192398707284,True
mid_coinbase,-1.985707261328982,0.2928749146930657,False
mid_kraken,-1.8672450797520075,0.34762340962901045,False
mid_okx,-2.1316275399512925,0.23198860482199807,False
mid_bybit,-0.6447951951204762,0.8605355743647581,False
mid_binance_diff,-11.401828203979523,7.615014200860323e-21,True
mid_coinbase_diff,-10.630282750427838,5.235888290738873e-19,True
mid_kraken_diff,-8.241263980563286,5.708758645951424e-13,True
mid_okx_diff,-10.621673948827025,5.495063693061826e-19,True
mid_bybit_diff,-8.896284582109047,1.2044925934284264e-14,True
