,p_value,significant,lags_tested
mid_binance_causes_mid_coinbase,0.8818609642387873,False,5
mid_binance_causes_mid_kraken,0.018453804910219397,True,5
mid_binance_causes_mid_okx,0.0020535272255799864,True,5
mid_binance_causes_mid_bybit,0.003042901718501982,True,5
mid_binance_causes_mid_binance_lag_1,0.008901071190919535,True,5
mid_binance_causes_mid_binance_lag_2,0.007292088085138919,True,5
mid_binance_causes_mid_binance_lag_3,0.002607093017087739,True,5
mid_binance_causes_mid_binance_lag_4,0.0009507175856780229,True,5
mid_binance_causes_mid_binance_lag_5,1.4504781562533286e-05,True,5
mid_binance_causes_mid_coinbase_lag_1,0.9790853280559223,False,5
mid_binance_causes_mid_coinbase_lag_2,0.9581619056700253,False,5
mid_binance_causes_mid_coinbase_lag_3,0.8564662020473015,False,5
mid_binance_causes_mid_coinbase_lag_4,0.8747201798336423,False,5
mid_binance_causes_mid_coinbase_lag_5,0.882772472433781,False,5
mid_binance_causes_mid_kraken_lag_1,0.043544937324114866,True,5
mid_binance_causes_mid_kraken_lag_2,0.00039873827858638854,True,5
mid_binance_causes_mid_kraken_lag_3,0.005619661757098675,True,5
mid_binance_causes_mid_kraken_lag_4,0.004702749770031911,True,5
mid_binance_causes_mid_kraken_lag_5,0.004153923817453137,True,5
mid_binance_causes_mid_okx_lag_1,0.03368562132063006,True,5
mid_binance_causes_mid_okx_lag_2,0.0880083951367298,False,5
mid_binance_causes_mid_okx_lag_3,0.06741108026294036,False,5
mid_binance_causes_mid_okx_lag_4,0.011624241078497641,True,5
mid_binance_causes_mid_okx_lag_5,0.01225147981139498,True,5
mid_binance_causes_mid_bybit_lag_1,0.016011980059921452,True,5
mid_binance_causes_mid_bybit_lag_2,0.06526302819439528,False,5
mid_binance_causes_mid_bybit_lag_3,0.037182317721604546,True,5
mid_binance_causes_mid_bybit_lag_4,0.026295326929744376,True,5
mid_binance_causes_mid_bybit_lag_5,0.012587264921069962,True,5
mid_coinbase_causes_mid_binance,0.9627821405163653,False,5
mid_coinbase_causes_mid_kraken,0.9430894746804499,False,5
mid_coinbase_causes_mid_okx,0.9454162861386988,False,5
mid_coinbase_causes_mid_bybit,0.9404929026419728,False,5
mid_coinbase_causes_mid_binance_lag_1,0.9477263799203864,False,5
mid_coinbase_causes_mid_binance_lag_2,0.9917153065865706,False,5
mid_coinbase_causes_mid_binance_lag_3,0.9050573426681889,False,5
mid_coinbase_causes_mid_binance_lag_4,0.8111732850494767,False,5
mid_coinbase_causes_mid_binance_lag_5,0.9118577598819225,False,5
mid_coinbase_causes_mid_coinbase_lag_1,1.1837696627472322e-07,True,5
mid_coinbase_causes_mid_coinbase_lag_2,0.00048460083354472095,True,5
mid_coinbase_causes_mid_coinbase_lag_3,0.00024435336574927873,True,5
mid_coinbase_causes_mid_coinbase_lag_4,0.021672339281225115,True,5
