,score,p_value,cointegrated
mid_binance_mid_coinbase,-17.74974567989242,2.3329026682554287e-29,True
mid_binance_mid_kraken,-17.961045356439932,1.9275195821159194e-29,True
mid_binance_mid_okx,-17.977998707800737,1.9015055919716493e-29,True
mid_binance_mid_bybit,-11.344512221932211,1.2506565590573653e-19,True
mid_coinbase_mid_kraken,-13.230749399892673,9.74573560763906e-24,True
mid_coinbase_mid_okx,-13.218924501038854,1.0280568670353369e-23,True
mid_coinbase_mid_bybit,-13.204626197412598,1.0967854813546942e-23,True
mid_kraken_mid_okx,-16.844289658404563,8.263986484516967e-29,True
mid_kraken_mid_bybit,-16.974866585699946,6.588072284908823e-29,True
mid_okx_mid_bybit,-48.71102743800529,0.0,True
