event_id,venue_i,venue_j,date,anchor_type,trigger_price,band_low,band_high,ts_event_found,n_pre,n_post,low_n,note
0,BINANCE,BINANCE_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:48:49.770000,191,180,False,VALIDATED
0,BINANCE,BINANCE_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,2025-09-01 02:46:20.770000,194,194,False,VALIDATED
0,BINANCE,BINANCE_target,20250901,±75bps,107500.0,106693.75,108306.25,2025-09-01 02:45:58.770000,143,122,False,VALIDATED
1,BINANCE,BINANCE_target,20250901,±25bps,108000.0,107730.0,108270.0,2025-09-01 00:10:15.830000,149,157,False,VALIDATED
1,BINANCE,BINANCE_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:09:08.830000,152,195,False,VALIDATED
1,BINANCE,BINANCE_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:08:44.830000,168,178,False,VALIDATED
2,BINANCE,BINANCE_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:33:02.714000,179,199,False,VALIDATED
2,BINANCE,BINANCE_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:34:29.714000,174,183,False,VALIDATED
2,BINANCE,BINANCE_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:33:11.714000,170,126,False,VALIDATED
3,BINANCE,BINANCE_target,20250901,±25bps,109000.0,108727.5,109272.5,2025-09-01 07:47:50.945000,137,123,False,VALIDATED
3,BINANCE,BINANCE_target,20250901,±50bps,109000.0,108455.0,109544.99999999999,,0,0,True,BAND_NOT_TOUCHED
3,BINANCE,BINANCE_target,20250901,±75bps,109000.0,108182.5,109817.5,2025-09-01 07:50:49.945000,172,121,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±25bps,109500.0,109226.25,109773.75,2025-09-01 08:01:11.622000,179,190,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±50bps,109500.0,108952.5,110047.49999999999,2025-09-01 07:55:39.622000,197,155,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±75bps,109500.0,108678.75,110321.25,2025-09-01 08:01:32.622000,121,125,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:52:14.255284,182,137,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,2025-09-01 02:46:59.255284,193,181,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±75bps,107500.0,106693.75,108306.25,,0,0,True,BAND_NOT_TOUCHED
6,COINBASE,COINBASE_target,20250901,±25bps,108000.0,107730.0,108270.0,2025-09-01 00:09:03.164393,191,197,False,VALIDATED
6,COINBASE,COINBASE_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:09:28.164393,199,172,False,VALIDATED
6,COINBASE,COINBASE_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:08:09.164393,179,160,False,VALIDATED
7,COINBASE,COINBASE_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:26:11.207076,190,128,False,VALIDATED
7,COINBASE,COINBASE_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:32:58.207076,182,130,False,VALIDATED
7,COINBASE,COINBASE_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:31:38.207076,154,154,False,VALIDATED
8,COINBASE,COINBASE_target,20250901,±25bps,109000.0,108727.5,109272.5,2025-09-01 07:51:29.300954,160,147,False,VALIDATED
8,COINBASE,COINBASE_target,20250901,±50bps,109000.0,108455.0,109544.99999999999,2025-09-01 07:43:52.300954,167,142,False,VALIDATED
8,COINBASE,COINBASE_target,20250901,±75bps,109000.0,108182.5,109817.5,2025-09-01 07:44:58.300954,163,154,False,VALIDATED
9,COINBASE,COINBASE_target,20250901,±25bps,109500.0,109226.25,109773.75,2025-09-01 08:02:46.661123,122,120,False,VALIDATED
9,COINBASE,COINBASE_target,20250901,±50bps,109500.0,108952.5,110047.49999999999,2025-09-01 08:03:27.661123,133,146,False,VALIDATED
9,COINBASE,COINBASE_target,20250901,±75bps,109500.0,108678.75,110321.25,2025-09-01 07:55:19.661123,161,196,False,VALIDATED
10,BYBITSPOT,BYBITSPOT_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:48:18.262000,171,123,False,VALIDATED
10,BYBITSPOT,BYBITSPOT_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,,0,0,True,BAND_NOT_TOUCHED
10,BYBITSPOT,BYBITSPOT_target,20250901,±75bps,107500.0,106693.75,108306.25,2025-09-01 02:47:08.262000,148,155,False,VALIDATED
11,BYBITSPOT,BYBITSPOT_target,20250901,±25bps,108000.0,107730.0,108270.0,,0,0,True,BAND_NOT_TOUCHED
11,BYBITSPOT,BYBITSPOT_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:08:35.054000,147,185,False,VALIDATED
11,BYBITSPOT,BYBITSPOT_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:14:06.054000,176,125,False,VALIDATED
12,BYBITSPOT,BYBITSPOT_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:34:22.114000,149,181,False,VALIDATED
12,BYBITSPOT,BYBITSPOT_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:33:32.114000,181,120,False,VALIDATED
12,BYBITSPOT,BYBITSPOT_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:29:25.114000,189,191,False,VALIDATED
13,BYBITSPOT,BYBITSPOT_target,20250901,±25bps,109000.0,108727.5,109272.5,2025-09-01 07:51:32.424000,156,170,False,VALIDATED
13,BYBITSPOT,BYBITSPOT_target,20250901,±50bps,109000.0,108455.0,109544.99999999999,2025-09-01 07:52:28.424000,151,171,False,VALIDATED
13,BYBITSPOT,BYBITSPOT_target,20250901,±75bps,109000.0,108182.5,109817.5,2025-09-01 07:54:31.424000,177,171,False,VALIDATED
14,BYBITSPOT,BYBITSPOT_target,20250901,±25bps,109500.0,109226.25,109773.75,2025-09-01 08:01:30.622000,122,175,False,VALIDATED
14,BYBITSPOT,BYBITSPOT_target,20250901,±50bps,109500.0,108952.5,110047.49999999999,2025-09-01 07:56:57.622000,121,121,False,VALIDATED
14,BYBITSPOT,BYBITSPOT_target,20250901,±75bps,109500.0,108678.75,110321.25,2025-09-01 07:58:49.622000,120,138,False,VALIDATED
15,BITGET,BITGET_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:45:11.913000,163,151,False,VALIDATED
15,BITGET,BITGET_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,2025-09-01 02:48:25.913000,187,174,False,VALIDATED
15,BITGET,BITGET_target,20250901,±75bps,107500.0,106693.75,108306.25,2025-09-01 02:46:21.913000,136,157,False,VALIDATED
16,BITGET,BITGET_target,20250901,±25bps,108000.0,107730.0,108270.0,2025-09-01 00:07:50.132000,130,135,False,VALIDATED
16,BITGET,BITGET_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:06:36.132000,178,189,False,VALIDATED
16,BITGET,BITGET_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:11:15.132000,186,138,False,VALIDATED
17,BITGET,BITGET_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:33:14.552000,152,159,False,VALIDATED
17,BITGET,BITGET_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:30:43.552000,120,130,False,VALIDATED
17,BITGET,BITGET_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:32:58.552000,169,142,False,VALIDATED
18,BITGET,BITGET_target,20250901,±25bps,109000.0,108727.5,109272.5,2025-09-01 07:48:17.887000,126,135,False,VALIDATED
18,BITGET,BITGET_target,20250901,±50bps,109000.0,108455.0,109544.99999999999,2025-09-01 07:52:51.887000,121,120,False,VALIDATED
18,BITGET,BITGET_target,20250901,±75bps,109000.0,108182.5,109817.5,2025-09-01 07:50:52.887000,156,151,False,VALIDATED
19,BITGET,BITGET_target,20250901,±25bps,109500.0,109226.25,109773.75,2025-09-01 07:55:13.793000,138,167,False,VALIDATED
19,BITGET,BITGET_target,20250901,±50bps,109500.0,108952.5,110047.49999999999,2025-09-01 08:01:48.793000,143,173,False,VALIDATED
19,BITGET,BITGET_target,20250901,±75bps,109500.0,108678.75,110321.25,2025-09-01 08:04:51.793000,191,155,False,VALIDATED
20,BINANCE,BINANCE_target,20250902,±25bps,108500.0,108228.75,108771.25,2025-09-02 12:45:22.554000,144,137,False,VALIDATED
20,BINANCE,BINANCE_target,20250902,±50bps,108500.0,107957.5,109042.49999999999,2025-09-02 12:46:46.554000,185,173,False,VALIDATED
20,BINANCE,BINANCE_target,20250902,±75bps,108500.0,107686.25,109313.75,2025-09-02 12:43:49.554000,187,152,False,VALIDATED
21,BINANCE,BINANCE_target,20250902,±25bps,109000.0,108727.5,109272.5,2025-09-02 00:33:25.515000,127,126,False,VALIDATED
21,BINANCE,BINANCE_target,20250902,±50bps,109000.0,108455.0,109544.99999999999,2025-09-02 00:25:34.515000,167,195,False,VALIDATED
21,BINANCE,BINANCE_target,20250902,±75bps,109000.0,108182.5,109817.5,2025-09-02 00:32:51.515000,141,149,False,VALIDATED
22,BINANCE,BINANCE_target,20250902,±25bps,109500.0,109226.25,109773.75,,0,0,True,BAND_NOT_TOUCHED
22,BINANCE,BINANCE_target,20250902,±50bps,109500.0,108952.5,110047.49999999999,2025-09-02 01:47:01.424000,127,146,False,VALIDATED
22,BINANCE,BINANCE_target,20250902,±75bps,109500.0,108678.75,110321.25,2025-09-02 01:44:20.424000,149,147,False,VALIDATED
23,BINANCE,BINANCE_target,20250902,±25bps,109912.4,109637.619,110187.18099999998,2025-09-02 02:54:32.422000,188,180,False,VALIDATED
23,BINANCE,BINANCE_target,20250902,±50bps,109912.4,109362.83799999999,110461.96199999998,2025-09-02 02:55:07.422000,154,183,False,VALIDATED
23,BINANCE,BINANCE_target,20250902,±75bps,109912.4,109088.057,110736.743,2025-09-02 02:46:48.422000,163,149,False,VALIDATED
