event_id,venue,date,ts_beacon,round_level,trades_in_burst,rev_bps_3m,n_pre,n_post,low_n,note
0,BINANCE,20250901,2025-09-01 06:00:00,100000,19,-7.964968667658346,135,183,False,VALIDATED
1,BINANCE,20250901,2025-09-01 06:00:00,100000,3,2.2023736898019948,143,144,False,VALIDATED
2,BINANCE,20250901,2025-09-01 12:00:00,100000,11,2.896450721524426,187,141,False,VALIDATED
3,BINANCE,20250901,2025-09-01 15:00:00,100000,19,5.803412478485626,125,190,False,VALIDATED
3,BINANCE,20250901,2025-09-01 04:00:00,101000,6,4.01450809072843,159,138,False,VALIDATED
3,BINANCE,20250901,2025-09-01 09:00:00,102000,6,-2.802240757447621,173,196,False,VALIDATED
4,BINANCE,20250901,2025-09-01 04:00:00,100000,17,2.5139961548320207,132,120,False,VALIDATED
7,COINBASE,20250901,2025-09-01 06:00:00,100000,13,-1.8025710836194488,109,172,False,VALIDATED
8,COINBASE,20250901,2025-09-01 01:00:00,100000,5,8.361396180434248,141,138,False,VALIDATED
9,COINBASE,20250901,2025-09-01 10:00:00,100000,9,4.614660911047039,123,159,False,VALIDATED
9,COINBASE,20250901,2025-09-01 13:00:00,101000,6,2.844915395926377,138,135,False,VALIDATED
11,BYBITSPOT,20250901,2025-09-01 02:00:00,100000,11,8.14198311564269,107,196,False,VALIDATED
11,BYBITSPOT,20250901,2025-09-01 05:00:00,101000,11,-5.112176897728831,159,101,False,VALIDATED
12,BYBITSPOT,20250901,2025-09-01 11:00:00,100000,10,10.39972961845261,171,149,False,VALIDATED
13,BYBITSPOT,20250901,2025-09-01 11:00:00,100000,5,-7.497937281014665,134,197,False,VALIDATED
14,BYBITSPOT,20250901,2025-09-01 19:00:00,100000,10,-6.648216511196539,121,143,False,VALIDATED
16,BITGET,20250901,2025-09-01 14:00:00,100000,18,-7.780033663868416,154,115,False,VALIDATED
16,BITGET,20250901,2025-09-01 11:00:00,101000,19,-9.10952366326177,115,111,False,VALIDATED
16,BITGET,20250901,2025-09-01 07:00:00,102000,5,-5.461563823362895,104,183,False,VALIDATED
17,BITGET,20250901,2025-09-01 11:00:00,100000,3,-1.5820422484740095,129,120,False,VALIDATED
17,BITGET,20250901,2025-09-01 19:00:00,101000,8,4.066482882915386,131,132,False,VALIDATED
17,BITGET,20250901,2025-09-01 20:00:00,102000,18,-3.4315953782455786,175,137,False,VALIDATED
22,BINANCE,20250902,2025-09-02 08:00:00,100000,4,0.43593202103215106,174,166,False,VALIDATED
23,BINANCE,20250902,2025-09-02 22:00:00,100000,6,3.5404456092833825,181,154,False,VALIDATED
25,BINANCE,20250902,2025-09-02 14:00:00,100000,7,0.1306121576986288,148,141,False,VALIDATED
25,BINANCE,20250902,2025-09-02 05:00:00,101000,15,-12.342714579421541,134,129,False,VALIDATED
26,BINANCE,20250902,2025-09-02 13:00:00,100000,8,-1.8069288359091897,113,172,False,VALIDATED
26,BINANCE,20250902,2025-09-02 14:00:00,101000,5,-2.2505056684511198,165,190,False,VALIDATED
27,BINANCE,20250902,2025-09-02 17:00:00,100000,16,0.2526790779700305,124,165,False,VALIDATED
29,COINBASE,20250902,2025-09-02 03:00:00,100000,16,0.8524861752021539,164,179,False,VALIDATED
29,COINBASE,20250902,2025-09-02 21:00:00,101000,16,0.05176309921690304,140,105,False,VALIDATED
31,COINBASE,20250902,2025-09-02 07:00:00,100000,4,-6.559181161750798,167,124,False,VALIDATED
34,COINBASE,20250902,2025-09-02 12:00:00,100000,16,-1.8691369702471607,162,105,False,VALIDATED
34,COINBASE,20250902,2025-09-02 10:00:00,101000,4,3.163106498921348,159,122,False,VALIDATED
37,BYBITSPOT,20250902,2025-09-02 09:00:00,100000,4,8.197443297087514,130,155,False,VALIDATED
37,BYBITSPOT,20250902,2025-09-02 14:00:00,101000,11,-0.4964635502082816,186,182,False,VALIDATED
40,BYBITSPOT,20250902,2025-09-02 13:00:00,100000,9,-1.9408840927061437,103,103,False,VALIDATED
40,BYBITSPOT,20250902,2025-09-02 06:00:00,101000,10,0.8520811118774385,116,151,False,VALIDATED
42,BYBITSPOT,20250902,2025-09-02 05:00:00,100000,9,4.385393846752938,162,161,False,VALIDATED
43,BYBITSPOT,20250902,2025-09-02 02:00:00,100000,9,3.3678257159334994,126,191,False,VALIDATED
44,BITGET,20250902,2025-09-02 06:00:00,100000,7,2.09103306377268,154,101,False,VALIDATED
46,BITGET,20250902,2025-09-02 05:00:00,100000,17,-0.5090787101478478,120,109,False,VALIDATED
47,BITGET,20250902,2025-09-02 23:00:00,100000,9,-7.663676844478797,189,184,False,VALIDATED
51,BITGET,20250902,2025-09-02 16:00:00,100000,13,5.164773666143062,162,120,False,VALIDATED
52,BINANCE,20250903,2025-09-03 22:00:00,100000,6,-1.9479830342939621,181,198,False,VALIDATED
52,BINANCE,20250903,2025-09-03 08:00:00,101000,8,2.7691666589077304,141,120,False,VALIDATED
53,BINANCE,20250903,2025-09-03 16:00:00,100000,11,1.4572496160590311,140,100,False,VALIDATED
53,BINANCE,20250903,2025-09-03 01:00:00,101000,18,-3.653409819018903,128,196,False,VALIDATED
