event_id,venue_i,venue_j,date,anchor_type,trigger_price,band_low,band_high,ts_event_found,n_pre,n_post,low_n,note
0,BINANCE,BINANCE_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:24:34.726000,2151,2127,False,VALIDATED
0,BINANCE,BINANCE_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,2025-09-01 02:19:20.307000,2150,2143,False,VALIDATED
0,BINANCE,BINANCE_target,20250901,±75bps,107500.0,106693.75,108306.25,2025-09-01 02:19:20.307000,2150,2143,False,VALIDATED
1,BINANCE,BINANCE_target,20250901,±25bps,108000.0,107730.0,108270.0,2025-09-01 00:00:00.178000,0,1368,True,LOW_N
1,BINANCE,BINANCE_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:00:00.178000,0,1368,True,LOW_N
1,BINANCE,BINANCE_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:00:00.178000,0,1368,True,LOW_N
2,BINANCE,BINANCE_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:19:16.898000,2105,2112,False,VALIDATED
2,BINANCE,BINANCE_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:00:07.767000,2025,2103,False,VALIDATED
2,BINANCE,BINANCE_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:00:07.767000,2025,2103,False,VALIDATED
3,BINANCE,BINANCE_target,20250901,±25bps,109000.0,108727.5,109272.5,2025-09-01 07:33:39.684000,2106,2156,False,VALIDATED
3,BINANCE,BINANCE_target,20250901,±50bps,109000.0,108455.0,109544.99999999999,2025-09-01 07:30:05.531000,2104,2152,False,VALIDATED
3,BINANCE,BINANCE_target,20250901,±75bps,109000.0,108182.5,109817.5,2025-09-01 07:20:05.706000,2097,2120,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±25bps,109500.0,109226.25,109773.75,2025-09-01 07:54:01.917000,2160,2160,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±50bps,109500.0,108952.5,110047.49999999999,2025-09-01 07:34:25.033000,2118,2156,False,VALIDATED
4,BINANCE,BINANCE_target,20250901,±75bps,109500.0,108678.75,110321.25,2025-09-01 07:31:58.834000,2106,2152,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±25bps,107500.0,107231.25,107768.75,2025-09-01 02:24:32.171303,2151,2127,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±50bps,107500.0,106962.5,108037.49999999999,2025-09-01 02:19:18.426288,2151,2142,False,VALIDATED
5,COINBASE,COINBASE_target,20250901,±75bps,107500.0,106693.75,108306.25,2025-09-01 02:19:18.426288,2151,2142,False,VALIDATED
6,COINBASE,COINBASE_target,20250901,±25bps,108000.0,107730.0,108270.0,2025-09-01 00:00:00.072113,0,1368,True,LOW_N
6,COINBASE,COINBASE_target,20250901,±50bps,108000.0,107460.0,108539.99999999999,2025-09-01 00:00:00.072113,0,1368,True,LOW_N
6,COINBASE,COINBASE_target,20250901,±75bps,108000.0,107190.0,108810.0,2025-09-01 00:00:00.072113,0,1368,True,LOW_N
7,COINBASE,COINBASE_target,20250901,±25bps,108500.0,108228.75,108771.25,2025-09-01 07:19:17.997523,2105,2112,False,VALIDATED
7,COINBASE,COINBASE_target,20250901,±50bps,108500.0,107957.5,109042.49999999999,2025-09-01 07:00:07.352115,2025,2103,False,VALIDATED
7,COINBASE,COINBASE_target,20250901,±75bps,108500.0,107686.25,109313.75,2025-09-01 07:00:07.352115,2025,2103,False,VALIDATED
