venue,date,n_trades,ts_min,ts_max,error
BINANCE,20250901,1275509,,,
BINANCE,20250902,1287133,,,
BINANCE,20250903,947222,,,
BINANCE,20250904,966678,,,
BINANCE,20250905,799654,,,
BINANCE,20250906,443749,,,
BINANCE,20250907,473511,,,
COINBASE,20250901,497690,,,
COINBASE,20250902,450008,,,
COINBASE,20250903,389727,,,
COINBASE,20250904,397780,,,
COINBASE,20250905,434014,,,
COINBASE,20250906,234726,,,
COINBASE,20250907,221213,,,
BYBITSPOT,20250901,508706,,,
BYBITSPOT,20250902,543991,,,
BYBITSPOT,20250903,393324,,,
BYBITSPOT,20250904,368665,,,
BYBITSPOT,20250905,571914,,,
BYBITSPOT,20250906,152202,,,
BYBITSPOT,20250907,163294,,,
BITGET,20250901,325121,,,
BITGET,20250902,444024,,,
BITGET,20250903,259569,,,
BITGET,20250904,227477,,,
BITGET,20250905,267742,,,
BITGET,20250906,113785,,,
BITGET,20250907,114377,,,
