venue,date,round_level,band_pct,within_band_count
BINANCE,20250901,107000,0.1,0
BINANCE,20250901,107000,0.25,571
BINANCE,20250901,108000,0.1,113238
BINANCE,20250901,108000,0.25,267734
BINANCE,20250901,109000,0.1,159244
BINANCE,20250901,109000,0.25,377911
BINANCE,20250902,108000,0.1,0
BINANCE,20250902,108000,0.25,0
BINANCE,20250902,109000,0.1,44129
BINANCE,20250902,109000,0.25,122215
BINANCE,20250902,110000,0.1,58364
BINANCE,20250902,110000,0.25,235162
BINANCE,20250902,111000,0.1,146997
BINANCE,20250902,111000,0.25,338822
BINANCE,20250903,110000,0.1,0
BINANCE,20250903,110000,0.25,0
BINANCE,20250903,111000,0.1,112227
BINANCE,20250903,111000,0.25,269255
BINANCE,20250903,112000,0.1,105464
BINANCE,20250903,112000,0.25,284983
BINANCE,20250904,109000,0.1,0
BINANCE,20250904,109000,0.25,0
BINANCE,20250904,110000,0.1,106944
BINANCE,20250904,110000,0.25,210692
BINANCE,20250904,111000,0.1,75529
BINANCE,20250904,111000,0.25,243510
BINANCE,20250904,112000,0.1,29458
BINANCE,20250904,112000,0.25,60710
BINANCE,20250905,110000,0.1,0
BINANCE,20250905,110000,0.25,2799
BINANCE,20250905,111000,0.1,46017
BINANCE,20250905,111000,0.25,206560
BINANCE,20250905,112000,0.1,8481
BINANCE,20250905,112000,0.25,58306
BINANCE,20250905,113000,0.1,42158
BINANCE,20250905,113000,0.25,127319
BINANCE,20250906,109000,0.1,0
BINANCE,20250906,109000,0.25,0
BINANCE,20250906,110000,0.1,31887
BINANCE,20250906,110000,0.25,154830
BINANCE,20250906,111000,0.1,40398
BINANCE,20250906,111000,0.25,211335
BINANCE,20250907,110000,0.1,0
BINANCE,20250907,110000,0.25,11887
BINANCE,20250907,111000,0.1,90905
BINANCE,20250907,111000,0.25,295072
COINBASE,20250901,107000,0.1,0
COINBASE,20250901,107000,0.25,235
COINBASE,20250901,108000,0.1,44865
COINBASE,20250901,108000,0.25,102557
COINBASE,20250901,109000,0.1,74370
COINBASE,20250901,109000,0.25,172522
COINBASE,20250902,108000,0.1,0
COINBASE,20250902,108000,0.25,0
COINBASE,20250902,109000,0.1,16594
COINBASE,20250902,109000,0.25,42842
COINBASE,20250902,110000,0.1,13086
COINBASE,20250902,110000,0.25,66755
COINBASE,20250902,111000,0.1,55659
COINBASE,20250902,111000,0.25,133384
COINBASE,20250903,110000,0.1,0
COINBASE,20250903,110000,0.25,0
COINBASE,20250903,111000,0.1,38494
COINBASE,20250903,111000,0.25,88011
COINBASE,20250903,112000,0.1,57980
COINBASE,20250903,112000,0.25,149411
COINBASE,20250904,109000,0.1,0
COINBASE,20250904,109000,0.25,0
COINBASE,20250904,110000,0.1,46431
COINBASE,20250904,110000,0.25,93027
COINBASE,20250904,111000,0.1,32405
COINBASE,20250904,111000,0.25,94662
COINBASE,20250904,112000,0.1,18802
COINBASE,20250904,112000,0.25,38552
COINBASE,20250905,110000,0.1,0
COINBASE,20250905,110000,0.25,817
COINBASE,20250905,111000,0.1,28755
COINBASE,20250905,111000,0.25,134605
COINBASE,20250905,112000,0.1,2615
COINBASE,20250905,112000,0.25,21908
COINBASE,20250905,113000,0.1,29263
COINBASE,20250905,113000,0.25,62335
COINBASE,20250906,109000,0.1,0
COINBASE,20250906,109000,0.25,0
COINBASE,20250906,110000,0.1,14959
COINBASE,20250906,110000,0.25,89713
COINBASE,20250906,111000,0.1,25158
COINBASE,20250906,111000,0.25,114489
COINBASE,20250907,110000,0.1,0
COINBASE,20250907,110000,0.25,3327
COINBASE,20250907,111000,0.1,36483
