venue,date,n_trades,ts_min,ts_max
BINANCE,20250901,1275509,2025-09-01 00:00:00.178000,2025-09-01 23:59:59.376000
BINANCE,20250902,1287133,2025-09-02 00:00:00.138000,2025-09-02 23:59:59.579000
BINANCE,20250903,947222,2025-09-03 00:00:00.078000,2025-09-03 23:59:59.321000
BINANCE,20250904,966678,2025-09-04 00:00:00.353000,2025-09-04 23:59:59.966000
BINANCE,20250905,799654,2025-09-05 00:00:00.190000,2025-09-05 23:59:59.882000
BINANCE,20250906,443749,2025-09-06 00:00:00.189000,2025-09-06 23:59:59.574000
BINANCE,20250907,473511,2025-09-07 00:00:00.230000,2025-09-07 23:59:59.599000
COINBASE,20250901,497690,2025-09-01 00:00:00.072113,2025-09-01 23:59:59.489407
COINBASE,20250902,450008,2025-09-02 00:00:00.409118,2025-09-02 23:59:57.793033
COINBASE,20250903,389727,2025-09-03 00:00:00.809455,2025-09-03 23:59:59.407845
COINBASE,20250904,397780,2025-09-04 00:00:00.272048,2025-09-04 23:59:59.533682
COINBASE,20250905,434014,2025-09-05 00:00:00.213181,2025-09-05 23:59:59.910879
COINBASE,20250906,234726,2025-09-06 00:00:00.823925,2025-09-06 23:59:57.323217
COINBASE,20250907,221213,2025-09-07 00:00:00.130010,2025-09-07 23:59:59.658089
BYBITSPOT,20250901,508706,2025-09-01 00:00:00.360000,2025-09-01 23:59:58.148000
BYBITSPOT,20250902,543991,2025-09-02 00:00:00.392000,2025-09-02 23:59:58.421000
BYBITSPOT,20250903,393324,2025-09-03 00:00:00.590000,2025-09-03 23:59:58.142000
BYBITSPOT,20250904,368665,2025-09-04 00:00:01.015000,2025-09-04 23:59:59.515000
BYBITSPOT,20250905,571914,2025-09-05 00:00:00.552000,2025-09-05 23:59:58.571000
BYBITSPOT,20250906,152202,2025-09-06 00:00:01.405000,2025-09-06 23:59:59.276000
BYBITSPOT,20250907,163294,2025-09-07 00:00:00.589000,2025-09-07 23:59:59.638000
BITGET,20250901,325121,2025-09-01 00:00:00.043000,2025-09-01 23:59:59.126000
BITGET,20250902,444024,2025-09-02 00:00:00.045000,2025-09-02 23:59:58.241000
BITGET,20250903,259569,2025-09-03 00:00:00.056000,2025-09-03 23:59:59.344000
BITGET,20250904,227477,2025-09-04 00:00:00.444000,2025-09-04 23:59:59.544000
BITGET,20250905,267742,2025-09-05 00:00:00.046000,2025-09-05 23:59:58.107000
BITGET,20250906,113785,2025-09-06 00:00:00.045000,2025-09-06 23:59:56.228000
BITGET,20250907,114377,2025-09-07 00:00:00.049000,2025-09-07 23:59:59.793000
