venue,session,first_mover_rate,n_events_used,low_power
BINANCE,Tokyo,0.17987374967893818,40,False
BINANCE,London,0.28202692735642687,40,False
BINANCE,NewYork,0.26160452598131057,40,False
COINBASE,Tokyo,0.14321027300233743,40,False
COINBASE,London,0.19332155693944317,40,False
COINBASE,NewYork,0.2633446405117089,40,False
BYBITSPOT,Tokyo,0.11347691095710451,40,False
BYBITSPOT,London,0.17747851713373186,40,False
BYBITSPOT,NewYork,0.2703682473747895,40,False
BITGET,Tokyo,0.18077957283402474,40,False
BITGET,London,0.11552292894628818,40,False
BITGET,NewYork,0.20850687370645027,40,False
