venue,date,anchor_price,anchor_type,first_touch_ts,touch_price,session,wash_tercile,pre_minutes,post_minutes,valid
BINANCE,20250901,107500.0,Round,2025-09-01 02:49:19.770000,107500.0,Asia,Low,15,15,True
BINANCE,20250901,108000.0,Round,2025-09-01 00:09:32.830000,108000.0,Asia,Low,15,15,True
BINANCE,20250901,108500.0,Round,2025-09-01 07:30:07.714000,108500.0,Asia,Low,15,15,True
BINANCE,20250901,109000.0,Round,2025-09-01 07:50:04.945000,109000.0,Asia,Low,15,15,True
BINANCE,20250901,109500.0,Round,2025-09-01 08:00:05.622000,109500.0,EU,Medium,15,15,True
COINBASE,20250901,107500.0,Round,2025-09-01 02:49:18.255284,107500.0,Asia,Low,15,15,True
COINBASE,20250901,108000.0,Round,2025-09-01 00:09:33.164393,108000.0,Asia,Low,15,15,True
COINBASE,20250901,108500.0,Round,2025-09-01 07:30:07.207076,108505.93,Asia,Low,15,15,True
COINBASE,20250901,109000.0,Round,2025-09-01 07:48:20.300954,109000.0,Asia,Low,15,15,True
COINBASE,20250901,109500.0,Round,2025-09-01 08:00:05.661123,109500.0,EU,Medium,15,15,True
BYBITSPOT,20250901,107500.0,Round,2025-09-01 02:49:18.262000,107500.0,Asia,Low,15,15,True
BYBITSPOT,20250901,108000.0,Round,2025-09-01 00:09:33.054000,108000.0,Asia,Low,15,15,True
BYBITSPOT,20250901,108500.0,Round,2025-09-01 07:30:07.114000,108500.0,Asia,Low,15,15,True
BYBITSPOT,20250901,109000.0,Round,2025-09-01 07:51:15.424000,109000.0,Asia,Low,15,15,True
BYBITSPOT,20250901,109500.0,Round,2025-09-01 08:00:05.622000,109500.0,EU,Medium,15,15,True
BITGET,20250901,107500.0,Round,2025-09-01 02:49:19.913000,107500.0,Asia,Low,15,15,True
BITGET,20250901,108000.0,Round,2025-09-01 00:09:33.132000,108000.0,Asia,Low,15,15,True
BITGET,20250901,108500.0,Round,2025-09-01 07:30:06.552000,108500.0,Asia,Low,15,15,True
BITGET,20250901,109000.0,Round,2025-09-01 07:48:20.887000,109000.0,Asia,Low,15,15,True
BITGET,20250901,109500.0,Round,2025-09-01 08:00:05.793000,109500.0,EU,Medium,15,15,True
BINANCE,20250902,108500.0,Round,2025-09-02 12:46:09.554000,108500.0,EU,Medium,15,15,True
BINANCE,20250902,109000.0,Round,2025-09-02 00:30:02.515000,109000.0,Asia,Low,15,15,True
BINANCE,20250902,109500.0,Round,2025-09-02 01:44:44.424000,109500.0,Asia,Low,15,15,True
BINANCE,20250902,109912.4,Prior_HL,2025-09-02 02:51:32.422000,109912.43,Asia,Low,15,15,True
BINANCE,20250902,110000.0,Round,2025-09-02 02:58:36.309000,110000.0,Asia,Low,15,15,True
BINANCE,20250902,110500.0,Round,2025-09-02 03:16:22.015000,110500.0,Asia,Low,15,15,True
BINANCE,20250902,111000.0,Round,2025-09-02 13:50:15.086000,111000.0,EU,Medium,15,15,True
BINANCE,20250902,111500.0,Round,2025-09-02 14:00:38.034000,111500.0,EU,Medium,15,15,True
COINBASE,20250902,108500.0,Round,2025-09-02 12:46:09.615805,108500.0,EU,Medium,15,15,True
COINBASE,20250902,109000.0,Round,2025-09-02 00:30:02.441069,109000.0,Asia,Low,15,15,True
COINBASE,20250902,109500.0,Round,2025-09-02 01:44:33.593190,109500.0,Asia,Low,15,15,True
COINBASE,20250902,109907.51,Prior_HL,2025-09-02 02:51:32.348641,109911.38,Asia,Low,15,15,True
COINBASE,20250902,110000.0,Round,2025-09-02 02:58:36.367464,110000.0,Asia,Low,15,15,True
COINBASE,20250902,110500.0,Round,2025-09-02 03:16:20.947751,110500.0,Asia,Low,15,15,True
COINBASE,20250902,111000.0,Round,2025-09-02 13:46:21.026203,111000.0,EU,Medium,15,15,True
COINBASE,20250902,111500.0,Round,2025-09-02 14:00:38.078537,111500.0,EU,Medium,15,15,True
BYBITSPOT,20250902,108500.0,Round,2025-09-02 12:46:09.587000,108500.0,EU,Medium,15,15,True
BYBITSPOT,20250902,109000.0,Round,2025-09-02 00:30:02.336000,109000.0,Asia,Low,15,15,True
BYBITSPOT,20250902,109500.0,Round,2025-09-02 01:44:41.358000,109500.0,Asia,Low,15,15,True
BYBITSPOT,20250902,109905.0,Prior_HL,2025-09-02 02:51:32.274000,109905.0,Asia,Low,15,15,True
BYBITSPOT,20250902,110000.0,Round,2025-09-02 02:58:36.335000,110000.0,Asia,Low,15,15,True
BYBITSPOT,20250902,110500.0,Round,2025-09-02 03:16:20.876000,110500.0,Asia,Low,15,15,True
BYBITSPOT,20250902,111000.0,Round,2025-09-02 13:46:21.238000,111000.0,EU,Medium,15,15,True
BYBITSPOT,20250902,111500.0,Round,2025-09-02 14:00:38.057000,111500.0,EU,Medium,15,15,True
BITGET,20250902,108500.0,Round,2025-09-02 12:46:09.566000,108500.0,EU,Medium,15,15,True
BITGET,20250902,109000.0,Round,2025-09-02 00:30:02.528000,109000.0,Asia,Low,15,15,True
BITGET,20250902,109500.0,Round,2025-09-02 01:44:33.424000,109500.0,Asia,Low,15,15,True
BITGET,20250902,109910.16,Prior_HL,2025-09-02 02:51:17.777000,109912.9,Asia,Low,15,15,True
BITGET,20250902,110000.0,Round,2025-09-02 02:58:30.215000,110000.0,Asia,Low,15,15,True
BITGET,20250902,110500.0,Round,2025-09-02 03:16:20.917000,110500.0,Asia,Low,15,15,True
BITGET,20250902,111000.0,Round,2025-09-02 13:46:19.820000,111000.0,EU,Medium,15,15,True
BITGET,20250902,111500.0,Round,2025-09-02 14:00:38.039000,111512.17,EU,Medium,15,15,True
BINANCE,20250903,111000.0,Round,2025-09-03 01:23:51.634000,111000.0,Asia,Low,15,15,True
BINANCE,20250903,111500.0,Round,2025-09-03 00:11:17.432000,111500.0,Asia,Low,15,15,True
BINANCE,20250903,111771.52,Prior_HL,2025-09-03 00:27:01.134000,111771.76,Asia,Low,15,15,True
BINANCE,20250903,112000.0,Round,2025-09-03 14:39:48.040000,112000.0,EU,Medium,15,15,True
BINANCE,20250903,112500.0,Round,2025-09-03 14:43:20.533000,112500.0,EU,Medium,15,15,True
COINBASE,20250903,111000.0,Round,2025-09-03 01:23:53.158864,110999.65,Asia,Low,15,15,True
COINBASE,20250903,111500.0,Round,2025-09-03 00:11:02.774373,111500.0,Asia,Low,15,15,True
COINBASE,20250903,111801.86,Prior_HL,2025-09-03 12:37:43.628053,111807.48,EU,Medium,15,15,True
COINBASE,20250903,112000.0,Round,2025-09-03 14:39:46.206304,112000.0,EU,Medium,15,15,True
COINBASE,20250903,112500.0,Round,2025-09-03 14:43:15.882678,112500.0,EU,Medium,15,15,True
BYBITSPOT,20250903,111000.0,Round,2025-09-03 01:23:55.348000,111000.0,Asia,Low,15,15,True
BYBITSPOT,20250903,111500.0,Round,2025-09-03 00:11:19.823000,111500.0,Asia,Low,15,15,True
BYBITSPOT,20250903,111776.0,Prior_HL,2025-09-03 00:27:02.572000,111776.0,Asia,Low,15,15,True
BYBITSPOT,20250903,112000.0,Round,2025-09-03 14:39:48.066000,112000.0,EU,Medium,15,15,True
BYBITSPOT,20250903,112500.0,Round,2025-09-03 14:43:20.346000,112500.0,EU,Medium,15,15,True
BITGET,20250903,111000.0,Round,2025-09-03 01:23:59.307000,111000.0,Asia,Low,15,15,True
BITGET,20250903,111500.0,Round,2025-09-03 00:11:01.163000,111500.0,Asia,Low,15,15,True
BITGET,20250903,111771.43,Prior_HL,2025-09-03 00:26:59.755000,111772.52,Asia,Low,15,15,True
BITGET,20250903,112000.0,Round,2025-09-03 14:39:48.044000,112001.0,EU,Medium,15,15,True
BITGET,20250903,112500.0,Round,2025-09-03 14:43:16.434000,112500.0,EU,Medium,15,15,True
BINANCE,20250904,109500.0,Round,2025-09-04 15:11:34.172000,109500.0,EU,Medium,15,15,True
BINANCE,20250904,110000.0,Round,2025-09-04 14:05:31.414000,110000.0,EU,Medium,15,15,True
BINANCE,20250904,110500.0,Round,2025-09-04 06:21:31.583000,110500.0,Asia,Low,15,15,True
BINANCE,20250904,110528.71,Prior_HL,2025-09-04 06:21:15.038000,110528.71,Asia,Low,15,15,True
BINANCE,20250904,111000.0,Round,2025-09-04 04:58:11.520000,111000.0,Asia,Low,15,15,True
BINANCE,20250904,111500.0,Round,2025-09-04 02:26:54.463000,111500.0,Asia,Low,15,15,True
BINANCE,20250904,112000.0,Round,2025-09-04 00:22:14.208000,112000.0,Asia,Low,15,15,True
COINBASE,20250904,109500.0,Round,2025-09-04 15:11:34.234773,109500.0,EU,Medium,15,15,True
COINBASE,20250904,110000.0,Round,2025-09-04 14:05:32.100019,110000.0,EU,Medium,15,15,True
COINBASE,20250904,110500.0,Round,2025-09-04 06:21:34.106257,110500.0,Asia,Low,15,15,True
COINBASE,20250904,110533.77,Prior_HL,2025-09-04 06:21:31.643822,110533.77,Asia,Low,15,15,True
COINBASE,20250904,111000.0,Round,2025-09-04 04:58:12.340230,110991.55,Asia,Low,15,15,True
COINBASE,20250904,111500.0,Round,2025-09-04 02:29:37.603107,111500.0,Asia,Low,15,15,True
COINBASE,20250904,112000.0,Round,2025-09-04 00:20:30.622223,112000.0,Asia,Low,15,15,True
BYBITSPOT,20250904,109500.0,Round,2025-09-04 15:11:34.196000,109500.0,EU,Medium,15,15,True
BYBITSPOT,20250904,110000.0,Round,2025-09-04 14:05:31.143000,110000.0,EU,Medium,15,15,True
BYBITSPOT,20250904,110500.0,Round,2025-09-04 06:21:24.216000,110500.0,Asia,Low,15,15,True
BYBITSPOT,20250904,110540.7,Prior_HL,2025-09-04 06:21:13.628000,110540.0,Asia,Low,15,15,True
