event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
0,20250901,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,49,71,True,insufficient_data
1,20250901,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,48,60,True,insufficient_data
1,20250901,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,41,68,True,insufficient_data
3,20250901,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,70,46,True,insufficient_data
4,20250901,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,61,44,True,insufficient_data
5,20250901,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,49,71,True,insufficient_data
5,20250901,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,47,64,True,insufficient_data
5,20250901,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,61,True,insufficient_data
8,20250901,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,70,41,True,insufficient_data
9,20250901,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,57,47,True,insufficient_data
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,41,68,True,insufficient_data
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,42,68,True,insufficient_data
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,71,48,True,insufficient_data
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,60,42,True,insufficient_data
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,48,52,True,insufficient_data
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,72,48,True,insufficient_data
16,20250901,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,48,60,True,insufficient_data
16,20250901,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,49,60,True,insufficient_data
