event_id,date,anchor_type,venue_event,venue_i,venue_j,first_mover,lag_sec,tau_used,session,wash_tercile
0,20250901,Round,BINANCE,BINANCE,COINBASE,BINANCE,0.23,0.0001481957697961,Tokyo,low
0,20250901,Round,BINANCE,COINBASE,BINANCE,COINBASE,0.23,0.0001481957697961,Tokyo,low
0,20250901,Round,BINANCE,BINANCE,BYBITSPOT,BINANCE,0.23,0.0001568981872757,Tokyo,low
0,20250901,Round,BINANCE,BYBITSPOT,BINANCE,BYBITSPOT,0.23,0.0001515004695451,Tokyo,low
0,20250901,Round,BINANCE,BINANCE,BITGET,BINANCE,0.23,0.0001632903727077,Tokyo,low
0,20250901,Round,BINANCE,BITGET,BINANCE,NONE,0.0,0.0001631653636136,Tokyo,low
1,20250901,Round,BINANCE,BINANCE,COINBASE,BINANCE,2.17,0.000181715393821,Tokyo,low
1,20250901,Round,BINANCE,COINBASE,BINANCE,COINBASE,2.17,0.000181715393821,Tokyo,low
1,20250901,Round,BINANCE,BINANCE,BYBITSPOT,NONE,0.0,0.0001681238947721,Tokyo,low
1,20250901,Round,BINANCE,BYBITSPOT,BINANCE,NONE,0.0,0.0001633712921793,Tokyo,low
1,20250901,Round,BINANCE,BINANCE,BITGET,NONE,0.0,0.0001731644710201,Tokyo,low
1,20250901,Round,BINANCE,BITGET,BINANCE,NONE,0.0,0.0001638658394353,Tokyo,low
2,20250901,Round,BINANCE,BINANCE,COINBASE,BINANCE,2.286,0.0001427843063095,London,low
2,20250901,Round,BINANCE,COINBASE,BINANCE,COINBASE,2.286,0.0001414880582313,London,low
2,20250901,Round,BINANCE,BINANCE,BYBITSPOT,BINANCE,2.286,0.000176527337953,London,low
2,20250901,Round,BINANCE,BYBITSPOT,BINANCE,NONE,0.0,0.0001392834676563,London,low
2,20250901,Round,BINANCE,BINANCE,BITGET,BINANCE,2.286,0.0001550295599308,London,low
2,20250901,Round,BINANCE,BITGET,BINANCE,BITGET,2.286,0.0001212914963213,London,low
3,20250901,Round,BINANCE,BINANCE,COINBASE,COINBASE,25.055,0.0001993925951246,London,low
3,20250901,Round,BINANCE,COINBASE,BINANCE,BINANCE,0.055,0.0001993925951246,London,low
3,20250901,Round,BINANCE,BINANCE,BYBITSPOT,BINANCE,60.055,0.0002002121547777,London,low
3,20250901,Round,BINANCE,BYBITSPOT,BINANCE,BINANCE,25.055,0.0001791634023984,London,low
3,20250901,Round,BINANCE,BINANCE,BITGET,BITGET,10.055,0.0002130208434762,London,low
3,20250901,Round,BINANCE,BITGET,BINANCE,BINANCE,20.055,0.0001820719796841,London,low
4,20250901,Round,BINANCE,BINANCE,COINBASE,BINANCE,4.378,0.0002209907000114,London,low
4,20250901,Round,BINANCE,COINBASE,BINANCE,COINBASE,4.378,0.0002209907000114,London,low
4,20250901,Round,BINANCE,BINANCE,BYBITSPOT,BINANCE,4.378,0.0002547110483446,London,low
4,20250901,Round,BINANCE,BYBITSPOT,BINANCE,BYBITSPOT,4.378,0.0002007434731647,London,low
4,20250901,Round,BINANCE,BINANCE,BITGET,BINANCE,4.378,0.0002434725618485,London,low
4,20250901,Round,BINANCE,BITGET,BINANCE,BITGET,4.378,0.0002168170271152,London,low
