event_id,date,venue_i,venue_j,n_pre,n_post,pre_minutes,post_minutes,shrunk,reason
0,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
0,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
0,20250901,BINANCE,BYBITSPOT,178,178,15.0,15.0,False,SUFFICIENT
0,20250901,BYBITSPOT,BINANCE,176,176,15.0,15.0,False,SUFFICIENT
0,20250901,BINANCE,BITGET,170,180,15.0,15.0,False,SUFFICIENT
0,20250901,BITGET,BINANCE,162,178,15.0,15.0,False,SUFFICIENT
1,20250901,BINANCE,COINBASE,114,180,15.0,15.0,False,SUFFICIENT
1,20250901,COINBASE,BINANCE,114,180,15.0,15.0,False,SUFFICIENT
1,20250901,BINANCE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
1,20250901,BYBITSPOT,BINANCE,112,176,15.0,15.0,False,SUFFICIENT
1,20250901,BINANCE,BITGET,107,171,15.0,15.0,False,SUFFICIENT
1,20250901,BITGET,BINANCE,100,163,15.0,15.0,False,SUFFICIENT
2,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
2,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
2,20250901,BINANCE,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
2,20250901,BYBITSPOT,BINANCE,167,176,15.0,15.0,False,SUFFICIENT
2,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
2,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
3,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
3,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
3,20250901,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
3,20250901,BYBITSPOT,BINANCE,178,180,15.0,15.0,False,SUFFICIENT
3,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
3,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
4,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
5,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
5,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
5,20250901,COINBASE,BYBITSPOT,178,178,15.0,15.0,False,SUFFICIENT
5,20250901,BYBITSPOT,COINBASE,176,176,15.0,15.0,False,SUFFICIENT
5,20250901,COINBASE,BITGET,170,180,15.0,15.0,False,SUFFICIENT
5,20250901,BITGET,COINBASE,162,178,15.0,15.0,False,SUFFICIENT
6,20250901,COINBASE,BINANCE,114,180,15.0,15.0,False,SUFFICIENT
6,20250901,BINANCE,COINBASE,114,180,15.0,15.0,False,SUFFICIENT
6,20250901,COINBASE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
6,20250901,BYBITSPOT,COINBASE,112,176,15.0,15.0,False,SUFFICIENT
6,20250901,COINBASE,BITGET,107,171,15.0,15.0,False,SUFFICIENT
6,20250901,BITGET,COINBASE,100,163,15.0,15.0,False,SUFFICIENT
7,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
7,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
7,20250901,COINBASE,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
7,20250901,BYBITSPOT,COINBASE,167,176,15.0,15.0,False,SUFFICIENT
7,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
7,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
8,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
8,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
8,20250901,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
8,20250901,BYBITSPOT,COINBASE,178,180,15.0,15.0,False,SUFFICIENT
8,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
8,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
9,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
10,20250901,BYBITSPOT,BINANCE,176,176,15.0,15.0,False,SUFFICIENT
10,20250901,BINANCE,BYBITSPOT,178,178,15.0,15.0,False,SUFFICIENT
10,20250901,BYBITSPOT,COINBASE,176,176,15.0,15.0,False,SUFFICIENT
10,20250901,COINBASE,BYBITSPOT,178,178,15.0,15.0,False,SUFFICIENT
10,20250901,BYBITSPOT,BITGET,168,176,15.0,15.0,False,SUFFICIENT
10,20250901,BITGET,BYBITSPOT,160,178,15.0,15.0,False,SUFFICIENT
11,20250901,BYBITSPOT,BINANCE,112,176,15.0,15.0,False,SUFFICIENT
11,20250901,BINANCE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
11,20250901,BYBITSPOT,COINBASE,112,176,15.0,15.0,False,SUFFICIENT
11,20250901,COINBASE,BYBITSPOT,113,178,15.0,15.0,False,SUFFICIENT
