event_id,date,venue_event,venue_i,venue_j,lag,placebo_type,delta_beta,delta_tsi,p_delta_beta,notes
0,20250901,BINANCE,BINANCE,BITGET,0,minus30m,-0.0010407027506907,0.0094402133142315,0.3996276834384819,simplified_placebo
0,20250901,BINANCE,BINANCE,BITGET,0,plus30m,-0.0013844172840154,0.0286840560435549,0.889373815255061,simplified_placebo
0,20250901,BINANCE,BINANCE,BITGET,0,noon,0.0009469872129072,0.1260447589630672,0.3668453395851647,simplified_placebo
1,20250901,BINANCE,BINANCE,COINBASE,0,minus30m,0.0013768276547737,-0.1335076142138619,0.8861896444706275,simplified_placebo
1,20250901,BINANCE,BINANCE,COINBASE,0,plus30m,-0.000396273535419,-0.0644018066911881,0.6924453302938114,simplified_placebo
1,20250901,BINANCE,BINANCE,COINBASE,0,noon,-0.0007012089438187,-0.1271490306084558,0.3849249684021664,simplified_placebo
1,20250901,BINANCE,BINANCE,BYBITSPOT,0,minus30m,0.000175347615016,-0.0192940368546754,0.4997730973356696,simplified_placebo
1,20250901,BINANCE,BINANCE,BYBITSPOT,0,plus30m,-0.0003175505626921,0.0277561839170032,0.2622879240441305,simplified_placebo
1,20250901,BINANCE,BINANCE,BYBITSPOT,0,noon,-0.0016090464632845,-0.1473075733040052,0.7602271818678633,simplified_placebo
3,20250901,BINANCE,BINANCE,BYBITSPOT,0,minus30m,0.0004159849372526,-0.0359573613280517,0.1788678553833321,simplified_placebo
3,20250901,BINANCE,BINANCE,BYBITSPOT,0,plus30m,0.00118905653453,0.1749573314694472,0.5665902083505358,simplified_placebo
3,20250901,BINANCE,BINANCE,BYBITSPOT,0,noon,3.408130739349492e-05,-0.0250220252286575,0.1750806771972374,simplified_placebo
4,20250901,BINANCE,BINANCE,COINBASE,0,minus30m,-0.0010761328343143,-0.0107313438513606,0.1268856686556884,simplified_placebo
4,20250901,BINANCE,BINANCE,COINBASE,0,plus30m,0.0010847496415519,0.0428103230804909,0.8173789839002903,simplified_placebo
4,20250901,BINANCE,BINANCE,COINBASE,0,noon,0.0007424310969835,0.1415180919440843,0.7668343526540241,simplified_placebo
5,20250901,BITGET,BINANCE,BITGET,0,minus30m,-0.0004358235715592,0.0776511975697815,0.6132594684142894,simplified_placebo
5,20250901,BITGET,BINANCE,BITGET,0,plus30m,-0.0005624644768193,0.1064545939799639,0.2448218378577243,simplified_placebo
5,20250901,BITGET,BINANCE,BITGET,0,noon,-0.0014704828920822,-0.0874080575915926,0.1722779709649493,simplified_placebo
5,20250901,BITGET,COINBASE,BITGET,0,minus30m,0.0009077536661482,-0.1898625407163741,0.6966386294453749,simplified_placebo
5,20250901,BITGET,COINBASE,BITGET,0,plus30m,0.001522444120703,0.2369671385555858,0.8610307278783979,simplified_placebo
5,20250901,BITGET,COINBASE,BITGET,0,noon,-0.0014032945043246,-0.0414070281723764,0.3772530562625473,simplified_placebo
5,20250901,BITGET,BYBITSPOT,BITGET,0,minus30m,0.000213087899989,-0.0710791501002038,0.3620677056168749,simplified_placebo
5,20250901,BITGET,BYBITSPOT,BITGET,0,plus30m,-0.0013745909413725,-0.1400913650845736,0.5989950303057696,simplified_placebo
5,20250901,BITGET,BYBITSPOT,BITGET,0,noon,0.0017019906775066,0.016497685976561,0.1182950197743387,simplified_placebo
8,20250901,BITGET,COINBASE,BITGET,0,minus30m,0.0007520856879358,0.0908030217273026,0.1429395989101913,simplified_placebo
8,20250901,BITGET,COINBASE,BITGET,0,plus30m,-0.0017605524356244,-0.042001964495802,0.5652909663926773,simplified_placebo
8,20250901,BITGET,COINBASE,BITGET,0,noon,0.0002822773807198,0.1218351080273489,0.7067850939416069,simplified_placebo
9,20250901,BITGET,BYBITSPOT,BITGET,0,minus30m,0.0010542497188917,0.0177136560077762,0.6175983240396933,simplified_placebo
9,20250901,BITGET,BYBITSPOT,BITGET,0,plus30m,-3.797984695991745e-05,-0.1009848997503324,0.5552885674150725,simplified_placebo
9,20250901,BITGET,BYBITSPOT,BITGET,0,noon,-0.0001356365901547,0.1112701744975748,0.8279695185424502,simplified_placebo
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,minus30m,0.0002258446680583,0.0838657400181016,0.8284585079362178,simplified_placebo
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,plus30m,0.0001730148896285,-0.0185557101772755,0.8472498436269201,simplified_placebo
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,noon,0.0017793136703439,-0.1584078792696805,0.8237366280317678,simplified_placebo
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,minus30m,0.0014486730859038,0.0013661199419859,0.7025444284070685,simplified_placebo
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,plus30m,-0.0002590871633512,0.1503545091885238,0.5428141472627325,simplified_placebo
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,noon,0.0008901357749298,-0.1042391796139176,0.847232504149534,simplified_placebo
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,minus30m,-0.0003865379691318,-0.03272394037951,0.8441977529429494,simplified_placebo
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,plus30m,0.0014277929749412,-0.0930040497977241,0.6176074069956659,simplified_placebo
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,noon,0.0008434180254346,0.1417722991036746,0.4235876757365261,simplified_placebo
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,minus30m,0.0005137021136027,0.2390630542151386,0.7782639721570526,simplified_placebo
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,plus30m,-0.0009668912948967,-0.0457087967698807,0.3309943583703677,simplified_placebo
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,noon,0.000187010159716,-0.0978858616846589,0.1449750654051804,simplified_placebo
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,minus30m,0.0008103429607627,0.1380547531220084,0.7507690837496911,simplified_placebo
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,plus30m,-0.0012973938145494,-0.0884820670173089,0.4382219642038085,simplified_placebo
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,noon,-0.0002608143392205,0.0778998990043598,0.6633634601189863,simplified_placebo
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,minus30m,0.0010618201846183,-0.0395234210033506,0.4510207131554997,simplified_placebo
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,plus30m,-0.0002840682205539,-0.0188491250007278,0.3239989849758505,simplified_placebo
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,noon,0.001275676959481,-0.1267628906349738,0.6919433901910341,simplified_placebo
16,20250901,COINBASE,BINANCE,COINBASE,0,minus30m,0.0004938691421067,0.0395802213995326,0.4804520499767891,simplified_placebo
16,20250901,COINBASE,BINANCE,COINBASE,0,plus30m,0.0004542115648139,-0.0227412206682198,0.5524459791106099,simplified_placebo
16,20250901,COINBASE,BINANCE,COINBASE,0,noon,9.250485942148003e-05,-0.2728307954937813,0.2955594106666231,simplified_placebo
16,20250901,COINBASE,COINBASE,BINANCE,0,minus30m,-0.0007787659691847,0.0802639192677441,0.738893317391598,simplified_placebo
16,20250901,COINBASE,COINBASE,BINANCE,0,plus30m,-0.000161603977448,0.0845464667942788,0.5253796653225317,simplified_placebo
16,20250901,COINBASE,COINBASE,BINANCE,0,noon,-0.0009976428472691,-0.0558325170800041,0.8813488987813654,simplified_placebo
18,20250901,COINBASE,COINBASE,BYBITSPOT,0,minus30m,0.0004289484152532,-0.0650244520649645,0.6146088179421966,simplified_placebo
18,20250901,COINBASE,COINBASE,BYBITSPOT,0,plus30m,-0.0005260775464873,0.0097917413243888,0.8058392413155733,simplified_placebo
18,20250901,COINBASE,COINBASE,BYBITSPOT,0,noon,-0.000634210648077,0.1136315530102898,0.2569054204360149,simplified_placebo
19,20250901,COINBASE,BINANCE,COINBASE,0,minus30m,0.0005744644355478,0.0508119777810654,0.1665813951290496,simplified_placebo
19,20250901,COINBASE,BINANCE,COINBASE,0,plus30m,-0.002124618016396,0.1008790211131335,0.2247241877762155,simplified_placebo
19,20250901,COINBASE,BINANCE,COINBASE,0,noon,-9.857310680848154e-05,-0.028131926439633,0.1732725430368428,simplified_placebo
19,20250901,COINBASE,COINBASE,BINANCE,0,minus30m,-8.488844660259542e-05,-0.0790220928414566,0.2726168720831594,simplified_placebo
19,20250901,COINBASE,COINBASE,BINANCE,0,plus30m,8.40507143913366e-05,-0.1260385661407171,0.3504302678570968,simplified_placebo
19,20250901,COINBASE,COINBASE,BINANCE,0,noon,0.0004303357237217,-0.1072100927077955,0.2156751166008245,simplified_placebo
19,20250901,COINBASE,COINBASE,BYBITSPOT,0,minus30m,0.0031293553322202,-0.0273068989360407,0.54907793499303,simplified_placebo
19,20250901,COINBASE,COINBASE,BYBITSPOT,0,plus30m,-2.188673604400028e-05,0.0560641471827366,0.7035414800241372,simplified_placebo
19,20250901,COINBASE,COINBASE,BYBITSPOT,0,noon,0.0017837454900887,0.2437991260675326,0.36520695331923,simplified_placebo
20,20250902,BINANCE,BINANCE,COINBASE,0,minus30m,0.0008193813048271,-0.1919287248862834,0.4968475405984675,simplified_placebo
20,20250902,BINANCE,BINANCE,COINBASE,0,plus30m,-0.0009119614347758,-0.0515252651163211,0.4887081868831233,simplified_placebo
20,20250902,BINANCE,BINANCE,COINBASE,0,noon,0.0004764849997892,0.0798730871325768,0.7515322396870795,simplified_placebo
20,20250902,BINANCE,BINANCE,BYBITSPOT,0,minus30m,-0.0022558993429285,-0.087841523989994,0.2122786607854536,simplified_placebo
20,20250902,BINANCE,BINANCE,BYBITSPOT,0,plus30m,0.0005306252685776,0.0263209587001237,0.8293615558391773,simplified_placebo
20,20250902,BINANCE,BINANCE,BYBITSPOT,0,noon,-0.0008886606574013,0.0334215641208712,0.6607226236982247,simplified_placebo
24,20250902,BINANCE,BINANCE,BITGET,0,minus30m,4.10612490369366e-05,0.0107949585457143,0.6062519608241309,simplified_placebo
24,20250902,BINANCE,BINANCE,BITGET,0,plus30m,-0.0004119107376434,-0.0041053711177078,0.1479995476524809,simplified_placebo
24,20250902,BINANCE,BINANCE,BITGET,0,noon,-0.0002480844877549,0.2011360291731592,0.7010278535742672,simplified_placebo
25,20250902,BINANCE,BINANCE,BITGET,0,minus30m,0.0020886296082588,-0.0983251700815796,0.1257725150626107,simplified_placebo
25,20250902,BINANCE,BINANCE,BITGET,0,plus30m,1.0067942183174057e-05,0.063977741098614,0.6571616226107705,simplified_placebo
25,20250902,BINANCE,BINANCE,BITGET,0,noon,-0.0009318253401188,-0.0257773638158423,0.1887872783342108,simplified_placebo
26,20250902,BINANCE,BINANCE,BITGET,0,minus30m,-0.0008803779927931,0.0292986671834861,0.2914321955407301,simplified_placebo
26,20250902,BINANCE,BINANCE,BITGET,0,plus30m,-4.304119904687763e-05,-0.076201542565864,0.8010840623053369,simplified_placebo
26,20250902,BINANCE,BINANCE,BITGET,0,noon,-0.0011474159427562,-0.0065258413145039,0.7105785328580487,simplified_placebo
27,20250902,BINANCE,BINANCE,BYBITSPOT,0,minus30m,0.0006748258750855,0.0740270030669202,0.486582063142112,simplified_placebo
27,20250902,BINANCE,BINANCE,BYBITSPOT,0,plus30m,0.0003029865047412,0.1462378348721534,0.4255737874468585,simplified_placebo
27,20250902,BINANCE,BINANCE,BYBITSPOT,0,noon,0.0002575649050954,-0.083512531412413,0.5193466499189434,simplified_placebo
31,20250902,BITGET,COINBASE,BITGET,0,minus30m,0.000258248352963,0.0683274039559959,0.3109633608671185,simplified_placebo
31,20250902,BITGET,COINBASE,BITGET,0,plus30m,-3.095037874042773e-05,0.0556408489893634,0.2456023153472061,simplified_placebo
31,20250902,BITGET,COINBASE,BITGET,0,noon,-0.0003468159564762,0.0214926018000965,0.2241543080595416,simplified_placebo
32,20250902,BITGET,BINANCE,BITGET,0,minus30m,0.0006358288211912,0.055802753161504,0.6441844492328095,simplified_placebo
32,20250902,BITGET,BINANCE,BITGET,0,plus30m,0.0013744865949189,0.030223105245596,0.3403133715668399,simplified_placebo
32,20250902,BITGET,BINANCE,BITGET,0,noon,0.0004688214228712,-0.1222263502464368,0.432808290186106,simplified_placebo
33,20250902,BITGET,BINANCE,BITGET,0,minus30m,0.0003615251288147,-0.0725605539343611,0.4250103709452697,simplified_placebo
33,20250902,BITGET,BINANCE,BITGET,0,plus30m,-0.0003308021414755,0.0602351272078683,0.1813486749869593,simplified_placebo
33,20250902,BITGET,BINANCE,BITGET,0,noon,-2.860698750328431e-05,0.1320610576507775,0.8005655429067768,simplified_placebo
33,20250902,BITGET,COINBASE,BITGET,0,minus30m,-0.0017920849521369,-0.0296086967388533,0.5747053372343738,simplified_placebo
33,20250902,BITGET,COINBASE,BITGET,0,plus30m,0.0024041715992517,0.0340447574977933,0.4085773992925721,simplified_placebo
33,20250902,BITGET,COINBASE,BITGET,0,noon,-0.0002413535542273,0.0675391068341452,0.1479395405650471,simplified_placebo
35,20250902,BITGET,COINBASE,BITGET,0,minus30m,-0.0006896411650798,-0.0152077277890255,0.6543045624492464,simplified_placebo
35,20250902,BITGET,COINBASE,BITGET,0,plus30m,0.0016857025515506,0.1348438951663127,0.3874316218653962,simplified_placebo
35,20250902,BITGET,COINBASE,BITGET,0,noon,0.0012445618065959,-0.064284670500208,0.3152131047711025,simplified_placebo
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,minus30m,0.0007634464666219,-0.0218880391429436,0.3146180754720168,simplified_placebo
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,plus30m,-0.0001079422446481,0.1273116941262006,0.5868913977493108,simplified_placebo
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,noon,-0.0019784821510208,-0.0163680720755826,0.8912271007741612,simplified_placebo
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,minus30m,6.518355578409936e-05,-0.0535896765074518,0.864494994054946,simplified_placebo
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,plus30m,0.000929973378422,-0.114161516263504,0.3958805794593426,simplified_placebo
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,noon,0.0011830883322504,-0.1780961736602512,0.6031583727130451,simplified_placebo
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,0,minus30m,-8.241031010475561e-05,0.0611422433180093,0.7786117918867997,simplified_placebo
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,0,plus30m,0.0001848400725186,-0.0149497716990724,0.387803741308824,simplified_placebo
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,0,noon,-0.0008488287945932,-0.1231691579064549,0.5526236747392929,simplified_placebo
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,minus30m,-0.0001566249574678,0.121072915098415,0.1980620917088228,simplified_placebo
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,plus30m,-0.0012140704328851,0.1160866035378618,0.8048854571098449,simplified_placebo
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,noon,5.978953014768354e-05,0.0636491760583203,0.352547073618953,simplified_placebo
42,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,minus30m,0.0005517235129242,-0.0191033887360698,0.6533503888826904,simplified_placebo
42,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,plus30m,-0.0004290665631008,0.0013387742592982,0.4485373277059206,simplified_placebo
42,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,noon,0.0008958819383439,-0.0803394751372488,0.6513182563774327,simplified_placebo
43,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,minus30m,0.0008208532321729,-0.0202251994225899,0.2398960770889858,simplified_placebo
43,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,plus30m,-0.0003066494620472,-0.170038225221428,0.4225404644935308,simplified_placebo
43,20250902,BYBITSPOT,BINANCE,BYBITSPOT,0,noon,-0.0008779924680215,-0.1317767901750106,0.6762035032706581,simplified_placebo
43,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,minus30m,-0.0006924098370249,0.0206941887111747,0.2002351161400083,simplified_placebo
43,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,plus30m,-0.0016588749063206,-0.0002610375965731,0.4930625863006673,simplified_placebo
43,20250902,BYBITSPOT,COINBASE,BYBITSPOT,0,noon,0.0005212506211713,-0.0790369052150874,0.2277647199211518,simplified_placebo
44,20250902,COINBASE,BINANCE,COINBASE,0,minus30m,0.0007057197574911,0.0031610656929304,0.4393344497618071,simplified_placebo
44,20250902,COINBASE,BINANCE,COINBASE,0,plus30m,0.00069319472844,-0.158654485173149,0.8475693895486646,simplified_placebo
44,20250902,COINBASE,BINANCE,COINBASE,0,noon,-0.0005062655584721,0.0653273360105523,0.3494480126822867,simplified_placebo
44,20250902,COINBASE,COINBASE,BINANCE,0,minus30m,-1.579574943890196e-05,-0.0932395891795778,0.6372823942954413,simplified_placebo
44,20250902,COINBASE,COINBASE,BINANCE,0,plus30m,-2.071869127442561e-06,-0.0896270956617724,0.5373969373638466,simplified_placebo
44,20250902,COINBASE,COINBASE,BINANCE,0,noon,-0.0007332922118827,0.1445800108211515,0.6717642920323905,simplified_placebo
47,20250902,COINBASE,COINBASE,BYBITSPOT,0,minus30m,-0.0002702578641029,-0.0495504983238041,0.1535156669472213,simplified_placebo
47,20250902,COINBASE,COINBASE,BYBITSPOT,0,plus30m,-0.0003838877048569,-0.1988296455156667,0.7821050954125576,simplified_placebo
47,20250902,COINBASE,COINBASE,BYBITSPOT,0,noon,0.0001752084504654,0.006031105569654,0.4398328076011575,simplified_placebo
48,20250902,COINBASE,COINBASE,BYBITSPOT,0,minus30m,0.0001799431491671,0.0769441023152242,0.7482421141650996,simplified_placebo
48,20250902,COINBASE,COINBASE,BYBITSPOT,0,plus30m,-0.0004756259838305,-0.1273436004212633,0.4881042054777235,simplified_placebo
48,20250902,COINBASE,COINBASE,BYBITSPOT,0,noon,0.00026226538097,0.1433807136346893,0.2630052541535715,simplified_placebo
51,20250902,COINBASE,COINBASE,BYBITSPOT,0,minus30m,0.0011437226507778,0.0429591109972668,0.7052310374433869,simplified_placebo
51,20250902,COINBASE,COINBASE,BYBITSPOT,0,plus30m,-0.0005567972283326,-0.038732401151779,0.7381460325536913,simplified_placebo
