event_id,date,venue_event,venue_i,venue_j,delta_disp,delta_entropy,session,wash_tercile,n_pre,n_post
0,20250901,BINANCE,BINANCE,COINBASE,2.22163559400286e-09,0.0,Tokyo,low,180,180
0,20250901,BINANCE,COINBASE,BINANCE,2.22163559400286e-09,0.0,Tokyo,low,180,180
0,20250901,BINANCE,BINANCE,BYBITSPOT,2.5391882317150657e-08,0.0,Tokyo,low,178,178
0,20250901,BINANCE,BYBITSPOT,BINANCE,2.344098246321506e-08,0.0,Tokyo,low,176,176
0,20250901,BINANCE,BINANCE,BITGET,8.756507330785697e-09,0.0,Tokyo,low,170,180
0,20250901,BINANCE,BITGET,BINANCE,1.1552266776591532e-08,1.921584454955827e-05,Tokyo,low,162,178
1,20250901,BINANCE,BINANCE,COINBASE,2.565178749593315e-09,0.0001552696480675575,Tokyo,low,114,180
1,20250901,BINANCE,COINBASE,BINANCE,2.565178749593315e-09,0.0001552696480675575,Tokyo,low,114,180
1,20250901,BINANCE,BINANCE,BYBITSPOT,1.860120683950084e-10,0.00014079290243085296,Tokyo,low,113,178
1,20250901,BINANCE,BYBITSPOT,BINANCE,3.1561029975561793e-09,0.00017426469088310803,Tokyo,low,112,176
1,20250901,BINANCE,BINANCE,BITGET,-3.0761093527309317e-09,0.0001932396212405152,Tokyo,low,107,171
1,20250901,BINANCE,BITGET,BINANCE,-2.76436209334854e-09,-0.00011314944552243134,Tokyo,low,100,163
2,20250901,BINANCE,BINANCE,COINBASE,1.5788393531341152e-08,0.0,London,low,180,180
2,20250901,BINANCE,COINBASE,BINANCE,1.9856743739419997e-08,0.0,London,low,180,180
2,20250901,BINANCE,BINANCE,BYBITSPOT,1.8098739476102272e-08,6.644336593586431e-05,London,low,174,180
2,20250901,BINANCE,BYBITSPOT,BINANCE,2.0185153222909264e-08,4.3155334296329784e-05,London,low,167,176
2,20250901,BINANCE,BINANCE,BITGET,2.5422059891556655e-08,0.0,London,low,180,180
2,20250901,BINANCE,BITGET,BINANCE,2.1047888178028007e-08,0.0,London,low,180,180
3,20250901,BINANCE,BINANCE,COINBASE,8.899888373205176e-08,0.0,London,low,180,180
3,20250901,BINANCE,COINBASE,BINANCE,8.971470247755986e-08,0.0,London,low,180,180
3,20250901,BINANCE,BINANCE,BYBITSPOT,6.196033202192475e-08,0.0,London,low,180,180
3,20250901,BINANCE,BYBITSPOT,BINANCE,6.137964821748757e-08,9.486583594142672e-05,London,low,178,180
3,20250901,BINANCE,BINANCE,BITGET,5.995735223457388e-08,0.0,London,low,180,180
3,20250901,BINANCE,BITGET,BINANCE,4.6526367149991116e-08,0.0,London,low,180,180
4,20250901,BINANCE,BINANCE,COINBASE,4.805808296848184e-08,0.0,London,low,180,180
4,20250901,BINANCE,COINBASE,BINANCE,5.2295928713888656e-08,0.0,London,low,180,180
4,20250901,BINANCE,BINANCE,BYBITSPOT,-3.008168501480411e-08,0.0,London,low,180,180
4,20250901,BINANCE,BYBITSPOT,BINANCE,7.076110141450325e-08,0.0,London,low,180,180
4,20250901,BINANCE,BINANCE,BITGET,-1.6410271546693146e-08,0.0,London,low,180,180
4,20250901,BINANCE,BITGET,BINANCE,5.067726636552685e-08,0.0,London,low,180,180
5,20250901,BITGET,BITGET,BINANCE,1.1552266776591532e-08,1.921584454955827e-05,Tokyo,low,162,178
5,20250901,BITGET,BINANCE,BITGET,8.756507330785697e-09,0.0,Tokyo,low,170,180
5,20250901,BITGET,BITGET,COINBASE,1.615470205061272e-08,1.921584454955827e-05,Tokyo,low,162,178
5,20250901,BITGET,COINBASE,BITGET,9.615130173798997e-09,0.0,Tokyo,low,170,180
5,20250901,BITGET,BITGET,BYBITSPOT,2.4741368977535262e-08,-9.486583594142672e-05,Tokyo,low,160,178
5,20250901,BITGET,BYBITSPOT,BITGET,2.0134648708334434e-08,4.23041187398443e-05,Tokyo,low,168,176
6,20250901,BITGET,BITGET,BINANCE,-2.76436209334854e-09,-0.00011314944552243134,Tokyo,low,100,163
6,20250901,BITGET,BINANCE,BITGET,-3.0761093527309317e-09,0.0001932396212405152,Tokyo,low,107,171
6,20250901,BITGET,BITGET,COINBASE,-3.2323481861319603e-10,-0.00011314944552243134,Tokyo,low,100,163
6,20250901,BITGET,COINBASE,BITGET,-7.169227157705351e-10,0.0001932396212405152,Tokyo,low,107,171
6,20250901,BITGET,BITGET,BYBITSPOT,1.4381441963649872e-08,9.301879824707981e-05,Tokyo,low,99,163
6,20250901,BITGET,BYBITSPOT,BITGET,6.099378459077453e-09,-7.044529914423947e-05,Tokyo,low,105,169
7,20250901,BITGET,BITGET,BINANCE,2.1047888178028007e-08,0.0,London,low,180,180
7,20250901,BITGET,BINANCE,BITGET,2.5422059891556655e-08,0.0,London,low,180,180
7,20250901,BITGET,BITGET,COINBASE,2.245545087987518e-08,0.0,London,low,180,180
7,20250901,BITGET,COINBASE,BITGET,3.06080166505674e-08,0.0,London,low,180,180
7,20250901,BITGET,BITGET,BYBITSPOT,1.904730069127795e-08,6.644336593586431e-05,London,low,174,180
7,20250901,BITGET,BYBITSPOT,BITGET,2.062089125936373e-08,0.00010650783819943221,London,low,168,180
8,20250901,BITGET,BITGET,BINANCE,2.979706485428538e-08,0.0,London,low,180,180
8,20250901,BITGET,BINANCE,BITGET,4.3979867987684814e-08,0.0,London,low,180,180
8,20250901,BITGET,BITGET,COINBASE,4.3016252243561783e-08,0.0,London,low,180,180
8,20250901,BITGET,COINBASE,BITGET,4.99136316327354e-08,0.0,London,low,180,180
8,20250901,BITGET,BITGET,BYBITSPOT,7.028155129867817e-08,0.0,London,low,180,180
8,20250901,BITGET,BYBITSPOT,BITGET,7.550147238935646e-08,0.0,London,low,180,180
9,20250901,BITGET,BITGET,BINANCE,5.067726636552685e-08,0.0,London,low,180,180
9,20250901,BITGET,BINANCE,BITGET,-1.6410271546693146e-08,0.0,London,low,180,180
9,20250901,BITGET,BITGET,COINBASE,5.207153149767536e-08,0.0,London,low,180,180
9,20250901,BITGET,COINBASE,BITGET,-3.0202026632262367e-08,0.0,London,low,180,180
9,20250901,BITGET,BITGET,BYBITSPOT,3.938561945932167e-08,0.0,London,low,180,180
9,20250901,BITGET,BYBITSPOT,BITGET,3.098760918786764e-08,0.0,London,low,180,180
10,20250901,BYBITSPOT,BYBITSPOT,BINANCE,2.344098246321506e-08,0.0,Tokyo,low,176,176
10,20250901,BYBITSPOT,BINANCE,BYBITSPOT,2.5391882317150657e-08,0.0,Tokyo,low,178,178
10,20250901,BYBITSPOT,BYBITSPOT,COINBASE,2.822305045771888e-08,0.0,Tokyo,low,176,176
10,20250901,BYBITSPOT,COINBASE,BYBITSPOT,2.757283699275144e-08,0.0,Tokyo,low,178,178
10,20250901,BYBITSPOT,BYBITSPOT,BITGET,2.0134648708334434e-08,4.23041187398443e-05,Tokyo,low,168,176
10,20250901,BYBITSPOT,BITGET,BYBITSPOT,2.4741368977535262e-08,-9.486583594142672e-05,Tokyo,low,160,178
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,3.1561029975561793e-09,0.00017426469088310803,Tokyo,low,112,176
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,1.860120683950084e-10,0.00014079290243085296,Tokyo,low,113,178
11,20250901,BYBITSPOT,BYBITSPOT,COINBASE,2.4423462535633435e-09,0.00017426469088310803,Tokyo,low,112,176
11,20250901,BYBITSPOT,COINBASE,BYBITSPOT,5.122885734348507e-10,0.00014079290243085296,Tokyo,low,113,178
11,20250901,BYBITSPOT,BYBITSPOT,BITGET,6.099378459077453e-09,-7.044529914423947e-05,Tokyo,low,105,169
11,20250901,BYBITSPOT,BITGET,BYBITSPOT,1.4381441963649872e-08,9.301879824707981e-05,Tokyo,low,99,163
12,20250901,BYBITSPOT,BYBITSPOT,BINANCE,2.0185153222909264e-08,4.3155334296329784e-05,London,low,167,176
12,20250901,BYBITSPOT,BINANCE,BYBITSPOT,1.8098739476102272e-08,6.644336593586431e-05,London,low,174,180
12,20250901,BYBITSPOT,BYBITSPOT,COINBASE,2.4539349365952572e-08,4.3155334296329784e-05,London,low,167,176
12,20250901,BYBITSPOT,COINBASE,BYBITSPOT,5.600724130157058e-09,6.644336593586431e-05,London,low,174,180
12,20250901,BYBITSPOT,BYBITSPOT,BITGET,2.062089125936373e-08,0.00010650783819943221,London,low,168,180
12,20250901,BYBITSPOT,BITGET,BYBITSPOT,1.904730069127795e-08,6.644336593586431e-05,London,low,174,180
13,20250901,BYBITSPOT,BYBITSPOT,BINANCE,7.322732708247715e-08,6.277301686119507e-05,London,low,179,180
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,7.736924349409293e-08,0.0,London,low,180,180
13,20250901,BYBITSPOT,BYBITSPOT,COINBASE,4.8244141367906855e-08,6.277301686119507e-05,London,low,179,180
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,7.588080805754928e-08,0.0,London,low,180,180
13,20250901,BYBITSPOT,BYBITSPOT,BITGET,9.86707800436424e-08,0.0,London,low,180,180
13,20250901,BYBITSPOT,BITGET,BYBITSPOT,1.0593868350584744e-07,0.0,London,low,180,180
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,7.076110141450325e-08,0.0,London,low,180,180
14,20250901,BYBITSPOT,BINANCE,BYBITSPOT,-3.008168501480411e-08,0.0,London,low,180,180
