event_id,date,venue_i,venue_j,delta_beta_ij,delta_beta_ji,symmetric,persist_pre15_post30,notes
0,20250901,BINANCE,COINBASE,0.0022775677739809456,0.000606551730439787,True,False,simplified_symmetry
0,20250901,COINBASE,BINANCE,0.0005407574805497869,0.0001015388218973634,True,True,simplified_symmetry
0,20250901,BINANCE,BYBITSPOT,0.0020604648207474376,0.0004578065121368199,True,False,simplified_symmetry
0,20250901,BYBITSPOT,BINANCE,0.0012249419893095085,0.0004983783596135224,True,True,simplified_symmetry
0,20250901,BINANCE,BITGET,0.0012946483153726397,0.0007366347010716628,True,True,simplified_symmetry
0,20250901,BITGET,BINANCE,0.00024036646915179315,0.0011623708329873228,True,False,simplified_symmetry
1,20250901,BINANCE,COINBASE,0.000254595895135498,0.0019511815285793367,True,True,simplified_symmetry
1,20250901,COINBASE,BINANCE,0.0014671268611066886,0.0013217340710253906,True,True,simplified_symmetry
1,20250901,BINANCE,BYBITSPOT,0.0006824835543643747,0.00019165923911018115,True,True,simplified_symmetry
1,20250901,BYBITSPOT,BINANCE,0.0009011833903630857,0.0009174454899558939,False,False,simplified_symmetry
1,20250901,BINANCE,BITGET,0.0005512589413412654,0.0002288151601457769,True,True,simplified_symmetry
1,20250901,BITGET,BINANCE,-3.0609356444198394e-05,0.0015367770132442577,True,False,simplified_symmetry
2,20250901,BINANCE,COINBASE,0.001589807758924664,0.0012795500352999994,True,False,simplified_symmetry
2,20250901,COINBASE,BINANCE,0.0010380674234045202,0.000581785861149816,True,False,simplified_symmetry
2,20250901,BINANCE,BYBITSPOT,0.0005195258676947462,8.090550989661922e-05,True,False,simplified_symmetry
2,20250901,BYBITSPOT,BINANCE,0.00046661678793559393,0.0011575040995417062,True,True,simplified_symmetry
2,20250901,BINANCE,BITGET,0.0009736997073718344,0.00016198295201319188,True,True,simplified_symmetry
2,20250901,BITGET,BINANCE,0.0008982807991430692,0.0006217479038476822,True,False,simplified_symmetry
3,20250901,BINANCE,COINBASE,0.0008249095519215347,0.0001795381920570527,True,False,simplified_symmetry
3,20250901,COINBASE,BINANCE,0.0013417290180537356,0.0002438570392866217,True,False,simplified_symmetry
3,20250901,BINANCE,BYBITSPOT,0.0008791020004486135,0.001113258193972829,False,True,simplified_symmetry
