event_id,date,venue_event,venue_i,venue_j,tsi_pre,tsi_post,delta_tsi,runlen_pre,runlen_post,n_pre,n_post,insufficient,notes
0,20250901,BINANCE,BINANCE,BITGET,1.794377574098846,2.482355635187757,0.2155444889034201,21,21,49,71,False,
1,20250901,BINANCE,BINANCE,COINBASE,1.5085077749552178,4.162049170679069,0.3477757049619578,22,19,48,60,False,
1,20250901,BINANCE,BINANCE,BYBITSPOT,2.597648633345208,3.346757781494034,0.0801528401967781,19,26,41,68,False,
3,20250901,BINANCE,BINANCE,BYBITSPOT,2.405113950126632,3.118777905955853,0.3052981003982383,16,18,70,46,False,
4,20250901,BINANCE,BINANCE,COINBASE,1.9280750538180664,3.228030334204932,0.4525281576592492,24,22,61,44,False,
5,20250901,BITGET,BINANCE,BITGET,2.607978254236752,2.750867045560072,0.5320013778270238,15,19,49,71,True,LOW_N_TSI
5,20250901,BITGET,COINBASE,BITGET,3.108184695150242,2.354428428326839,0.3406539340581999,21,18,47,64,False,
5,20250901,BITGET,BYBITSPOT,BITGET,2.411048727471581,2.8967513109052487,0.5365187722958411,23,26,49,61,True,LOW_N_TSI
8,20250901,BITGET,COINBASE,BITGET,3.109995835755976,2.208050233778869,0.0406975496270789,19,27,70,41,False,
9,20250901,BITGET,BYBITSPOT,BITGET,2.406924220559723,3.078516275011894,0.3634793258433079,20,19,57,47,True,LOW_N_TSI
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,2.02198133788199,2.7159245461900343,0.545694995050642,18,18,41,68,False,
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,3.335060757442432,3.022095220430707,0.2830073485568773,21,27,42,68,False,
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,2.2691940258830448,3.0134130314070355,0.2315126715604788,15,22,71,48,False,
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,2.5177965873120205,2.8763516528862234,0.7522357394764503,23,25,60,42,False,
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,2.3909169476943046,3.330711304392496,0.1895410806272606,18,22,48,52,False,
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,2.2954048517305217,3.286151350573004,0.3894141002418053,21,23,72,48,False,
16,20250901,COINBASE,BINANCE,COINBASE,2.513082850583132,2.538598187251767,0.157185369205071,24,19,48,60,True,LOW_N_TSI
16,20250901,COINBASE,COINBASE,BINANCE,2.667680775704957,2.3358024529415946,0.4360785319048872,16,19,49,60,True,LOW_N_TSI
18,20250901,COINBASE,COINBASE,BYBITSPOT,2.313679921412108,2.886165426909873,0.4360040945938682,17,20,62,46,True,LOW_N_TSI
19,20250901,COINBASE,BINANCE,COINBASE,3.082620392832821,3.2545243603211085,0.0422418300222441,24,21,61,44,True,LOW_N_TSI
19,20250901,COINBASE,COINBASE,BINANCE,2.415771771608559,2.3556361505208976,0.4097095538678495,15,18,61,44,True,LOW_N_TSI
19,20250901,COINBASE,COINBASE,BYBITSPOT,1.2452441290716847,2.538045936434493,0.3482654568740518,17,23,48,52,True,LOW_N_TSI
20,20250902,BINANCE,BINANCE,COINBASE,2.6995053758963365,3.056199813604897,0.3159644277249763,16,20,57,49,False,
20,20250902,BINANCE,BINANCE,BYBITSPOT,3.812194470752423,3.1001844471681705,0.0826761274271059,17,24,56,48,False,
24,20250902,BINANCE,BINANCE,BITGET,2.3421732440846865,3.5758236243083243,0.3465788603094397,21,27,64,39,False,
25,20250902,BINANCE,BINANCE,BITGET,1.829546772397963,2.4541529926547487,0.5119926710050986,20,20,43,73,False,
26,20250902,BINANCE,BINANCE,BITGET,2.4426004987708074,3.1805928661408007,0.1768596997532356,23,25,46,55,False,
27,20250902,BINANCE,BINANCE,BYBITSPOT,2.85598069798046,2.7627470151881,0.0246698825000326,19,22,49,51,False,
31,20250902,BITGET,COINBASE,BITGET,2.384242102185244,2.7423445634111854,0.3649147576256571,23,20,54,46,False,
32,20250902,BITGET,BINANCE,BITGET,2.724699500072924,2.30516859992428,0.2424134355400339,19,25,64,39,True,LOW_N_TSI
33,20250902,BITGET,BINANCE,BITGET,2.0662199190045945,3.0887269035191736,0.0439168296229259,20,26,43,73,True,LOW_N_TSI
33,20250902,BITGET,COINBASE,BITGET,3.16046380883722,2.907290394350963,0.3382554603788074,20,20,43,74,False,
35,20250902,BITGET,COINBASE,BITGET,1.965517522193927,3.704669191280104,0.3317329136881988,22,22,51,49,False,
36,20250902,BYBITSPOT,BINANCE,BYBITSPOT,2.36743885316441,2.708934822216553,0.0557031961652619,20,18,56,48,False,
39,20250902,BYBITSPOT,COINBASE,BYBITSPOT,1.428276895047212,3.437932375299611,-0.403741066373453,15,19,55,46,False,
39,20250902,BYBITSPOT,BYBITSPOT,BINANCE,2.636113933206609,2.6130741469642245,0.3013030658735752,18,23,49,54,False,
40,20250902,BYBITSPOT,COINBASE,BYBITSPOT,2.5763115784721986,2.3924338120486768,0.3602652283290092,23,18,54,47,False,
42,20250902,BYBITSPOT,BINANCE,BYBITSPOT,2.7904930524818,2.6549227471826344,0.0599427214119678,17,25,52,49,False,
43,20250902,BYBITSPOT,BINANCE,BYBITSPOT,2.3102623638941786,2.649297561582001,0.5542369937973204,19,22,49,51,False,
43,20250902,BYBITSPOT,COINBASE,BYBITSPOT,2.897951807992925,2.6881871134347155,0.1286049780123349,21,22,55,47,False,
44,20250902,COINBASE,BINANCE,COINBASE,2.486588244194998,3.407072291365343,0.2732142961324317,17,22,57,49,True,LOW_N_TSI
