venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
BINANCE,20250901,107500.0,Round,2025-09-01 02:49:19.770000,2025-09-01 02:34:19.770000,2025-09-01 02:49:19.770000,2025-09-01 02:49:19.770000,2025-09-01 03:04:19.770000,15753,19737,Asia,Low
BINANCE,20250901,108000.0,Round,2025-09-01 00:09:32.830000,2025-08-31 23:54:32.830000,2025-09-01 00:09:32.830000,2025-09-01 00:09:32.830000,2025-09-01 00:24:32.830000,13492,19687,Asia,Low
BINANCE,20250901,108500.0,Round,2025-09-01 07:30:07.714000,2025-09-01 07:15:07.714000,2025-09-01 07:30:07.714000,2025-09-01 07:30:07.714000,2025-09-01 07:45:07.714000,15575,26809,Asia,Low
BINANCE,20250901,109000.0,Round,2025-09-01 07:50:04.945000,2025-09-01 07:35:04.945000,2025-09-01 07:50:04.945000,2025-09-01 07:50:04.945000,2025-09-01 08:05:04.945000,21089,39447,Asia,Low
BINANCE,20250901,109500.0,Round,2025-09-01 08:00:05.622000,2025-09-01 07:45:05.622000,2025-09-01 08:00:05.622000,2025-09-01 08:00:05.622000,2025-09-01 08:15:05.622000,29332,33082,EU,Medium
COINBASE,20250901,107500.0,Round,2025-09-01 02:49:18.255284,2025-09-01 02:34:18.255284,2025-09-01 02:49:18.255284,2025-09-01 02:49:18.255284,2025-09-01 03:04:18.255284,8775,8564,Asia,Low
COINBASE,20250901,108000.0,Round,2025-09-01 00:09:33.164393,2025-08-31 23:54:33.164393,2025-09-01 00:09:33.164393,2025-09-01 00:09:33.164393,2025-09-01 00:24:33.164393,3824,6295,Asia,Low
COINBASE,20250901,108500.0,Round,2025-09-01 07:30:07.207076,2025-09-01 07:15:07.207076,2025-09-01 07:30:07.207076,2025-09-01 07:30:07.207076,2025-09-01 07:45:07.207076,4607,4870,Asia,Low
COINBASE,20250901,109000.0,Round,2025-09-01 07:48:20.300954,2025-09-01 07:33:20.300954,2025-09-01 07:48:20.300954,2025-09-01 07:48:20.300954,2025-09-01 08:03:20.300954,4924,6821,Asia,Low
COINBASE,20250901,109500.0,Round,2025-09-01 08:00:05.661123,2025-09-01 07:45:05.661123,2025-09-01 08:00:05.661123,2025-09-01 08:00:05.661123,2025-09-01 08:15:05.661123,5884,7211,EU,Medium
BYBITSPOT,20250901,107500.0,Round,2025-09-01 02:49:18.262000,2025-09-01 02:34:18.262000,2025-09-01 02:49:18.262000,2025-09-01 02:49:18.262000,2025-09-01 03:04:18.262000,6106,7949,Asia,Low
