venue,date,pair,lag,beta_pre,beta_post,delta,p_delta,n_pre,n_post
BINANCE,20250901,BINANCE->COINBASE,0,0.8825564786681983,0.8725101928537644,-0.010046285814433897,,360,360
BINANCE,20250901,BINANCE->COINBASE,1,0.15974639872147714,0.23725168516078296,0.07750528643930582,,359,359
BINANCE,20250901,BINANCE->COINBASE,2,0.046660464368785085,0.0009600746211650284,-0.04570038974762006,,358,358
BINANCE,20250901,BINANCE->BYBITSPOT,0,0.053486575149147675,-0.09106783388404302,-0.1445544090331907,,354,357
BINANCE,20250901,BINANCE->BYBITSPOT,1,0.023475498711228962,-0.02610248838283043,-0.04957798709405939,,353,356
BINANCE,20250901,BINANCE->BYBITSPOT,2,0.02104781975379373,0.0009195886825214035,-0.020128231071272328,,352,355
BINANCE,20250901,BINANCE->BITGET,0,-0.056611035392794294,0.0284067538975203,0.08501778929031459,,353,360
BINANCE,20250901,BINANCE->BITGET,1,-0.038717631817788055,-0.010299888638624433,0.028417743179163624,,352,359
BINANCE,20250901,BINANCE->BITGET,2,-0.08382618395139625,-0.06875704518466252,0.015069138766733728,,351,358
BINANCE,20250901,COINBASE->BYBITSPOT,0,0.03853305232917098,-0.07978333311212683,-0.11831638544129781,,354,357
BINANCE,20250901,COINBASE->BYBITSPOT,1,0.04091463106800402,-0.05362489075639906,-0.09453952182440309,,353,356
BINANCE,20250901,COINBASE->BYBITSPOT,2,0.009173847489841805,0.008281033227338658,-0.0008928142625031464,,352,355
BINANCE,20250901,COINBASE->BITGET,0,-0.06986548907098003,0.02265566475736891,0.09252115382834894,,353,360
BINANCE,20250901,COINBASE->BITGET,1,-0.06029222619740906,-0.026865998924858674,0.03342622727255039,,352,359
BINANCE,20250901,COINBASE->BITGET,2,-0.0806697225996372,-0.07014109197851703,0.010528630621120166,,351,358
BINANCE,20250901,BYBITSPOT->BITGET,0,0.03415906850335071,-0.08849974991038909,-0.1226588184137398,,343,354
BINANCE,20250901,BYBITSPOT->BITGET,1,0.07022981031725005,-0.035513059163001105,-0.10574286948025116,,342,353
BINANCE,20250901,BYBITSPOT->BITGET,2,-0.08132323627444919,-0.014711711485534334,0.06661152478891486,,341,352
COINBASE,20250901,BINANCE->COINBASE,0,0.8825564786681983,0.8725101928537644,-0.010046285814433897,,360,360
COINBASE,20250901,BINANCE->COINBASE,1,0.15974639872147714,0.23725168516078296,0.07750528643930582,,359,359
