venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
BINANCE,COINBASE,2025-09-01,1,2025-09-01 12:00:00,-0.5290465461500197,0.012685798621973988,-41.70384237643659,0.0,True
BINANCE,COINBASE,2025-09-01,3,2025-09-01 12:00:00,-0.018768724125839194,0.013831052867065012,-1.3569989433365508,0.1747992968504939,False
BINANCE,COINBASE,2025-09-01,6,2025-09-01 12:00:00,0.29974803378493753,0.013423123500286025,22.330721592373816,0.0,True
BINANCE,BYBITSPOT,2025-09-01,1,2025-09-01 12:00:00,0.013352362229580573,0.014997808316895836,0.8902875638528078,0.373324329825071,False
BINANCE,BYBITSPOT,2025-09-01,3,2025-09-01 12:00:00,-0.022928469821359862,0.014995292315044982,-1.5290445387553675,0.12627235870296083,False
BINANCE,BYBITSPOT,2025-09-01,6,2025-09-01 12:00:00,0.00845075588237583,0.015005681227439524,0.5631704255400749,0.573326409193367,False
BINANCE,BITGET,2025-09-01,1,2025-09-01 12:00:00,0.010759991553507403,0.015026603320060158,0.7160627937215239,0.47396258385238843,False
BINANCE,BITGET,2025-09-01,3,2025-09-01 12:00:00,-0.0045914631910539475,0.0150273198770039,-0.3055410564647792,0.7599579126797749,False
BINANCE,BITGET,2025-09-01,6,2025-09-01 12:00:00,-0.012546582368251373,0.015032969704911636,-0.8346043805404663,0.4039524349094874,False
COINBASE,BINANCE,2025-09-01,1,2025-09-01 12:00:00,-0.0691642605954592,0.016746731308504747,-4.130015542814284,3.644460369667257e-05,True
COINBASE,BINANCE,2025-09-01,3,2025-09-01 12:00:00,-0.010034262905618825,0.01675711666169532,-0.5988060540603564,0.5493100855044155,False
COINBASE,BINANCE,2025-09-01,6,2025-09-01 12:00:00,0.029000818923224994,0.01675504249068006,1.7308711057794457,0.08349263921616279,False
COINBASE,BYBITSPOT,2025-09-01,1,2025-09-01 12:00:00,-0.012640629656927086,0.016553160781125682,-0.7636384267674268,0.44509354270178747,False
COINBASE,BYBITSPOT,2025-09-01,3,2025-09-01 12:00:00,-0.039681862512781385,0.016549066711064493,-2.3978308387777907,0.01650340358904545,True
COINBASE,BYBITSPOT,2025-09-01,6,2025-09-01 12:00:00,0.013931839664495991,0.016558321549224243,0.8413799444031631,0.40014718494761015,False
COINBASE,BITGET,2025-09-01,1,2025-09-01 12:00:00,-0.003587627846103591,0.016380080015101474,-0.21902382911414403,0.8266341618918271,False
COINBASE,BITGET,2025-09-01,3,2025-09-01 12:00:00,0.023909404761020693,0.01638194156097579,1.459497622551434,0.14444700714775172,False
COINBASE,BITGET,2025-09-01,6,2025-09-01 12:00:00,-9.732211877165522e-05,0.016387032149371414,-0.005938971613928784,0.9952614850745987,False
BYBITSPOT,BINANCE,2025-09-01,1,2025-09-01 12:00:00,-0.006994640349087471,0.01597439061373478,-0.43786586407080086,0.6614891885859473,False
BYBITSPOT,BINANCE,2025-09-01,3,2025-09-01 12:00:00,-0.020561217855364758,0.015972457032937034,-1.2872921062154166,0.19801034930825878,False
BYBITSPOT,BINANCE,2025-09-01,6,2025-09-01 12:00:00,0.01939827401896979,0.015979024700434497,1.2139836055477353,0.22477117265018176,False
BYBITSPOT,COINBASE,2025-09-01,1,2025-09-01 12:00:00,0.0003972087459100447,0.014499415219805311,0.02739481143815248,0.9781451642572181,False
BYBITSPOT,COINBASE,2025-09-01,3,2025-09-01 12:00:00,0.013676117677017152,0.014494267721310532,0.9435535440613895,0.3454115092154564,False
BYBITSPOT,COINBASE,2025-09-01,6,2025-09-01 12:00:00,-0.008066956334428669,0.01450452091887271,-0.5561684098047157,0.5781031965924746,False
BYBITSPOT,BITGET,2025-09-01,1,2025-09-01 12:00:00,-0.019695425388485743,0.015474159534072067,-1.272794515599959,0.2031089823349541,False
BYBITSPOT,BITGET,2025-09-01,3,2025-09-01 12:00:00,-0.03255462088802232,0.015474373564495455,-2.1037763339716666,0.035413128334972566,True
BYBITSPOT,BITGET,2025-09-01,6,2025-09-01 12:00:00,0.009175421178332976,0.01547522534304061,0.5929103437876122,0.5532493227007964,False
BITGET,BINANCE,2025-09-01,1,2025-09-01 12:00:00,-0.04335809236536299,0.015927823153311926,-2.7221605832776588,0.006492386676125506,True
BITGET,BINANCE,2025-09-01,3,2025-09-01 12:00:00,-0.0013717649827301934,0.015934402123654233,-0.08608826186793928,0.9313972864596272,False
BITGET,BINANCE,2025-09-01,6,2025-09-01 12:00:00,-0.0032924034207171752,0.01594112633542913,-0.20653518148211483,0.8363754044134342,False
BITGET,COINBASE,2025-09-01,1,2025-09-01 12:00:00,-0.0296100281865309,0.01462442305609544,-2.024697184494364,0.04291434817290951,True
