venue,date,pair,tsi_pre,tsi_post,delta,runlen_pre,runlen_post
BINANCE,20250901,ALL,0.9338820138214222,0.937515447085832,0.003633433264409791,1067,1077
COINBASE,20250901,ALL,0.9338820138214222,0.937515447085832,0.003633433264409791,1067,1077
BYBITSPOT,20250901,ALL,0.9338820138214222,0.937515447085832,0.003633433264409791,1067,1077
BITGET,20250901,ALL,0.9338820138214222,0.937515447085832,0.003633433264409791,1067,1077
BINANCE,20250902,ALL,0.9064816421102384,0.8903298027596287,-0.01615183935060971,1056,1056
COINBASE,20250902,ALL,0.9064816421102384,0.8903298027596287,-0.01615183935060971,1056,1056
BYBITSPOT,20250902,ALL,0.9064816421102384,0.8903298027596287,-0.01615183935060971,1056,1056
BITGET,20250902,ALL,0.9064816421102384,0.8903298027596287,-0.01615183935060971,1056,1056
BINANCE,20250903,ALL,0.915557471353436,0.885225221317002,-0.030332250036434028,1063,1067
COINBASE,20250903,ALL,0.915557471353436,0.885225221317002,-0.030332250036434028,1063,1067
BYBITSPOT,20250903,ALL,0.915557471353436,0.885225221317002,-0.030332250036434028,1063,1067
BITGET,20250903,ALL,0.915557471353436,0.885225221317002,-0.030332250036434028,1063,1067
BINANCE,20250904,ALL,0.7984001169883391,0.6015276884285807,-0.1968724285597584,997,1005
COINBASE,20250904,ALL,0.7984001169883391,0.6015276884285807,-0.1968724285597584,997,1005
BYBITSPOT,20250904,ALL,0.7984001169883391,0.6015276884285807,-0.1968724285597584,997,1005
BITGET,20250904,ALL,0.7984001169883391,0.6015276884285807,-0.1968724285597584,997,1005
BINANCE,20250905,ALL,0.8776369165908329,0.8487377033927307,-0.02889921319810218,997,1036
COINBASE,20250905,ALL,0.8776369165908329,0.8487377033927307,-0.02889921319810218,997,1036
BYBITSPOT,20250905,ALL,0.8776369165908329,0.8487377033927307,-0.02889921319810218,997,1036
BITGET,20250905,ALL,0.8776369165908329,0.8487377033927307,-0.02889921319810218,997,1036
BINANCE,20250906,ALL,0.768332877114368,0.4540188653936112,-0.31431401172075685,890,943
COINBASE,20250906,ALL,0.768332877114368,0.4540188653936112,-0.31431401172075685,890,943
BYBITSPOT,20250906,ALL,0.768332877114368,0.4540188653936112,-0.31431401172075685,890,943
BITGET,20250906,ALL,0.768332877114368,0.4540188653936112,-0.31431401172075685,890,943
BINANCE,20250907,ALL,0.16842187907261238,0.29998755699330676,0.13156567792069437,1003,1013
COINBASE,20250907,ALL,0.16842187907261238,0.29998755699330676,0.13156567792069437,1003,1013
BYBITSPOT,20250907,ALL,0.16842187907261238,0.29998755699330676,0.13156567792069437,1003,1013
BITGET,20250907,ALL,0.16842187907261238,0.29998755699330676,0.13156567792069437,1003,1013
