venue,date,t0,pre_minutes,post_minutes,n_pre,n_post,vwap_pre,vwap_post,delta,window_shrink,insufficient
BINANCE,20250901,2025-09-01T00:00:00.178000000,15,15,0,20855,,108082.76752293328,,True,True
COINBASE,20250901,2025-09-01T00:00:00.072113000,15,15,0,5693,,108090.2437406395,,True,True
BYBITSPOT,20250901,2025-09-01T00:00:00.360000000,15,15,0,6063,,108088.10088967808,,True,True
BITGET,20250901,2025-09-01T00:00:00.043000000,15,15,0,2062,,108081.28206098433,,True,True
BINANCE,20250902,2025-09-02T00:00:00.138000000,15,15,0,10485,,109140.7761613848,,True,True
COINBASE,20250902,2025-09-02T00:00:00.409118000,15,15,0,4134,,109135.83610192323,,True,True
BYBITSPOT,20250902,2025-09-02T00:00:00.392000000,15,15,0,4346,,109143.99769450777,,True,True
BITGET,20250902,2025-09-02T00:00:00.045000000,15,15,0,3063,,109145.30499002547,,True,True
BINANCE,20250903,2025-09-03T00:00:00.078000000,15,15,0,13800,,111394.66665747891,,True,True
COINBASE,20250903,2025-09-03T00:00:00.809455000,15,15,0,3503,,111419.2034020648,,True,True
BYBITSPOT,20250903,2025-09-03T00:00:00.590000000,15,15,0,4670,,111397.00654947608,,True,True
BITGET,20250903,2025-09-03T00:00:00.056000000,15,15,0,2066,,111429.5963874015,,True,True
BINANCE,20250904,2025-09-04T00:00:00.353000000,15,15,0,7747,,111703.88765516657,,True,True
COINBASE,20250904,2025-09-04T00:00:00.272048000,15,15,0,4927,,111728.11053756104,,True,True
BYBITSPOT,20250904,2025-09-04T00:00:01.015000000,15,15,0,2669,,111686.26378380565,,True,True
BITGET,20250904,2025-09-04T00:00:00.444000000,15,15,0,1202,,111699.77849636432,,True,True
BINANCE,20250905,2025-09-05T00:00:00.190000000,15,15,0,12742,,110651.12674669488,,True,True
COINBASE,20250905,2025-09-05T00:00:00.213181000,15,15,0,4028,,110661.20922373408,,True,True
BYBITSPOT,20250905,2025-09-05T00:00:00.552000000,15,15,0,4552,,110669.52557982296,,True,True
BITGET,20250905,2025-09-05T00:00:00.046000000,15,15,0,2795,,110673.64431976347,,True,True
BINANCE,20250906,2025-09-06T00:00:00.189000000,15,15,0,6648,,110627.9353273549,,True,True
COINBASE,20250906,2025-09-06T00:00:00.823925000,15,15,0,3483,,110652.43595425111,,True,True
BYBITSPOT,20250906,2025-09-06T00:00:01.405000000,15,15,0,1818,,110627.57164261716,,True,True
BITGET,20250906,2025-09-06T00:00:00.045000000,15,15,0,652,,110639.82741236275,,True,True
BINANCE,20250907,2025-09-07T00:00:00.230000000,15,15,0,4723,,110207.50509044949,,True,True
COINBASE,20250907,2025-09-07T00:00:00.130010000,15,15,0,1918,,110245.88474503232,,True,True
BYBITSPOT,20250907,2025-09-07T00:00:00.589000000,15,15,0,1148,,110204.51896225015,,True,True
BITGET,20250907,2025-09-07T00:00:00.049000000,15,15,0,588,,110211.01523217579,,True,True
BINANCE,20250901,2025-09-01T01:00:00.178000000,30,30,38898,27065,108019.60948649498,108189.9966971718,170.38721067681035,False,False
COINBASE,20250901,2025-09-01T01:00:00.072113000,30,30,10312,8122,108091.62919378452,108166.26373314495,74.63453936042788,False,False
BYBITSPOT,20250901,2025-09-01T01:00:00.360000000,30,30,11512,8874,108048.43249540066,108191.52144875581,143.08895335515263,False,False
