edge,session,gamma,gamma_t,gamma_p,elasticity,n_obs,gamma_significant
BINANCE_to_COINBASE,Asia,-0.0031333541710466474,-0.4292620615431736,0.6677378832069896,1.2055726245054403,17257,False
BINANCE_to_BYBITSPOT,Asia,-0.0052309023422773245,-0.7251264621075196,0.46838428665454424,-4.080141892408534,17257,False
BINANCE_to_BITGET,Asia,0.0027515105770671813,0.3805604441885799,0.703534122854734,17.62015873883516,17257,False
COINBASE_to_BINANCE,Asia,0.003972482643483897,0.5368448798795666,0.5913816907816476,-1.548186252005312,17257,False
COINBASE_to_BYBITSPOT,Asia,-0.007663298461680622,-1.0530056236648622,0.2923531624651854,-5.977428566162151,17257,False
COINBASE_to_BITGET,Asia,0.008977082651707942,1.2307688554549754,0.21842610655027972,57.48755707250007,17257,False
BYBITSPOT_to_BINANCE,Asia,0.003419057615375828,0.4558430828590834,0.6485085583647616,-1.3325012265620944,17257,False
BYBITSPOT_to_COINBASE,Asia,-0.0018952919009508394,-0.2539362943043453,0.7995478009924333,0.7292223944380886,17257,False
BYBITSPOT_to_BITGET,Asia,0.003068994588424646,0.41511096699111416,0.6780658335167811,19.653266924493455,17257,False
BITGET_to_BINANCE,Asia,-0.003610005199220954,-0.4791657956803237,0.6318267586460684,1.4069187761636182,17257,False
BITGET_to_COINBASE,Asia,-0.0026209109976884893,-0.3495771362627072,0.7266603391280801,1.0084077246278982,17257,False
BITGET_to_BYBITSPOT,Asia,-0.011236132474350114,-1.5165281600625533,0.1294041773559398,-8.764265095663932,17257,False
