edge,session,lag,alpha,beta,gamma,delta1_eu,delta2_us,beta_t,gamma_t,beta_p,gamma_p,r_squared,n_obs,lambda_used,cond_post,elasticity,mean_wash,mean_return,gamma_significant
BINANCE_to_COINBASE,Asia,3,-1.2248583701232714e-05,-0.0024888609908161287,-0.0031333541710466474,0.0,0.0,-0.33768508145281045,-0.4292620615431736,0.7356046268378549,0.6677378832069896,1.845242775100342e-05,17257,0.001,17257001.003357187,1.2055726245054403,0.004692936323045773,-1.2197217573934249e-05,False
BINANCE_to_BYBITSPOT,Asia,3,6.043321457229677e-06,0.005028196744427165,-0.0052309023422773245,0.0,0.0,0.690315489451507,-0.7251264621075196,0.49000509563824046,0.46838428665454424,6.041267200085354e-05,17257,0.001,17257001.003357187,-4.080141892408534,0.004692936323045773,6.016528898186787e-06,False
BINANCE_to_BITGET,Asia,3,7.806620573994574e-07,0.0024075228105746617,0.0027515105770671813,0.0,0.0,0.3297775468331121,0.3805604441885799,0.7415720580500937,0.703534122854734,1.5690655881250848e-05,17257,0.001,17257001.003357187,17.62015873883516,0.004692936323045773,7.328347106149197e-07,False
COINBASE_to_BINANCE,Asia,3,-1.2227980943754529e-05,-0.011470049355177881,0.003972482643483897,0.0,0.0,-1.5423114243704965,0.5368448798795666,0.1230162752871855,0.5913816907816476,0.00016279398694651892,17257,0.001,17257001.00502058,-1.548186252005312,0.004692936323045773,-1.2041579665319561e-05,False
COINBASE_to_BYBITSPOT,Asia,3,6.023575041698192e-06,-0.007054382571435708,-0.007663298461680622,0.0,0.0,-0.9644815863994418,-1.0530056236648622,0.33481805468397163,0.2923531624651854,0.00012483169160726337,17257,0.001,17257001.00502058,-5.977428566162151,0.004692936323045773,6.016528898186787e-06,False
COINBASE_to_BITGET,Asia,3,6.946049432037059e-07,0.005782608749629152,0.008977082651707942,0.0,0.0,0.7888329899449054,1.2307688554549754,0.4302204648696084,0.21842610655027972,0.0001307976097547625,17257,0.001,17257001.00502058,57.48755707250007,0.004692936323045773,7.328347106149197e-07,False
BYBITSPOT_to_BINANCE,Asia,3,-1.2022835282797284e-05,0.0034119282173868453,0.003419057615375828,0.0,0.0,0.4535325476224607,0.4558430828590834,0.650171016488716,0.6485085583647616,2.556090959704438e-05,17257,0.001,17257001.002893846,-1.3325012265620944,0.004692936323045773,-1.2041579665319561e-05,False
BYBITSPOT_to_COINBASE,Asia,3,-1.2278253826696483e-05,0.009875296699847264,-0.0018952919009508394,0.0,0.0,1.3191629577100448,-0.2539362943043453,0.18713214709531334,0.7995478009924333,0.00011003042260249174,17257,0.001,17257001.002893846,0.7292223944380886,0.004692936323045773,-1.2197217573934249e-05,False
BYBITSPOT_to_BITGET,Asia,3,7.803247570074924e-07,-0.0020449255659465773,0.003068994588424646,0.0,0.0,-0.27576885342483265,0.41511096699111416,0.782728910705702,0.6780658335167811,1.5056034597837886e-05,17257,0.001,17257001.002893846,19.653266924493455,0.004692936323045773,7.328347106149197e-07,False
BITGET_to_BINANCE,Asia,3,-1.2012663862446631e-05,-0.0059057707483381894,-0.003610005199220954,0.0,0.0,-0.7868753898589613,-0.4791657956803237,0.4313656242844792,0.6318267586460684,5.214039401202353e-05,17257,0.001,17257001.000882443,1.4069187761636182,0.004692936323045773,-1.2041579665319561e-05,False
BITGET_to_COINBASE,Asia,3,-1.2177386845294093e-05,-0.002123718347328546,-0.0026209109976884893,0.0,0.0,-0.28434072245311137,-0.3495771362627072,0.7761526940268051,0.7266603391280801,1.2480773043055393e-05,17257,0.001,17257001.000882443,1.0084077246278982,0.004692936323045773,-1.2197217573934249e-05,False
BITGET_to_BYBITSPOT,Asia,3,6.096495041519123e-06,0.0002883503576780494,-0.011236132474350114,0.0,0.0,0.03906659128620181,-1.5165281600625533,0.9688377489534006,0.1294041773559398,0.00014082040506968596,17257,0.001,17257001.000882443,-8.764265095663932,0.004692936323045773,6.016528898186787e-06,False
