edge,weighted_elasticity,elasticity_std,weighted_gamma,weighted_gamma_p,total_obs,sessions,sessions_list
BINANCE_to_COINBASE,1.2055726245054403,0.0,-0.0031333541710466,0.6677378832069896,17257,1,['Asia']
BINANCE_to_BYBITSPOT,-4.080141892408534,0.0,-0.0052309023422773,0.4683842866545442,17257,1,['Asia']
BINANCE_to_BITGET,17.62015873883516,0.0,0.0027515105770671,0.703534122854734,17257,1,['Asia']
COINBASE_to_BINANCE,-1.548186252005312,0.0,0.0039724826434838,0.5913816907816476,17257,1,['Asia']
COINBASE_to_BYBITSPOT,-5.977428566162151,0.0,-0.007663298461680599,0.2923531624651854,17257,1,['Asia']
COINBASE_to_BITGET,57.48755707250007,0.0,0.0089770826517079,0.2184261065502797,17257,1,['Asia']
BYBITSPOT_to_BINANCE,-1.3325012265620944,0.0,0.0034190576153758,0.6485085583647616,17257,1,['Asia']
BYBITSPOT_to_COINBASE,0.7292223944380886,0.0,-0.0018952919009507998,0.7995478009924333,17257,1,['Asia']
BYBITSPOT_to_BITGET,19.65326692449345,0.0,0.0030689945884246,0.6780658335167811,17257,1,['Asia']
BITGET_to_BINANCE,1.4069187761636182,0.0,-0.0036100051992209,0.6318267586460684,17257,1,['Asia']
BITGET_to_COINBASE,1.0084077246278982,0.0,-0.0026209109976884,0.7266603391280801,17257,1,['Asia']
BITGET_to_BYBITSPOT,-8.764265095663932,0.0,-0.0112361324743501,0.1294041773559398,17257,1,['Asia']
