edge,venue_i,venue_j,elasticity,lrs_i,lrs_j
BINANCE_to_COINBASE,BINANCE,COINBASE,1.2055726245054403,0,0
BINANCE_to_BYBITSPOT,BINANCE,BYBITSPOT,-4.080141892408534,0,0
BINANCE_to_BITGET,BINANCE,BITGET,17.62015873883516,0,0
COINBASE_to_BINANCE,COINBASE,BINANCE,-1.548186252005312,0,0
COINBASE_to_BYBITSPOT,COINBASE,BYBITSPOT,-5.977428566162151,0,0
COINBASE_to_BITGET,COINBASE,BITGET,57.48755707250007,0,0
BYBITSPOT_to_BINANCE,BYBITSPOT,BINANCE,-1.3325012265620944,0,0
BYBITSPOT_to_COINBASE,BYBITSPOT,COINBASE,0.7292223944380886,0,0
BYBITSPOT_to_BITGET,BYBITSPOT,BITGET,19.65326692449345,0,0
BITGET_to_BINANCE,BITGET,BINANCE,1.4069187761636182,0,0
BITGET_to_COINBASE,BITGET,COINBASE,1.0084077246278982,0,0
BITGET_to_BYBITSPOT,BITGET,BYBITSPOT,-8.764265095663932,0,0
