venue,window_start,lrs,mean_correlation
BINANCE,0,0.9945212245708951,0.9945212245708951
COINBASE,0,0.9915524821993634,0.9915524821993634
BYBITSPOT,0,0.9938688718266979,0.9938688718266979
BITGET,0,0.9916357816047844,0.9916357816047844
BINANCE,60,0.9871747164342249,0.9871747164342249
COINBASE,60,0.9812999618943591,0.9812999618943591
BYBITSPOT,60,0.9868903343288539,0.9868903343288539
BITGET,60,0.981326788792269,0.981326788792269
BINANCE,120,0.9976847073465435,0.9976847073465435
COINBASE,120,0.9966839374372983,0.9966839374372983
BYBITSPOT,120,0.9976550840138879,0.9976550840138879
BITGET,120,0.9965506489960102,0.9965506489960102
BINANCE,180,0.9984741399650917,0.9984741399650917
COINBASE,180,0.9975812337487907,0.9975812337487907
BYBITSPOT,180,0.9981459488045314,0.9981459488045314
BITGET,180,0.9977790675089677,0.9977790675089677
BINANCE,240,0.9953790172622048,0.9953790172622048
COINBASE,240,0.9927601817666779,0.9927601817666779
BYBITSPOT,240,0.994375971354892,0.994375971354892
BITGET,240,0.9927117123744241,0.9927117123744241
BINANCE,300,0.9856563239489491,0.9856563239489491
COINBASE,300,0.9804847216223096,0.9804847216223096
BYBITSPOT,300,0.9847029962581749,0.9847029962581749
BITGET,300,0.9792200213256118,0.9792200213256118
BINANCE,360,0.9874516956494079,0.9874516956494079
COINBASE,360,0.9866010316154085,0.9866010316154085
BYBITSPOT,360,0.9890591167980806,0.9890591167980806
BITGET,360,0.9827388956497748,0.9827388956497748
BINANCE,420,0.9915524999211359,0.9915524999211359
COINBASE,420,0.9918021553829934,0.9918021553829934
BYBITSPOT,420,0.993368368080052,0.993368368080052
BITGET,420,0.9913212790474296,0.9913212790474296
BINANCE,480,0.9917192434029576,0.9917192434029576
COINBASE,480,0.9913590425073074,0.9913590425073074
BYBITSPOT,480,0.9931781128860387,0.9931781128860387
BITGET,480,0.9925788184667427,0.9925788184667427
BINANCE,540,0.9623760140361016,0.9623760140361016
COINBASE,540,0.9526347084166108,0.9526347084166108
BYBITSPOT,540,0.9645137347585534,0.9645137347585534
