venue_i,venue_j,frequency,overlap_pct,common_seconds,total_i,total_j,status
BINANCE,COINBASE,1s,94.75562352641305,74350,81754,78465,PASS
BINANCE,COINBASE,5s,100.0,17273,17280,17273,PASS
BINANCE,BYBITSPOT,1s,95.71526656646068,51580,81754,53889,PASS
BINANCE,BYBITSPOT,5s,100.0,16983,17280,16983,PASS
BINANCE,BITGET,1s,95.39208545763535,58938,81754,61785,PASS
BINANCE,BITGET,5s,100.0,16995,17280,16995,PASS
COINBASE,BYBITSPOT,1s,91.76084173022325,49449,78465,53889,PASS
COINBASE,BYBITSPOT,5s,99.9587823117235,16976,17273,16983,PASS
COINBASE,BITGET,1s,91.28752933559926,56402,78465,61785,PASS
COINBASE,BITGET,5s,99.9588114151221,16988,17273,16995,PASS
BYBITSPOT,BITGET,5s,98.41017488076311,16713,16983,16995,PASS
