env_key,count
low|med|US|low,980
low|low|US|low,873
med|high|Asia|low,805
high|high|US|low,758
med|low|EU|low,747
high|med|Asia|low,732
high|low|Asia|low,712
low|low|EU|low,709
med|med|Asia|low,707
low|high|US|low,702
high|high|Asia|low,691
med|med|EU|low,669
high|low|EU|low,649
med|low|Asia|low,629
high|high|EU|low,610
med|high|EU|low,603
low|med|EU|low,598
high|med|EU|low,589
med|high|US|low,535
low|low|Asia|low,495
high|med|US|low,453
med|med|US|low,435
low|high|EU|low,431
low|high|Asia|low,368
med|low|US|low,362
low|med|Asia|low,334
high|low|US|low,314
low|med|US|high,15
med|low|EU|high,15
low|high|US|high,14
med|med|Asia|high,13
low|low|US|high,12
med|med|EU|high,11
low|med|EU|high,11
high|high|Asia|high,11
low|low|EU|high,10
med|high|Asia|high,9
high|high|US|high,8
high|low|Asia|high,8
high|low|US|high,8
med|low|US|high,8
low|low|Asia|high,7
med|low|Asia|high,7
high|high|EU|high,6
high|med|EU|high,6
high|med|Asia|high,6
med|high|EU|high,6
med|high|US|high,4
high|low|EU|high,4
low|high|Asia|high,4
med|med|US|high,3
low|high|EU|high,3
high|med|US|high,3
low|med|Asia|high,3
