env,comp,ks_stat,p,n_env
high|high|Asia|low,0,0.14505540296392103,1.1754139463845062e-12,691
high|high|Asia|low,1,0.18518186752235422,2.0998718987317266e-20,691
high|high|Asia|low,2,0.10571650471643146,6.467205416210895e-07,691
high|high|Asia|low,3,0.11976586990298577,9.326028476896185e-09,691
high|high|EU|low,0,0.09320906178085486,6.642063978592543e-05,610
high|high|EU|low,1,0.09439453192084435,5.102387717671892e-05,610
high|high|EU|low,2,0.15853847625870335,2.128810094134465e-13,610
high|high|EU|low,3,0.1488447063557098,7.432872977170933e-12,610
high|high|US|low,0,0.08292249725367801,8.741239205724636e-05,758
high|high|US|low,1,0.10047068523398828,7.994384806689828e-07,758
high|high|US|low,2,0.06754830644135904,0.00254746509346133,758
high|high|US|low,3,0.04507442907697523,0.10193236041523668,758
high|low|Asia|low,0,0.08487669371681084,9.934680337569814e-05,712
high|low|Asia|low,1,0.1661301198255249,6.065592764513239e-17,712
high|low|Asia|low,2,0.09688875698253563,4.942947164604215e-06,712
high|low|Asia|low,3,0.08924420462150534,3.4942146270510805e-05,712
high|low|EU|low,0,0.0385291026325123,0.30372412035151497,649
high|low|EU|low,1,0.03757259689463077,0.3325046781003749,649
high|low|EU|low,2,0.11142212664338902,3.256089459124094e-07,649
high|low|EU|low,3,0.10352472825598191,2.7604952590339228e-06,649
high|med|Asia|low,0,0.11067569181047521,6.202467510064817e-08,732
high|med|Asia|low,1,0.10333217206981316,5.704611506959582e-07,732
high|med|Asia|low,2,0.09931698078027096,1.7986735003522334e-06,732
high|med|Asia|low,3,0.05703275908034472,0.0200987711518746,732
high|med|EU|low,0,0.05534357565036746,0.058988841580219775,589
high|med|EU|low,1,0.05495523284560955,0.06195421378138788,589
high|med|EU|low,2,0.1069247691260864,4.048469971677902e-06,589
high|med|EU|low,3,0.07450744442281901,0.003415640622381392,589
low|high|US|low,0,0.06948795548017336,0.0028313210293316503,702
low|high|US|low,1,0.0935947321161329,1.3714740481073118e-05,702
low|high|US|low,2,0.10979303158291487,1.5681308175275338e-07,702
low|high|US|low,3,0.10756593169044532,3.025771127773314e-07,702
low|low|EU|low,0,0.09102280551628289,2.3638641768288743e-05,709
low|low|EU|low,1,0.07825541452121343,0.000454517936987507,709
low|low|EU|low,2,0.07238764100678452,0.0015223059900755424,709
low|low|EU|low,3,0.1156137217263481,2.246908669514835e-08,709
low|low|US|low,0,0.10000531423773429,1.1162569341275955e-07,873
low|low|US|low,1,0.08850036668240369,4.1730534067363135e-06,873
low|low|US|low,2,0.10475871132134917,2.1956756125271287e-08,873
low|low|US|low,3,0.0695934745274871,0.0006114800182270881,873
low|med|EU|low,0,0.09224262457217963,0.00010079776174736682,598
low|med|EU|low,1,0.10081725075803916,1.4728089292171383e-05,598
low|med|EU|low,2,0.12760954153273557,1.1913379229086462e-08,598
low|med|EU|low,3,0.05904766862303659,0.034341674735216876,598
low|med|US|low,0,0.10301021935263177,5.227278113775418e-09,980
low|med|US|low,1,0.09660922734852695,5.652100912077135e-08,980
low|med|US|low,2,0.12582173246431164,3.0842939366677917e-13,980
low|med|US|low,3,0.10768589387266425,8.33275176297507e-10,980
med|high|Asia|low,0,0.08319226028581467,4.511332847856966e-05,805
med|high|Asia|low,1,0.13338439601339286,2.239109605824879e-12,805
med|high|Asia|low,2,0.040440155344570794,0.15779164248367983,805
med|high|Asia|low,3,0.06778570777894077,0.0016367396550032015,805
med|high|EU|low,0,0.07790082809538063,0.0016132470673565602,603
med|high|EU|low,1,0.09700266501474464,3.2211316299947904e-05,603
med|high|EU|low,2,0.060436816218220474,0.027305930636331355,603
med|high|EU|low,3,0.11498270395999655,3.6891520817053466e-07,603
med|high|US|low,0,0.053999725864157286,0.09398812444272764,535
med|high|US|low,1,0.09991747951673768,5.916523772455671e-05,535
med|high|US|low,2,0.03474420048840937,0.5474550173536532,535
med|high|US|low,3,0.02486412093306889,0.8978832540622832,535
med|low|Asia|low,0,0.05643398561686502,0.04052634131455912,629
med|low|Asia|low,1,0.10397855996391137,3.701344483039263e-06,629
med|low|Asia|low,2,0.036235545368069944,0.39450732635602326,629
med|low|Asia|low,3,0.054389054617939914,0.05342363927119387,629
med|low|EU|low,0,0.061646806722049335,0.008351034310281412,747
med|low|EU|low,1,0.0631448071043027,0.0063832756085989905,747
med|low|EU|low,2,0.051087959540446565,0.046225556911066557,747
med|low|EU|low,3,0.066972629618544,0.003119776665980863,747
med|med|Asia|low,0,0.05790133894306182,0.020374597141365115,707
med|med|Asia|low,1,0.054950135198237826,0.03208421092200764,707
med|med|Asia|low,2,0.03885411502624586,0.25111792774994735,707
med|med|Asia|low,3,0.06942936479477685,0.0027543166579792663,707
med|med|EU|low,0,0.02548452460685724,0.787896583006357,669
med|med|EU|low,1,0.0307202850484245,0.567972119933905,669
med|med|EU|low,2,0.03063357864355931,0.5716038781778277,669
med|med|EU|low,3,0.02637807482252702,0.7518354772915307,669
