pair,date,scale,overlap_pct,N,icp_pass,significant_lags
BINANCE_to_COINBASE,20250901,1s,0.8690903710877079,64615,False,0
BINANCE_to_BYBITSPOT,20250901,1s,0.9763474214811942,50359,False,0
BINANCE_to_BITGET,20250901,1s,0.9642160272833704,56827,False,0
COINBASE_to_BYBITSPOT,20250901,1s,0.9852373152136544,48718,False,0
COINBASE_to_BITGET,20250901,1s,0.9784755589439904,55186,False,0
BYBITSPOT_to_BITGET,20250901,1s,0.9964456995398885,40930,False,0
BINANCE_to_COINBASE,20250902,1s,0.8988146995560844,58919,False,0
BINANCE_to_BYBITSPOT,20250902,1s,0.9717095460415218,48910,False,0
BINANCE_to_BITGET,20250902,1s,0.9192932639217543,58273,False,0
COINBASE_to_BYBITSPOT,20250902,1s,0.9835426495669701,44403,False,0
COINBASE_to_BITGET,20250902,1s,0.9688446014127144,53766,False,0
BYBITSPOT_to_BITGET,20250902,1s,0.9886355934118073,43757,False,0
BINANCE_to_COINBASE,20250903,1s,0.7963188053481507,50445,False,0
BINANCE_to_BYBITSPOT,20250903,1s,0.9268931803668553,42092,False,0
BINANCE_to_BITGET,20250903,1s,0.9241482656794041,41935,False,0
