edge,freq,lag_s,coef,se,t,p_raw,p_fdr,placebo_pass,decision
BINANCE->COINBASE,5s,5,0.1611262893439643,0.0069242688391528,23.26979109084925,0.0,0.0,False,KEEP
BINANCE->BYBITSPOT,5s,5,0.1682807172435319,0.0074051970880196,22.72467771530096,0.0,0.0,False,KEEP
BINANCE->BITGET,5s,5,0.1469241952257555,0.0073636251754882,19.952698803142777,0.0,0.0,False,KEEP
COINBASE->BINANCE,5s,5,0.0865815765751073,0.0084823910009646,10.207213575189018,0.0,0.0,False,KEEP
COINBASE->BYBITSPOT,5s,5,0.0974318603581124,0.0082341645049964,11.832634664876023,0.0,0.0,False,KEEP
COINBASE->BITGET,5s,5,0.0822814256698256,0.008169121800125,10.072248606767758,0.0,0.0,False,KEEP
BYBITSPOT->BINANCE,5s,5,0.1288097994239936,0.0078993067048806,16.30646893915489,0.0,0.0,False,KEEP
BYBITSPOT->COINBASE,5s,5,0.1405446427257452,0.0071578115555133,19.635141500406004,0.0,0.0,False,KEEP
BYBITSPOT->BITGET,5s,5,0.1222189880420081,0.0076087192333424,16.063017216672623,0.0,0.0,False,KEEP
BITGET->BINANCE,5s,5,0.1441782838451027,0.0079568502068161,18.120019869369184,0.0,0.0,False,KEEP
BITGET->COINBASE,5s,5,0.1565566326885022,0.0072049701872811,21.72897716702137,0.0,0.0,False,KEEP
BITGET->BYBITSPOT,5s,5,0.1599631201242966,0.007709131181082,20.749824638714333,0.0,0.0,False,KEEP
