edge,beta_tilde,ci_lower,ci_upper,sigma_i,se_beta_tilde
BINANCE->COINBASE,0.00036628987841257434,0.0003354375102548318,0.0003971422465703169,0.002273309215423171,1.5741004162113563e-05
BINANCE->BYBITSPOT,0.0002316483430300505,0.00021166870864196025,0.00025162797741814076,0.0013765590426787547,1.0193691014331763e-05
BINANCE->BITGET,0.000324837050469078,0.0002929275516488428,0.00035674654928931316,0.0022109159758877802,1.628035654093632e-05
COINBASE->BINANCE,0.00033432732795297737,0.0002701294390814595,0.00039852521682449526,0.003861414185071543,3.275402493444791e-05
COINBASE->BYBITSPOT,0.00035370956663429646,0.0002951198467419784,0.00041229928652661453,0.0036303275472133155,2.9892714230774524e-05
COINBASE->BITGET,0.0001441627034489092,0.00011610949410199106,0.00017221591279582734,0.0017520686142143114,1.4312861911692932e-05
BYBITSPOT->BINANCE,0.00018640545200983077,0.00016399994611505163,0.0002088109579046099,0.0014471371964197683,1.143138055856079e-05
BYBITSPOT->COINBASE,0.0005120692103427536,0.0004609539356068399,0.0005631844850786673,0.0036434630336069852,2.6079221804037623e-05
BYBITSPOT->BITGET,0.00045288335759720413,0.00039762279422252416,0.0005081439209718841,0.003705507342619649,2.819416498708161e-05
BITGET->BINANCE,0.0003553415891392109,0.0003169051238519851,0.0003937780544264367,0.002464598548842283,1.961044147307438e-05
BITGET->COINBASE,0.0006843412192105965,0.0006226121843212555,0.0007460702540999375,0.004371205534116318,3.149440555578623e-05
BITGET->BYBITSPOT,0.000785870146210929,0.0007116379291492211,0.000860102363272637,0.004912820815199667,3.7873580133524446e-05
