edge,coef_half1,coef_half2,p_half1,p_half2,sign_consistent,stable
BINANCE->COINBASE,0.16560322313955744,0.18964449599039152,0.12034226749832631,0.16197306213304932,True,False
BINANCE->BYBITSPOT,0.21524108741660944,0.1804664195718491,0.10808129459554626,0.17728706433986377,True,False
BINANCE->BITGET,0.13130468936886977,0.1294200112101806,0.03431267770434689,0.16569868278394015,True,False
COINBASE->BINANCE,0.05120986317683768,0.06606570487659248,0.19645625624655969,0.18609263962355924,True,False
COINBASE->BYBITSPOT,0.09106378887703054,0.11197744787685558,0.012404786340253878,0.08434668383678305,True,True
COINBASE->BITGET,0.06254317312975928,0.08274474727106758,0.11215874720610869,0.165698080993579,True,False
BYBITSPOT->BINANCE,0.09866352779435636,0.10377934353790297,0.07437397984382871,0.1853879447179015,True,False
BYBITSPOT->COINBASE,0.13905303812367492,0.12828995922545006,0.060273896288446205,0.17982333482362392,True,False
BYBITSPOT->BITGET,0.118486723607436,0.10519452020874558,0.08729506888590627,0.1787949393339343,True,False
BITGET->BINANCE,0.1563358905074979,0.12030645256442235,0.03553716410867992,0.19125538567530312,True,False
BITGET->COINBASE,0.19123429545607437,0.18210411345876665,0.0924169463154897,0.07503371540660123,True,True
BITGET->BYBITSPOT,0.16951580794449428,0.1335685470013165,0.19136673161616524,0.07836028127755656,True,False
