edge,lag,lag_s,coef,se,t,p_raw,p_fdr,bh_significant,beta_magnitude,run_length,is_candidate,rules_passed,n_obs
BINANCE->BYBITSPOT,1,5,0.02366895025538359,0.009411488403571257,2.514899794850965,0.011915940086737686,0.011915940086737686,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16695
BINANCE->BYBITSPOT,3,15,0.030256474577919048,0.008932203212601894,3.3873473159715015,0.0007073491632267892,0.0007073491632267892,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16693
BINANCE->COINBASE,1,5,0.24992633383751556,0.01866077189963885,13.393140175640458,0.0,0.0,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,17264
BINANCE->COINBASE,3,15,0.027521953250496563,0.010988233372891048,2.504674984278699,0.012265540251356732,0.012265540251356732,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,17262
BINANCE->COINBASE,6,30,0.1625869278136711,0.021865834047599963,7.435660924698043,1.0880185641326534e-13,1.0880185641326534e-13,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,17259
BITGET->BYBITSPOT,1,5,0.017694431292545436,0.009895475279421523,1.788133545171145,0.07377288692541595,0.07377288692541595,True,True,3,True,BH_0.10||beta|>=0.01|run_length>=3,16431
BYBITSPOT->BINANCE,3,15,0.01707233104951423,0.008758578466222803,1.9492125480582454,0.051286774148654235,0.051286774148654235,True,True,3,True,BH_0.10||beta|>=0.01|run_length>=3,16693
BYBITSPOT->BITGET,6,30,0.02497574396268107,0.011763251861563214,2.123200646947812,0.033751952912550065,0.033751952912550065,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16426
BYBITSPOT->COINBASE,3,15,0.025862667473997063,0.00785591585400745,3.292126335696943,0.0009963955304623795,0.0009963955304623795,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16685
COINBASE->BINANCE,6,30,0.03223750212620345,0.01330680150929602,2.4226334257471716,0.015418691783725569,0.015418691783725569,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,17259
COINBASE->BITGET,1,5,-0.016632941630726195,0.009163207793471715,-1.8151876510512244,0.06951300174322461,0.06951300174322461,True,True,3,True,BH_0.10||beta|>=0.01|run_length>=3,16706
COINBASE->BYBITSPOT,3,15,0.023796297355261786,0.0095439084387134,2.4933492927002274,0.012664041674624205,0.012664041674624205,True,True,3,True,raw_p<0.05|BH_0.10||beta|>=0.01|run_length>=3,16685
