edge,lag_s,n_blocks,pct_significant,pct_sign_match,max_dfbeta,most_influential_block,stable
BINANCE->COINBASE,5,288,0.0,0.9166666666666666,0.16193418436711693,2025-09-01 17:50:00,False
BINANCE->BYBITSPOT,5,288,0.0,0.0,0.17829900447689256,2025-09-01 08:55:00,False
BINANCE->BITGET,5,288,0.0,1.0,0.14038571883685658,2025-09-01 21:05:00,False
COINBASE->BINANCE,5,288,0.0,1.0,0.07982367266020197,2025-09-01 20:35:00,False
COINBASE->BYBITSPOT,5,288,0.0,1.0,0.09138784777830884,2025-09-01 04:20:00,False
COINBASE->BITGET,5,288,0.0,1.0,0.07638820772577719,2025-09-01 05:10:00,False
BYBITSPOT->BINANCE,5,288,0.0,0.0,0.1359631638808299,2025-09-01 02:40:00,False
BYBITSPOT->COINBASE,5,288,0.0,1.0,0.13679566140045113,2025-09-01 02:35:00,False
BYBITSPOT->BITGET,5,288,0.0,1.0,0.11840364542922609,2025-09-01 06:05:00,False
BITGET->BINANCE,5,288,0.0,1.0,0.1440525814122567,2025-09-01 21:35:00,False
BITGET->COINBASE,5,288,0.0,1.0,0.15247777715280963,2025-09-01 05:30:00,False
BITGET->BYBITSPOT,5,288,0.0,0.0,0.16820845577324472,2025-09-01 06:30:00,False
