edge_id,lag_s,rolling_pass,block_pass,hac_pass,final_verdict
BINANCE->COINBASE,5,False,False,True,HAC_PASS_STABILITY_FAIL
BINANCE->BYBITSPOT,5,False,False,True,HAC_PASS_STABILITY_FAIL
BINANCE->BITGET,5,False,False,True,HAC_PASS_STABILITY_FAIL
COINBASE->BINANCE,5,False,False,True,HAC_PASS_STABILITY_FAIL
COINBASE->BYBITSPOT,5,False,False,True,HAC_PASS_STABILITY_FAIL
COINBASE->BITGET,5,False,False,True,HAC_PASS_STABILITY_FAIL
BYBITSPOT->BINANCE,5,False,False,True,HAC_PASS_STABILITY_FAIL
BYBITSPOT->COINBASE,5,False,False,True,HAC_PASS_STABILITY_FAIL
BYBITSPOT->BITGET,5,False,False,True,HAC_PASS_STABILITY_FAIL
BITGET->BINANCE,5,False,False,True,HAC_PASS_STABILITY_FAIL
BITGET->COINBASE,5,False,False,True,HAC_PASS_STABILITY_FAIL
BITGET->BYBITSPOT,5,False,False,True,HAC_PASS_STABILITY_FAIL
