edge,lag,lag_s,beta_controlled,beta_uncontrolled,beta_drops_significance,beta_magnitude_drop
BINANCE->COINBASE,1,5,0.04513009792424952,0.0564126224053119,1,0
BINANCE->COINBASE,3,15,0.006409003221630561,0.0080112540270382,1,0
BINANCE->COINBASE,6,30,0.00053435882501184,0.0006679485312648,0,0
BINANCE->BYBITSPOT,1,5,0.019447695655677444,0.0243096195695968,1,0
BINANCE->BYBITSPOT,3,15,0.00466554165713552,0.0058319270714194,1,0
BINANCE->BYBITSPOT,6,30,0.0008493534045404,0.0010616917556755,0,0
BINANCE->BITGET,1,5,0.01626033426546672,0.0203254178318334,1,0
BINANCE->BITGET,3,15,0.0030694432243499204,0.0038368040304374,1,0
BINANCE->BITGET,6,30,0.0019186219374927203,0.0023982774218659,0,0
COINBASE->BINANCE,1,5,-0.02366128462519056,-0.0295766057814882,1,0
COINBASE->BINANCE,3,15,-0.0059908907435224,-0.007488613429403,1,0
COINBASE->BINANCE,6,30,5.3813077823600206e-05,6.726634727950026e-05,0,0
COINBASE->BYBITSPOT,1,5,-0.01428789532097888,-0.0178598691512236,1,0
COINBASE->BYBITSPOT,3,15,-0.00151774795615072,-0.0018971849451884,0,0
COINBASE->BYBITSPOT,6,30,0.00134688193643104,0.0016836024205388,0,0
COINBASE->BITGET,1,5,-0.014368595929696882,-0.0179607449121211,1,0
COINBASE->BITGET,3,15,-0.00289815994413896,-0.0036226999301737,1,0
COINBASE->BITGET,6,30,0.0017076221994240801,0.0021345277492801,0,0
BYBITSPOT->BINANCE,1,5,-0.00373525082222416,-0.0046690635277802,1,0
BYBITSPOT->BINANCE,3,15,-0.0041906438135068,-0.0052383047668835,1,0
BYBITSPOT->BINANCE,6,30,-0.0010554662509024801,-0.0013193328136281,0,0
BYBITSPOT->COINBASE,1,5,0.03502455234474536,0.0437806904309317,1,0
BYBITSPOT->COINBASE,3,15,0.00139529921559992,0.0017441240194999,0,0
BYBITSPOT->COINBASE,6,30,-0.0007013428501662401,-0.0008766785627078,0,0
BYBITSPOT->BITGET,1,5,0.00457616314658376,0.0057202039332297,1,0
BYBITSPOT->BITGET,3,15,-0.00089389116703616,-0.0011173639587952,0,0
BYBITSPOT->BITGET,6,30,0.0007497372265292,0.0009371715331615,0,0
BITGET->BINANCE,1,5,0.00189416529608608,0.0023677066201076,0,0
BITGET->BINANCE,3,15,-0.00358010283487712,-0.0044751285435964,1,0
BITGET->BINANCE,6,30,-0.00139581203461408,-0.0017447650432676,0,0
BITGET->COINBASE,1,5,0.04142006201956144,0.0517750775244518,1,0
BITGET->COINBASE,3,15,0.0022494725209908,0.0028118406512385,0,0
BITGET->COINBASE,6,30,-0.0010012918063216,-0.001251614757902,0,0
BITGET->BYBITSPOT,1,5,0.01370470715064128,0.0171308839383016,1,0
BITGET->BYBITSPOT,3,15,0.00096822307663048,0.0012102788457881,0,0
BITGET->BYBITSPOT,6,30,-0.0006013456329233601,-0.0007516820411542,0,0
