edge,freq,lag,lag_s,coef,se,t,p_raw,n_obs,p_fdr,rejected,decision
BINANCE->COINBASE,5s,1,5,0.05641262240531195,0.0014294838054823176,39.46363168925719,0.0,16704,0.0,True,REJECT
BINANCE->COINBASE,5s,2,10,0.01534185656144119,0.001489016120615363,10.303351554784301,0.0,16703,0.0,True,REJECT
BINANCE->COINBASE,5s,3,15,0.008011254027038233,0.0014924873825087023,5.367719768305326,8.080302937862882e-08,16702,3.030113601698581e-07,True,REJECT
BINANCE->COINBASE,5s,5,25,0.0012889435773964443,0.0014935790587232815,0.8629898563911571,0.38815543929033103,16700,0.41636989458148177,False,REJECT
BINANCE->COINBASE,5s,10,50,0.004256053644285143,0.0014933910162671367,2.8499258385278936,0.004378297206668824,16695,0.007726406835297925,True,REJECT
BINANCE->BYBITSPOT,5s,1,5,0.02430961956959684,0.0012144483829171757,20.017005178271734,0.0,16704,0.0,True,REJECT
BINANCE->BYBITSPOT,5s,2,10,0.010134505023869084,0.0012261323266698247,8.265425193865005,2.220446049250313e-16,16703,1.2111523905001709e-15,True,REJECT
BINANCE->BYBITSPOT,5s,3,15,0.005831927071419449,0.0012278441881202948,4.749728937795878,2.053823491943163e-06,16702,6.84607830647721e-06,True,REJECT
BINANCE->BYBITSPOT,5s,5,25,0.0033197988962373275,0.0012280241908978835,2.703366041844843,0.006871057985354367,16700,0.011451763308923946,True,REJECT
BINANCE->BYBITSPOT,5s,10,50,0.0038305318003744307,0.001227690769449317,3.1201112655531515,0.0018109077815138264,16695,0.0037467057548561927,True,REJECT
BINANCE->BITGET,5s,1,5,0.020325417831833448,0.0013047333154402045,15.57821632306204,0.0,16704,0.0,True,REJECT
BINANCE->BITGET,5s,2,10,0.007061997088239497,0.0013128986523552816,5.378935438444231,7.593615647394358e-08,16703,3.030113601698581e-07,True,REJECT
BINANCE->BITGET,5s,3,15,0.003836804030437403,0.0013136536703801233,2.9207119935402552,0.0034969976712340145,16702,0.006556870633563777,True,REJECT
BINANCE->BITGET,5s,5,25,-0.0016980370358617375,0.0013140151035529843,-1.292250774949535,0.19628819687448273,16700,0.24639988225235304,False,REJECT
BINANCE->BITGET,5s,10,50,6.659196015963042e-05,0.0013140436351103354,0.05067713002851609,0.9595834071895673,16695,0.9595834071895673,False,REJECT
COINBASE->BINANCE,5s,1,5,-0.029576605781488297,0.0016268653026675836,-18.180119603627485,0.0,16704,0.0,True,REJECT
COINBASE->BINANCE,5s,2,10,-0.012222207683124221,0.0016399755576565825,-7.452676734151425,9.592326932761353e-14,16703,4.427227815120624e-13,True,REJECT
COINBASE->BINANCE,5s,3,15,-0.007488613429403071,0.0016417148612776114,-4.561458025406008,5.116096990054331e-06,16702,1.5348290970162992e-05,True,REJECT
COINBASE->BINANCE,5s,5,25,-0.001952884168169883,0.0016424824016414944,-1.1889833134395678,0.23446314212467234,16700,0.2813557705496068,False,REJECT
COINBASE->BINANCE,5s,10,50,-0.004933058133374384,0.0016422856677853243,-3.0037759143491605,0.002670469607063186,16695,0.005168650852380359,True,REJECT
COINBASE->BYBITSPOT,5s,1,5,-0.017859869151223673,0.00146446641681048,-12.195478807988916,0.0,16704,0.0,True,REJECT
COINBASE->BYBITSPOT,5s,2,10,-0.003814246987993568,0.0014705957720448225,-2.593674659277691,0.00950391642013737,16703,0.01541175635697952,True,REJECT
COINBASE->BYBITSPOT,5s,3,15,-0.00189718494518841,0.001470854734078135,-1.2898520168121697,0.19711990580188243,16702,0.24639988225235304,False,REJECT
COINBASE->BYBITSPOT,5s,5,25,0.0016524077314821607,0.0014710090852656419,1.1233157891637093,0.26131955115287053,16700,0.30743476606220066,False,REJECT
COINBASE->BYBITSPOT,5s,10,50,-0.0012682271483247104,0.0014709882738142132,-0.8621599307765035,0.38861190160938297,16695,0.41636989458148177,False,REJECT
COINBASE->BITGET,5s,1,5,-0.01796074491212119,0.0016800283491074492,-10.690739190004274,0.0,16704,0.0,True,REJECT
COINBASE->BITGET,5s,2,10,-0.006201351396482628,0.0016850691123337738,-3.680176291341504,0.00023380590098587284,16703,0.0005845147524646821,True,REJECT
COINBASE->BITGET,5s,3,15,-0.0036226999301737475,0.0016854270545290054,-2.149425524195181,0.03161500736876488,16702,0.04863847287502289,True,REJECT
COINBASE->BITGET,5s,5,25,-0.0030983190541271216,0.0016854565331536275,-1.8382669580507736,0.0660408300629689,16700,0.09434404294709844,False,REJECT
COINBASE->BITGET,5s,10,50,-0.00489848043239141,0.0016854740337321219,-2.9062924342683423,0.0036622028546038354,16695,0.006658550644734246,True,REJECT
BYBITSPOT->BINANCE,5s,1,5,-0.004669063527780212,0.0012637838180014072,-3.694511245731913,0.00022101328853807445,16704,0.0005765564048819333,True,REJECT
BYBITSPOT->BINANCE,5s,2,10,-0.007101498034236887,0.0012631343061693743,-5.622124266241443,1.9164103193247684e-08,16703,8.213187082820436e-08,True,REJECT
BYBITSPOT->BINANCE,5s,3,15,-0.005238304766883585,0.0012637160936299846,-4.145159496890413,3.412524354651225e-05,16702,9.306884603594251e-05,True,REJECT
