edge,freq,lag,lag_s,placebo_p_values,placebo_median_p
BINANCE->COINBASE,5s,1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
BINANCE->COINBASE,5s,2,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.00834962180852e-13, 0.0, 6.699085730588195e-13, 7.502887200416808e-13, 0.0, 0.010907291983714762, 0.20023690458228405, 6.897860060917083e-11, 0.00046414060635524557, 0.0, 2.622065006963048e-05, 0.41306047880982444, 0.0, 0.0, 0.0, 0.4623711443447531, 3.076294774473354e-11, 0.0, 0.010077326098911987, 0.0, 3.709696994036449e-10, 0.0, 3.884033095147288e-10, 0.0, 0.0, 0.0013771791467045436, 0.0, 0.03536230769152238, 0.0, 0.004275373753364953, 0.16654197999288956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7085366625279921, 4.591069568959938e-08, 5.844214001626824e-13, 0.0, 0.0, 0.12432422508189567, 0.0, 1.2434497875801753e-14, 8.699679865387111e-09, 0.0, 0.0, 0.0, 3.075580075284634e-06, 2.220446049250313e-16, 0.0, 0.0, 1.4428458428028534e-12, 0.0, 0.004066193573966315, 0.02323153266762179, 0.0, 0.0, 0.0, 0.0, 0.0, 2.408341304160899e-09, 0.0, 0.0, 0.0, 0.0, 3.226308109560705e-13, 0.0, 0.0, 0.0, 0.0, 0.002331579435174369, 0.0, 0.0, 0.0, 9.239276010930553e-12, 1.1056923099328486e-06, 4.2519321397094245e-12, 0.0, 0.0, 1.5743628622999495e-11, 0.0, 0.0, 0.0, 2.3265529058846823e-08, 4.440892098500626e-16, 1.8207657603852567e-14, 0.6350687228436733, 0.0, 0.0, 0.0, 0.0]",0.0
BINANCE->COINBASE,5s,3,15,"[0.0, 8.998363455470226e-06, 0.0, 0.0, 0.0001458904074806977, 0.00014582573482946337, 0.0, 0.0, 0.02628745248676223, 0.0, 0.02366590716566508, 0.024638588108866433, 2.8748114999643803e-12, 9.658940314238862e-14, 6.171858579762102e-10, 0.1095582175782881, 0.1560705722377962, 8.215650382226158e-14, 0.4738500545307427, 4.2409897525352847e-05, 0.0, 0.00011617842272149126, 5.986356077514188e-09, 2.9504382795364492e-05, 0.0854085341895483, 1.0125309479747102e-09, 0.019079845078465274, 3.3306690738754696e-15, 0.1791911924633789, 0.0006433213931651416, 0.18151826239705127, 0.0, 1.3275024990377915e-07, 0.08560003538314631, 0.0, 0.0049260321603643575, 1.3570700119203138e-11, 8.881784197001252e-15, 0.0004144418709219888, 2.354383354941092e-11, 0.0, 7.430900339500113e-11, 4.404256910284232e-06, 0.0008091530647338363, 5.699462371611119e-06, 0.5860343991672599, 0.02254105835756981, 0.0, 1.8207657603852567e-14, 1.1873146910090782e-10, 4.973799150320701e-14, 0.005316299079111353, 0.40531324900230814, 0.0, 0.0, 0.0, 0.7985518903690352, 0.0009830183340480136, 3.441691376337985e-14, 0.0, 0.03100859226505448, 3.745352840289762e-05, 0.04087320742337974, 0.008125367594532973, 0.0, 0.0, 1.042621936786503e-06, 0.0, 7.105427357601002e-15, 0.29591203047409875, 7.105427357601002e-15, 0.0, 2.966171195328826e-07, 0.0, 0.0, 0.0, 2.7191289220240833e-09, 0.0007690975161067648, 2.2417256939633035e-09, 1.9984014443252818e-15, 9.822880825738345e-05, 8.881784197001252e-15, 0.0, 0.05808407301017282, 0.9606261473448001, 0.04488994357561893, 0.0, 3.907985046680551e-14, 0.06905030741175544, 0.0, 1.800958937536734e-09, 0.0, 0.5068232166094457, 0.001515052979364384, 0.006140962366137703, 9.13127987289819e-06, 2.0450308113595383e-13, 1.149080830487037e-12, 6.68110564649993e-08, 0.00014760887876730244]",4.3527424997691355e-09
BINANCE->COINBASE,5s,5,25,"[2.8205511739765043e-05, 0.9499784094211834, 2.02208564115125e-07, 0.0, 0.4809796897566627, 0.48104810966563316, 0.0, 1.998927690038954e-09, 0.0226027678513534, 6.9838569201063905e-06, 0.02512071451456288, 0.02413222400795667, 0.013037620295900387, 0.0, 0.0, 0.00371618165086951, 3.3176101865706187e-09, 0.0030116814606593323, 1.8448626337708163e-07, 0.0, 0.0, 0.5165694939165468, 0.1884899012101542, 0.0, 0.005411390920520676, 0.10836911702438345, 8.008482765831104e-12, 0.000730726707717011, 0.0015887539679864116, 0.27573101353164464, 0.0015502413521040204, 0.0, 0.43975733803825223, 5.131119973356135e-10, 1.937230376114485e-10, 2.773337115513641e-13, 0.023747313701772965, 0.0, 1.1102230246251565e-15, 0.0291943497463647, 6.46551545635532e-09, 0.044409519803404685, 0.929331883577379, 0.24892779045132274, 0.0, 7.63376136894145e-05, 0.026355026427170802, 1.9984014443252818e-15, 0.0015609584270321886, 0.0, 0.002426375653277857, 0.08631577746190033, 0.00024404453569482065, 7.178744954039473e-07, 8.659739592076221e-15, 1.3147261057611104e-12, 1.9926806436032507e-06, 0.2273383249021268, 0.0020670682193693057, 1.4854784069484595e-13, 0.019026565177370225, 0.7039074347662313, 6.152056641894887e-11, 9.303668946358812e-13, 2.9903723941515636e-10, 0.0, 0.7033130527843086, 3.574918139293004e-14, 0.0010246051435087722, 0.0005490123220632803, 0.0010304693304186152, 0.0, 0.5332123294896522, 0.0, 0.0, 1.9921730931571346e-10, 0.14825251520504867, 0.2547353064132487, 0.13959849235629385, 0.0, 0.5433381885893789, 0.001140285018074394, 0.0, 0.009142091296594268, 5.3988222312728595e-06, 0.012554338188731862, 2.814415367424772e-12, 0.0021868413820516075, 0.0072834564411878855, 1.7216789057750148e-05, 0.13030981808104203, 2.0983215165415459e-13, 0.00012475859772131948, 0.18326795933479723, 0.07803651354125707, 0.0, 0.004438014759135855, 0.00904007894123926, 0.36961120639558676, 0.47917395247789907]",0.0008776659256128916
BINANCE->COINBASE,5s,10,50,"[6.726450507699155e-10, 0.05436096429236681, 6.905587213168474e-13, 0.0, 0.19986218640691233, 0.19982362472777893, 0.0, 1.3322676295501878e-15, 0.7689492172830752, 9.243805720871023e-11, 0.800118503244851, 0.7881794738404457, 7.868079738404532e-06, 0.0, 0.0, 0.3600751969121039, 8.452487976562395e-05, 7.334688423288327e-07, 0.0012387485432727718, 4.037703504877754e-11, 0.0, 0.18088553421914488, 0.0009616328484922665, 2.2958746015433462e-11, 0.4264192766336148, 0.00032823258721403903, 1.200621969399407e-06, 8.172789467408847e-08, 0.24119255059894895, 0.36989466094749224, 0.2383338095076728, 0.0, 0.0057944808221528366, 2.3215057477266043e-05, 0.0, 1.0223180058055448e-07, 2.163616813599667e-05, 0.0, 1.5369396866304896e-09, 3.086402413265965e-05, 6.8833827526759706e-15, 6.430735235807283e-05, 0.03795315339290961, 0.40447082024858183, 1.8525181388895362e-12, 0.0488235594893891, 0.814530126324839, 0.0, 2.622558159526278e-07, 0.0, 5.219077026108465e-07, 0.7861256277661046, 0.09242111181663004, 3.90176779774265e-12, 0.0, 0.0, 0.005618417565058875, 0.43576269432172143, 4.060527227789379e-07, 0.0, 0.7198193674477333, 0.10813432764578579, 5.1939990626248544e-06, 2.496766342563461e-07, 0.0, 0.0, 0.01790873936892834, 0.0, 1.3699633250041643e-07, 0.14160615501144824, 1.3820131261610413e-07, 0.0, 0.00906154926590852, 0.0, 0.0, 0.0, 0.0005988145836925973, 0.3966050704376993, 0.0005328058591846929, 0.0, 0.16792385251107933, 1.6146708126107967e-07, 0.0, 0.5349373842409739, 0.010359466222996216, 0.6101110405801251, 0.0, 4.434441156497826e-07, 0.4855381271178656, 3.3201374982638754e-10, 0.0004665175986486858, 0.0, 0.06416692736645557, 0.5119332661044831, 0.8225242728539834, 3.787414826206259e-12, 1.3582449851501366e-06, 4.297035712808039e-06, 0.003929531297194089, 0.20088295802829514]",4.745517387716447e-06
BINANCE->BYBITSPOT,5s,1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0308882282105145e-05, 6.222069082184589e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010455334826109386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6629367034256575e-15, 0.0, 0.0, 0.0, 0.0, 3.858128527767235e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12008974637535652, 0.0, 0.0, 0.0, 0.0, 0.00026203599232643704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7763568394002505e-15, 0.0, 0.0, 0.0, 0.0]",0.0
BINANCE->BYBITSPOT,5s,2,10,"[0.0, 9.874323581016142e-13, 0.0, 0.0, 2.1280865958317463e-10, 2.12623918471877e-10, 0.0, 0.0, 9.200918986485007e-06, 0.0, 7.308525123761456e-06, 7.98221884479311e-06, 0.0, 2.255973186038318e-13, 6.650313189027202e-09, 0.0002343694666298024, 0.9959695551107479, 0.0, 0.3898955921965195, 0.0011444539049416669, 0.0, 1.3627787787129364e-10, 0.0, 0.0007970522734581653, 0.00013093485267190452, 0.0, 0.2619790478223132, 0.0, 0.0007622281842418754, 4.02135147403726e-09, 0.0007866393029372087, 0.0, 4.440892098500626e-16, 0.7181220013962077, 0.0, 0.09077111155733619, 0.0, 1.2434497875801753e-14, 0.010269937816406838, 0.0, 0.0, 0.0, 2.5490720645393594e-13, 6.3721266041483204e-09, 0.00014936513482699532, 0.016650700983515065, 6.5706414646982125e-06, 0.0, 0.0, 9.96682958387396e-10, 0.0, 3.0117610827495866e-07, 0.006064306142200548, 0.0, 0.0, 0.0, 0.15533643720838897, 9.431144754046272e-09, 0.0, 0.0, 1.3239538081855073e-05, 1.5141221609837885e-11, 0.4487368879048086, 0.1361093491603702, 0.0, 0.0, 1.709743457922741e-14, 0.0, 0.0, 0.0026684600286492888, 0.0, 0.0, 1.7763568394002505e-15, 0.0, 0.0, 0.0, 0.0, 5.753902465599481e-09, 0.0, 1.9984014443252818e-15, 9.820522173242807e-11, 0.0, 0.0, 5.4021765958367496e-05, 0.09462739998595882, 3.018288728262597e-05, 0.0, 0.0, 8.017771683110908e-05, 0.0, 0.0, 0.0, 0.011104629668648336, 2.265444942750605e-08, 4.073810186966398e-07, 0.00024273309314915004, 0.0, 0.0, 2.220446049250313e-16, 2.177502622657812e-10]",7.216449660063518e-15
BINANCE->BYBITSPOT,5s,3,15,"[0.0, 0.0002913308722181096, 0.0, 0.0, 0.004478733375551824, 0.00447685584822044, 0.0, 0.0, 0.3543749350135852, 0.0, 0.32933122216754285, 0.3387526957779259, 1.871436339229149e-11, 0.0, 0.0, 0.8648083527078003, 0.0004679978372577054, 2.8110846983508964e-13, 0.008163648869688345, 1.500288782096959e-11, 0.0, 0.0036083518875023035, 1.1746516159760745e-07, 7.436051774334373e-12, 0.7519439846853331, 1.6013495640621045e-08, 3.785514962828529e-06, 5.995204332975845e-15, 0.8870135598623541, 0.01760439561117444, 0.8801480624559002, 0.0, 3.5139034624265264e-06, 0.00011167152750335418, 0.0, 2.090738782101198e-07, 1.143278804960346e-10, 0.0, 1.3272758447868682e-09, 2.1656676452153079e-10, 0.0, 8.156539887949066e-10, 0.00014068265517397371, 0.021606371582865158, 3.19300141882195e-13, 0.2657508835809339, 0.3182342454168898, 0.0, 4.6407322429331543e-14, 0.0, 1.5476508963274682e-13, 0.10665876638336935, 0.44525669980307936, 0.0, 0.0, 0.0, 0.03707018214617208, 0.025668307319006267, 9.969802761133906e-14, 0.0, 0.3969161753713282, 0.001207511806296191, 2.049435688400436e-05, 6.017108906686275e-07, 0.0, 0.0, 3.153191733429317e-05, 0.0, 1.4876988529977098e-14, 0.6140179484317689, 1.509903313490213e-14, 0.0, 8.328656898148878e-06, 0.0, 0.0, 0.0, 4.8655017348409046e-08, 0.02065201517897819, 3.918306012984374e-08, 0.0, 0.0030742921377828747, 1.9761969838327786e-14, 0.0, 0.5969846293677801, 0.0665337400621957, 0.5071853569858984, 0.0, 1.163513729807164e-13, 0.6634422496796812, 0.0, 3.064055231760676e-08, 0.0, 0.3330377705288361, 0.037437042098402484, 0.11966508551893029, 7.833733661755105e-13, 8.315570454442422e-13, 6.3800076333109246e-12, 1.6706621006612465e-06, 0.004528596938782714]",1.0714649167908874e-09
BINANCE->BYBITSPOT,5s,5,25,"[1.546229810855948e-11, 0.11470925400184884, 1.5543122344752192e-15, 0.0, 0.42568473208215885, 0.4256070696924614, 0.0, 0.0, 0.26288332287836513, 1.1108891584399316e-12, 0.28449106704714766, 0.276104866172586, 2.9812615729429837e-06, 0.0, 0.0, 0.06075069333541494, 2.99635185552205e-08, 1.4399720460467336e-07, 2.7426632940308338e-06, 0.0, 0.0, 0.3871428596426454, 0.0011431608852219277, 0.0, 0.0837147570501442, 0.0003111082140747623, 2.6497914973333536e-11, 8.421997987895224e-09, 0.028702933736452607, 0.7428730074590315, 0.028074991426184193, 0.0, 0.009509962154982787, 3.49303519442401e-09, 0.0, 4.745093207247919e-13, 1.0684692454132616e-05, 0.0, 6.661338147750939e-16, 1.6685042202313483e-05, 0.0, 4.171785146533935e-05, 0.07815125684467339, 0.8014848846108198, 0.0, 0.0015889745823942647, 0.2947965657339431, 0.0, 3.82097473661247e-08, 0.0, 9.290894564806251e-08, 0.6654407707891692, 0.004976581698192817, 1.6209256159527285e-14, 0.0, 0.0, 3.6370820883036004e-05, 0.852917909894988, 6.721519452135283e-08, 0.0, 0.23068985829843047, 0.2334684441121253, 2.9410340829372217e-10, 2.0328183580886616e-12, 0.0, 0.0, 0.03427663636747735, 0.0, 1.6475252495595782e-08, 0.010782731137301882, 1.666351256979226e-08, 0.0, 0.01589216174496144, 0.0, 0.0, 0.0, 0.000645925866021857, 0.7883172302399974, 0.0005607478182709791, 0.0, 0.3604451895267653, 2.0389350652294524e-08, 0.0, 0.129287550514531, 0.0001047161860932011, 0.16682970139523468, 0.0, 7.530563084223729e-08, 0.10729518226647583, 6.069589275625731e-12, 0.0004772803258192848, 0.0, 0.002585840528267047, 0.971952513425266, 0.6243992078351535, 0.0, 3.176819849404211e-07, 1.3831031842048702e-06, 0.0060574534517641165, 0.42773957207549373]",1.1845307512636793e-07
BINANCE->BYBITSPOT,5s,10,50,"[8.042455590384634e-13, 0.04617956748912566, 0.0, 0.0, 0.22520642483526654, 0.2251552923700162, 0.0, 0.0, 0.48148431242428313, 4.973799150320701e-14, 0.5127349991165009, 0.5006820869109962, 3.600826714578176e-07, 0.0, 0.0, 0.14432792972400832, 2.933347797995367e-07, 1.3712009527822033e-08, 1.9126626333410002e-05, 0.0, 0.0, 0.20018373615214213, 0.0002431597305556643, 0.0, 0.18883417392645985, 5.756364054798624e-05, 4.0677150536794215e-10, 6.546014841291026e-10, 0.07636047446710026, 0.4567921600709415, 0.07492836040303108, 0.0, 0.0026149047055807895, 3.9566877774177556e-08, 0.0, 9.15090225817039e-12, 1.438219903393545e-06, 0.0, 1.4654943925052066e-14, 2.3356945695329756e-06, 0.0, 6.345917703765025e-06, 0.029411588333867034, 0.504456183369205, 0.0, 0.006089208007707514, 0.5274193013746016, 0.0, 3.3022677925487187e-09, 0.0, 8.564670306299149e-09, 0.9868135368638129, 0.016691660825180366, 4.440892098500626e-16, 0.0, 0.0, 0.00020336011744515048, 0.5475411895012758, 6.051014134200727e-09, 0.0, 0.43367232207849105, 0.10788704939922789, 3.9029899312481575e-09, 3.616529298255955e-11, 0.0, 0.0, 0.011300050033794529, 0.0, 1.3415326627352897e-09, 0.03280575504320771, 1.3579415369946446e-09, 0.0, 0.004685243817809992, 0.0, 0.0, 0.0, 0.00012906059760320332, 0.49361554036083133, 0.00011035727220831681, 0.0, 0.1832724574069564, 1.6852703677017189e-09, 0.0, 0.27074140351614306, 0.0005308306283446917, 0.3336143754779537, 0.0, 6.835815469230511e-09, 0.23211044706126716, 2.9887203822909214e-13, 9.233808515229924e-05, 0.0, 0.00937488667020503, 0.6518652069052924, 0.9412053117609864, 0.0, 3.211347054943303e-08, 1.5690700738701935e-07, 0.001570980824507906, 0.22656035333787616]",3.5840174161805294e-08
