edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,5,0.005637044836979041,0.010149174754153377,0.5554190339142772,0.5786162359604572,15229
BINANCE->BITGET,3,15,0.04498759559415818,0.011526617587045965,3.9029312158943217,9.544396294458579e-05,15227
BINANCE->BITGET,6,30,0.013251008505644812,0.011498500632500765,1.1524118603942626,0.2491699670256875,15224
BINANCE->BYBITSPOT,1,5,0.018743086888639002,0.009871632849218796,1.8986815225935252,0.05762410532381712,16210
BINANCE->BYBITSPOT,3,15,0.011549510848103777,0.010136783951266826,1.1393663812535335,0.25456721217867084,16208
BINANCE->BYBITSPOT,6,30,-0.0053401431464363104,0.01193937776113219,-0.4472714787382617,0.6546850361802705,16205
BINANCE->COINBASE,1,5,0.02108273880667745,0.01026590299117451,2.0536662799952485,0.040023167193093956,17111
BINANCE->COINBASE,3,15,0.019782056243544337,0.009785194790867582,2.021631318163101,0.04322999241129111,17109
BINANCE->COINBASE,6,30,-0.011883576765261304,0.010671920528894872,-1.1135368496313105,0.26549357948662444,17106
BITGET->BINANCE,1,5,-0.004796624839222477,0.011178825748342497,-0.4290812780522749,0.6678701468138697,15229
BITGET->BINANCE,3,15,-0.014587128001801227,0.011574054904591995,-1.260329946768595,0.2075696770119282,15227
BITGET->BINANCE,6,30,-0.0007014434156694181,0.010104842514790092,-0.06941656088580705,0.9446589588562664,15224
BITGET->BYBITSPOT,1,5,0.00346483694114616,0.010831917560379361,0.31987290540501606,0.7490692125164289,14739
BITGET->BYBITSPOT,3,15,-0.009467964239385826,0.011612123536504438,-0.8153516632527954,0.41488422284675375,14737
BITGET->BYBITSPOT,6,30,0.013921754948187762,0.011797426501042908,1.18006710590289,0.23799258033409476,14734
BITGET->COINBASE,1,5,0.003988783334729522,0.012031373066641676,0.33153184699997945,0.7402473784940868,15141
BITGET->COINBASE,3,15,-0.0158504580788325,0.009217587333368457,-1.7195885979243704,0.08552769243004232,15139
BITGET->COINBASE,6,30,-0.016364379563738273,0.01023248744233439,-1.599257233977605,0.10978433247370223,15136
BYBITSPOT->BINANCE,1,5,0.011715246540550584,0.01066352628196294,1.0986278113616692,0.2719467609574764,16210
BYBITSPOT->BINANCE,3,15,0.0046538425231689665,0.010948339881460434,0.4250728944805261,0.6707891803585984,16208
BYBITSPOT->BINANCE,6,30,-0.010518639773379572,0.011256576356133927,-0.9344439588550173,0.35008885642662513,16205
BYBITSPOT->BITGET,1,5,0.003959195842783987,0.013123555311979557,0.3016862236386446,0.7628955280637566,14739
BYBITSPOT->BITGET,3,15,0.005724113049969769,0.01133131892386322,0.5051585864303103,0.6134550103167924,14737
BYBITSPOT->BITGET,6,30,-0.0028165784241886245,0.012272065283009798,-0.22951136253227636,0.8184746764999884,14734
BYBITSPOT->COINBASE,1,5,0.010632771796902581,0.009978002341025883,1.0656212970791286,0.28661082619142975,16124
BYBITSPOT->COINBASE,3,15,-0.016067984317286645,0.010634204178513514,-1.5109719587434782,0.13081519678768694,16122
BYBITSPOT->COINBASE,6,30,-0.006259708404868231,0.010268517176561156,-0.60960198023105,0.5421340931393477,16119
COINBASE->BINANCE,1,5,0.010592055266415632,0.01217507982270762,0.8699783016338419,0.3843244674462809,17111
COINBASE->BINANCE,3,15,0.017810403977417174,0.013063165640526788,1.3634064259403318,0.17277239900921937,17109
COINBASE->BINANCE,6,30,-0.009826372614294,0.013610585986021554,-0.7219654336988837,0.4703255994115936,17106
COINBASE->BITGET,1,5,-0.00528392393262082,0.012315568137649951,-0.429044269299061,0.6678971135194409,15141
COINBASE->BITGET,3,15,0.01341575918139351,0.01355718398079939,0.9895682761548287,0.32240099991053217,15139
COINBASE->BITGET,6,30,0.025741726292806903,0.013478978146219492,1.9097683825555276,0.056181927250489316,15136
COINBASE->BYBITSPOT,1,5,0.010837332001626905,0.012362646168683322,0.8766191197059173,0.38070661210880896,16124
COINBASE->BYBITSPOT,3,15,0.018040032097652668,0.0121611364636804,1.4834166322801956,0.1379833015382823,16122
COINBASE->BYBITSPOT,6,30,0.005009161240552059,0.01205940373966637,0.4153738732600589,0.677873759300121,16119
