edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,45.0,45.0,45,0.0,45.0,[45]
BINANCE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
BINANCE->BITGET,1,13.0,13.0,13,0.0,13.0,[13]
COINBASE->BINANCE,1,45.0,45.0,45,0.0,45.0,[45]
COINBASE->BYBITSPOT,1,5.0,5.0,5,0.0,5.0,[5]
COINBASE->BITGET,1,11.0,11.0,11,0.0,11.0,[11]
BYBITSPOT->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->COINBASE,1,5.0,5.0,5,0.0,5.0,[5]
BYBITSPOT->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BINANCE,1,13.0,13.0,13,0.0,13.0,[13]
BITGET->COINBASE,1,11.0,11.0,11,0.0,11.0,[11]
BITGET->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
