edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.13393345519883754,570,76,0.0013393345519883753
BINANCE->BYBITSPOT,0.017941939106133165,540,9,0.00017941939106133164
BINANCE->BITGET,0.015691886111900415,507,7,0.00015691886111900415
COINBASE->BINANCE,0.13393345519883756,570,76,0.0013393345519883758
COINBASE->BYBITSPOT,0.0163829459102878,537,8,0.000163829459102878
COINBASE->BITGET,0.009992925625477114,504,5,9.992925625477114e-05
BYBITSPOT->BINANCE,0.017941939106133165,540,9,0.00017941939106133164
BYBITSPOT->COINBASE,0.0163829459102878,537,8,0.000163829459102878
BYBITSPOT->BITGET,0.024180180971564137,491,11,0.0002418018097156414
BITGET->BINANCE,0.015691886111900415,507,7,0.00015691886111900415
BITGET->COINBASE,0.009992925625477114,504,5,9.992925625477114e-05
BITGET->BYBITSPOT,0.024180180971564137,491,11,0.0002418018097156414
