edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.06590666925597478,84,5,0.0006590666925597479
BINANCE->BYBITSPOT,0.001161364688183221,81,0,1.161364688183221e-05
BINANCE->BITGET,0.021049428409005762,78,1,0.0002104942840900576
COINBASE->BINANCE,0.06590666925597478,84,5,0.0006590666925597479
COINBASE->BYBITSPOT,0.004941258722046218,134,0,4.9412587220462184e-05
COINBASE->BITGET,0.005341125902847785,121,0,5.3411259028477847e-05
BYBITSPOT->BINANCE,0.001161364688183221,81,0,1.161364688183221e-05
BYBITSPOT->COINBASE,0.004941258722046218,134,0,4.9412587220462184e-05
BYBITSPOT->BITGET,0.004259810151150456,118,0,4.259810151150456e-05
BITGET->BINANCE,0.021049428409005765,78,1,0.00021049428409005767
BITGET->COINBASE,0.005341125902847785,121,0,5.3411259028477847e-05
BITGET->BYBITSPOT,0.004259810151150456,118,0,4.259810151150456e-05
