edge,total_lags,significant_lags,max_consecutive_significant,tsi,has_adjacent_significant,mean_abs_beta,median_abs_beta,bh_significant_count,total_tests,bh_significant_ratio,tsi_final,tsi_bh,tsi_above_threshold,tsi_bh_above_threshold
BINANCE->COINBASE,9,5,2,0.5555555555555556,True,0.015120022567629522,0.0118835767652613,3,9,0.3333333333333333,0.5555555555555556,0.3333333333333333,True,True
BINANCE->BYBITSPOT,9,3,2,0.3333333333333333,True,0.012224077781480967,0.0058319270714194,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True
BINANCE->BITGET,9,5,3,0.5555555555555556,True,0.020365867840902233,0.0132510085056448,5,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,True,True
COINBASE->BINANCE,9,3,2,0.3333333333333333,True,0.014783193772647743,0.009826372614294,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True
COINBASE->BYBITSPOT,9,2,2,0.2222222222222222,True,0.013262940410256299,0.0054737291162319,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,True,True
COINBASE->BITGET,9,4,2,0.4444444444444444,True,0.013133004107192122,0.0134157591813935,3,9,0.3333333333333333,0.4444444444444444,0.3333333333333333,True,True
BYBITSPOT->BINANCE,9,3,2,0.3333333333333333,True,0.012540476639956855,0.0052383047668835,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True
BYBITSPOT->COINBASE,9,2,2,0.2222222222222222,True,0.0133139084475056,0.0066121755233735,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,True,True
BYBITSPOT->BITGET,9,3,2,0.3333333333333333,True,0.008259873674142201,0.0041428282810725,2,9,0.2222222222222222,0.3333333333333333,0.2222222222222222,True,True
BITGET->BINANCE,9,3,2,0.3333333333333333,True,0.011344404506073878,0.0044751285435964,2,9,0.2222222222222222,0.3333333333333333,0.2222222222222222,True,True
BITGET->COINBASE,9,2,2,0.2222222222222222,True,0.015350519803996189,0.0096121689677259,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,True,True
BITGET->BYBITSPOT,9,3,2,0.3333333333333333,True,0.013787227114598734,0.0094679642393858,2,9,0.2222222222222222,0.3333333333333333,0.2222222222222222,True,True
