edge,lag,status,reason,coef,p_value,n_obs
BINANCE_to_COINBASE,1,REJECTED,Fails baseline test,-0.01011542299777783,0.18549106190379705,17259
BINANCE_to_COINBASE,2,REJECTED,Fails baseline test,-0.0025232355518965,0.7412010851105877,17258
BINANCE_to_COINBASE,3,REJECTED,Fails baseline test,-0.010792201048185505,0.1577750951050203,17257
BINANCE_to_BYBITSPOT,1,REJECTED,Fails baseline test,0.011332044460556301,0.13969735692786034,17259
BINANCE_to_BYBITSPOT,2,REJECTED,Fails baseline test,-0.005731306576969374,0.4551215357551519,17258
BINANCE_to_BYBITSPOT,3,REJECTED,Fails baseline test,0.006145475347731932,0.42321670041135273,17257
BINANCE_to_BITGET,1,REJECTED,Fails baseline test,-0.008333852968915903,0.2677438405432069,17259
BINANCE_to_BITGET,2,REJECTED,Fails baseline test,-0.003795135227076571,0.6138006915807881,17258
BINANCE_to_BITGET,3,REJECTED,Fails baseline test,-0.007687708598156198,0.30662575172524575,17257
COINBASE_to_BINANCE,1,REJECTED,Fails baseline test,-0.0012602213471333105,0.8680285362209701,17259
COINBASE_to_BINANCE,2,REJECTED,Fails baseline test,0.0026741358309701787,0.7244004845515901,17258
COINBASE_to_BINANCE,3,REJECTED,Fails baseline test,-0.019070247407984662,0.01192082289780827,17257
COINBASE_to_BYBITSPOT,1,REJECTED,Fails baseline test,0.005145452182940634,0.5009144983828888,17259
COINBASE_to_BYBITSPOT,2,REJECTED,Fails baseline test,-0.00831302045428926,0.27688339116774086,17258
COINBASE_to_BYBITSPOT,3,REJECTED,Fails baseline test,-0.008224155220120396,0.2820776494944026,17257
COINBASE_to_BITGET,1,REJECTED,Fails baseline test,-0.0011474971690516437,0.8782757331041458,17259
COINBASE_to_BITGET,2,REJECTED,Fails baseline test,0.007250422481591893,0.3332063269476082,17258
COINBASE_to_BITGET,3,REJECTED,Fails baseline test,0.013102625935252146,0.08031948442840453,17257
BYBITSPOT_to_BINANCE,1,REJECTED,Fails baseline test,-0.0018249530094345782,0.8090549520269164,17259
BYBITSPOT_to_BINANCE,2,REJECTED,Fails baseline test,-0.004143087553692644,0.5832932066154268,17258
BYBITSPOT_to_BINANCE,3,REJECTED,Fails baseline test,-0.004585012374944687,0.5438425518901886,17257
BYBITSPOT_to_COINBASE,1,REJECTED,Fails baseline test,0.007534437076370815,0.3202214153652849,17259
BYBITSPOT_to_COINBASE,2,REJECTED,Fails baseline test,0.007693206040699415,0.310127758772466,17258
BYBITSPOT_to_COINBASE,3,REJECTED,Fails baseline test,0.01428646148127237,0.059477902226961143,17257
BYBITSPOT_to_BITGET,1,REJECTED,Fails baseline test,-0.0024932898155576554,0.7382366490313959,17259
BYBITSPOT_to_BITGET,2,REJECTED,Fails baseline test,-0.0040917160297616,0.5834111808277038,17258
BYBITSPOT_to_BITGET,3,REJECTED,Fails baseline test,-0.0022945799805754565,0.7584450971965964,17257
BITGET_to_BINANCE,1,REJECTED,Fails baseline test,-0.010961773273259048,0.15485800293542162,17259
BITGET_to_BINANCE,2,REJECTED,Fails baseline test,-0.00776713835747929,0.3134903205256798,17258
BITGET_to_BINANCE,3,REJECTED,Fails baseline test,-0.005972078591307459,0.43836496880409137,17257
BITGET_to_COINBASE,1,REJECTED,Fails baseline test,-0.0009883273168826868,0.8983171826277623,17259
BITGET_to_COINBASE,2,REJECTED,Fails baseline test,-0.0069292514328856865,0.3702943721834342,17258
BITGET_to_COINBASE,3,REJECTED,Fails baseline test,-0.0019504025520375365,0.8009064791536422,17257
BITGET_to_BYBITSPOT,1,REJECTED,Fails baseline test,0.009359818246196696,0.22819608293308247,17259
BITGET_to_BYBITSPOT,2,REJECTED,Fails baseline test,-0.006538696548741882,0.3999308548012146,17258
BITGET_to_BYBITSPOT,3,REJECTED,Fails baseline test,-0.013382516626363923,0.08492757683211316,17257
