venue_i,venue_j,lag,ll_real,ll_placebo,ll_gap,kl_divergence,lrs_real,lrs_placebo,lrs_delta,fdr_rejected
BINANCE,COINBASE,5,-1000.7716638805815,-1133.699807778993,201.04262459168103,0.17432869106866528,0.41107635986693886,0.34309304603395574,0.27244704067013353,False
BINANCE,COINBASE,10,-993.0576958836988,-1217.5205764549899,128.47763674634464,0.20061191213228743,0.5361523572117509,0.3805948982097825,0.11078806123227991,False
BINANCE,COINBASE,15,-926.4732247591215,-1278.8735173940565,146.33786901135497,0.11898550349960155,0.5239995352682756,0.3828075036350791,0.27074338388146085,False
BINANCE,COINBASE,20,-978.4060308028278,-1179.351817363164,208.78074275491946,0.288459308909814,0.42102740112482995,0.41103150561535806,0.264513608553723,True
BINANCE,COINBASE,25,-952.1985834340345,-1173.4221838969231,118.89982330551175,0.22372558439798285,0.4966740587777455,0.26736354824873954,0.19821618804507532,False
BINANCE,COINBASE,30,-1030.5475159628822,-1161.354159940534,214.85442808701714,0.12532639378350335,0.5863006139235186,0.30920693632408824,0.17130686608429196,False
BINANCE,BYBITSPOT,5,-1109.9204728929528,-1160.1524971724612,217.8771618066093,0.21440528979660683,0.4225455265666955,0.31767772473409894,0.10692777648047995,True
BINANCE,BYBITSPOT,10,-1039.2958006720464,-1121.8064897521933,215.75476193614088,0.17083604612797507,0.5717833496799483,0.19358360482054993,0.29838835134656194,False
BINANCE,BYBITSPOT,15,-1112.0597729908611,-1114.043679193836,207.89711177768996,0.17418323570721295,0.5942820576558863,0.2787998135586947,0.13964199418081563,False
BINANCE,BYBITSPOT,20,-993.8833143623307,-1256.466864759685,246.119920956182,0.09897201869473973,0.39449117898175434,0.3184149506696947,0.18600790692810612,False
BINANCE,BYBITSPOT,25,-894.665268188494,-1104.4421422066282,167.43066140502046,0.1615107479667889,0.372800566593822,0.40055066476099,0.2752830806354937,True
BINANCE,BYBITSPOT,30,-1142.7659852177728,-1267.3981206969258,228.12211986846654,0.22907294327498293,0.6108192048650369,0.49323215821663136,0.21769037669891095,False
BINANCE,BITGET,5,-1018.2327643795654,-1340.9647678980323,215.49108026753558,0.11145132115113612,0.48650614940311165,0.3853285803838497,0.3050671327605389,False
BINANCE,BITGET,10,-1009.7396434294099,-1247.7131036208316,199.0765460223721,0.08159100572693956,0.4853267800441013,0.30740565115704177,0.1667420071369237,False
BINANCE,BITGET,15,-874.5112077218683,-1133.9331291773028,279.7212086281194,0.17486349350155922,0.6040184411548872,0.28272465543614966,0.16773932597471874,False
