edge_id,lag_s,session,N_wave7,N_wave9,window_match,analyzed_flag,valid_session_flag
BINANCE->COINBASE,5,Asia,5512,5512,True,True,True
BINANCE->COINBASE,5,EU,5512,5512,True,True,True
BINANCE->COINBASE,5,US,5679,5679,True,True,True
BINANCE->BYBITSPOT,5,Asia,5512,5512,True,True,True
BINANCE->BYBITSPOT,5,EU,5512,5512,True,True,True
BINANCE->BYBITSPOT,5,US,5679,5679,True,True,True
BINANCE->BITGET,5,Asia,5512,5512,True,True,True
BINANCE->BITGET,5,EU,5512,5512,True,True,True
BINANCE->BITGET,5,US,5679,5679,True,True,True
COINBASE->BINANCE,5,Asia,5512,5512,True,True,True
COINBASE->BINANCE,5,EU,5512,5512,True,True,True
COINBASE->BINANCE,5,US,5679,5679,True,True,True
COINBASE->BYBITSPOT,5,Asia,5512,5512,True,True,True
COINBASE->BYBITSPOT,5,EU,5512,5512,True,True,True
COINBASE->BYBITSPOT,5,US,5679,5679,True,True,True
COINBASE->BITGET,5,Asia,5512,5512,True,True,True
COINBASE->BITGET,5,EU,5512,5512,True,True,True
COINBASE->BITGET,5,US,5679,5679,True,True,True
BYBITSPOT->BINANCE,5,Asia,5512,5512,True,True,True
BYBITSPOT->BINANCE,5,EU,5512,5512,True,True,True
BYBITSPOT->BINANCE,5,US,5679,5679,True,True,True
BYBITSPOT->COINBASE,5,Asia,5512,5512,True,True,True
BYBITSPOT->COINBASE,5,EU,5512,5512,True,True,True
BYBITSPOT->COINBASE,5,US,5679,5679,True,True,True
BYBITSPOT->BITGET,5,Asia,5512,5512,True,True,True
BYBITSPOT->BITGET,5,EU,5512,5512,True,True,True
BYBITSPOT->BITGET,5,US,5679,5679,True,True,True
BITGET->BINANCE,5,Asia,5512,5512,True,True,True
BITGET->BINANCE,5,EU,5512,5512,True,True,True
BITGET->BINANCE,5,US,5679,5679,True,True,True
BITGET->COINBASE,5,Asia,5512,5512,True,True,True
BITGET->COINBASE,5,EU,5512,5512,True,True,True
BITGET->COINBASE,5,US,5679,5679,True,True,True
BITGET->BYBITSPOT,5,Asia,5512,5512,True,True,True
BITGET->BYBITSPOT,5,EU,5512,5512,True,True,True
BITGET->BYBITSPOT,5,US,5679,5679,True,True,True
