edge,lag_s,vif_r_i_lagged,vif_wash_i,vif_interaction,vif_market,hac_lm_p,most_influential_block_start
BINANCE->COINBASE,5,1.042493141487929,1.001354011129325,1.0287790446696485,1.0151100915675135,0.6440028697283438,5400
BINANCE->BYBITSPOT,5,1.0424931414879441,1.0013540111293258,1.0287790446696592,1.015110091567519,0.4842648631451236,9300
BINANCE->BITGET,5,1.0424931414879441,1.0013540111293258,1.0287790446696592,1.015110091567519,0.20089262611725833,15720
COINBASE->BINANCE,5,1.0334690386518124,1.0000335964573361,1.0134512889687053,1.0201949959605323,0.6724953536182321,14400
COINBASE->BYBITSPOT,5,1.0334690386518242,1.0000335964573361,1.0134512889687102,1.0201949959605399,0.5649966573706995,14400
COINBASE->BITGET,5,1.0334690386518242,1.0000335964573361,1.0134512889687102,1.0201949959605399,0.2992372459613333,15060
BYBITSPOT->BINANCE,5,1.0290274404527573,1.014918487746286,1.024404753805942,1.019989785754983,0.38245091500104644,1320
BYBITSPOT->COINBASE,5,1.0290274404527573,1.014918487746286,1.024404753805942,1.019989785754983,0.6865505054804242,1080
BYBITSPOT->BITGET,5,1.0290274404527675,1.0149184877462916,1.0244047538059509,1.01998978575499,0.5001735595355883,1260
BITGET->BINANCE,5,1.0286201344496264,1.020453822152317,1.0359222797522538,1.0148266784190623,0.9890305835211142,15120
BITGET->COINBASE,5,1.0286201344496264,1.020453822152317,1.0359222797522538,1.0148266784190623,0.003563769667726868,5460
BITGET->BYBITSPOT,5,1.0286201344496364,1.0204538221523245,1.0359222797522665,1.0148266784190672,0.837388796509646,15120
