edge,lag_s,elasticity,se_elasticity,ci_lower,ci_upper,mean_wash,mean_abs_r_j
BINANCE->COINBASE,5,-3.543242788344839e-05,7.667401746091808e-05,-0.0001857135021068478,0.00011484864633995104,0.026041666666666668,9.638306179537757e-05
BINANCE->BYBITSPOT,5,-4.2529085858538885e-05,6.080142265217898e-05,-0.00016169987425680967,7.664170253973192e-05,0.026041666666666668,8.627966278798104e-05
BINANCE->BITGET,5,9.542397801151746e-05,7.460459278190949e-05,-5.0801023841025146e-05,0.00024164897986406008,0.026041666666666668,8.391701319775863e-05
COINBASE->BINANCE,5,1.5016808248206912e-05,3.5523132124621646e-05,-5.460853071605151e-05,8.464214721246533e-05,0.012871168582375478,7.878250690833778e-05
COINBASE->BYBITSPOT,5,1.7265710465224878e-05,3.000398835713301e-05,-4.154210671475582e-05,7.607352764520558e-05,0.012871168582375478,8.627966278798104e-05
COINBASE->BITGET,5,3.812630446080993e-05,3.672690784627411e-05,-3.385843491788733e-05,0.0001101110438395072,0.012871168582375478,8.391701319775863e-05
BYBITSPOT->BINANCE,5,-3.5159478709164695e-05,4.025530243870708e-05,-0.00011405987148903057,4.374091407070118e-05,0.014547413793103448,7.878250690833778e-05
BYBITSPOT->COINBASE,5,1.722806284339688e-05,4.2691513555485405e-05,-6.644730372535451e-05,0.00010090342941214826,0.014547413793103448,9.638306179537757e-05
BYBITSPOT->BITGET,5,2.8077432722018474e-05,4.164361652271022e-05,-5.354405566249355e-05,0.0001096989211065305,0.014547413793103448,8.391701319775863e-05
BITGET->BINANCE,5,4.601688897613607e-07,3.3469837642735116e-05,-6.514071288999946e-05,6.60610506695222e-05,0.012092911877394636,7.878250690833778e-05
BITGET->COINBASE,5,-0.00010387630265977487,3.5637409000542836e-05,-0.00017372562430083884,-3.40269810187109e-05,0.012092911877394636,9.638306179537757e-05
BITGET->BYBITSPOT,5,-5.7932825519471565e-06,2.8227163836326293e-05,-6.11185236711467e-05,4.953195856725238e-05,0.012092911877394636,8.627966278798104e-05
