edge,lag_s,lambda_star,gamma,se,t,p_raw,kappa_pre,kappa_post,n_obs,p_fdr
BINANCE->COINBASE,5,0.01,-1.3113929803202554e-07,2.8377894002056414e-07,-0.46211779500805267,0.6440028697283438,1.5155814675139103,1.51558108355603,16704,0.823860606576509
BINANCE->BYBITSPOT,5,0.0001,-1.4090477516374378e-07,2.0144356774884532e-07,-0.6994751767870804,0.4842648631451236,1.5155814675139103,1.515581463674329,16704,0.823860606576509
BINANCE->BITGET,5,0.0001,3.074954965315254e-07,2.4040683252836763e-07,1.279063050320092,0.20089262611725833,1.5155814675139103,1.515581463674329,16704,0.823860606576509
COINBASE->BINANCE,5,0.01,9.191564790593405e-08,2.1743180381041175e-07,0.4227332262122946,0.6724953536182321,1.4398280246482682,1.4398277065164327,16704,0.823860606576509
COINBASE->BYBITSPOT,5,0.0001,1.1573771776824831e-07,2.0112657069014736e-07,0.5754471792121,0.5649966573706995,1.4398280246482682,1.4398280214669472,16704,0.823860606576509
COINBASE->BITGET,5,0.0001,2.4857460098848826e-07,2.3945086187969416e-07,1.0381027616153584,0.2992372459613333,1.4398280246482682,1.4398280214669472,16704,0.823860606576509
BYBITSPOT->BINANCE,5,0.01,-1.904085436554699e-07,2.1800532297899936e-07,-0.8734123600909145,0.38245091500104644,1.45972414565427,1.4597238127843442,16704,0.823860606576509
BYBITSPOT->COINBASE,5,0.01,1.1414354944911011e-07,2.8285019232127984e-07,0.40354771729997047,0.6865505054804242,1.45972414565427,1.4597238127843442,16704,0.823860606576509
BYBITSPOT->BITGET,5,0.0001,1.6196516616649796e-07,2.4022193683631766e-07,0.6742313724531234,0.5001735595355883,1.45972414565427,1.4597241423255685,16704,0.823860606576509
BITGET->BINANCE,5,0.01,2.997893237309948e-09,2.180482039432357e-07,0.013748763727906637,0.9890305835211142,1.515853875614168,1.5158534960588699,16704,0.9890305835211142
BITGET->COINBASE,5,0.01,-8.279160718145784e-07,2.840376766779588e-07,-2.9148107444677755,0.003563769667726868,1.515853875614168,1.5158534960588699,16704,0.04276523601272242
BITGET->BYBITSPOT,5,0.0001,-4.133350760223879e-08,2.0139319644029594e-07,-0.20523785476781148,0.837388796509646,1.515853875614168,1.5158538718186123,16704,0.9135150507377957
