edge,tsi,significant_windows,total_windows,n_obs,environment,day,frequency
BINANCE->COINBASE,0.6143106457242583,352,573,17236,Full,2025-09-01,1S
BINANCE->BYBITSPOT,0.22300884955752212,126,565,16696,Full,2025-09-01,1S
BINANCE->BITGET,0.22123893805309736,125,565,16714,Full,2025-09-01,1S
COINBASE->BINANCE,0.2073170731707317,119,574,17265,Full,2025-09-01,1S
COINBASE->BYBITSPOT,0.24778761061946902,140,565,16688,Full,2025-09-01,1S
COINBASE->BITGET,0.22300884955752212,126,565,16707,Full,2025-09-01,1S
BYBITSPOT->BINANCE,0.21428571428571427,123,574,16696,Full,2025-09-01,1S
BYBITSPOT->COINBASE,0.20034843205574912,115,574,16688,Full,2025-09-01,1S
BYBITSPOT->BITGET,0.24041811846689895,138,574,16432,Full,2025-09-01,1S
BITGET->BINANCE,0.20905923344947736,120,574,16714,Full,2025-09-01,1S
BITGET->COINBASE,0.20209059233449478,116,574,16707,Full,2025-09-01,1S
BITGET->BYBITSPOT,0.22822299651567945,131,574,16432,Full,2025-09-01,1S
BINANCE->COINBASE,0.5854545454545454,161,275,6190,Vol_Low,2025-09-01,1S
BINANCE->BYBITSPOT,0.26022304832713755,70,269,6103,Vol_Low,2025-09-01,1S
BINANCE->BITGET,0.24719101123595505,66,267,5995,Vol_Low,2025-09-01,1S
COINBASE->BINANCE,0.2375886524822695,67,282,6220,Vol_Low,2025-09-01,1S
COINBASE->BYBITSPOT,0.32894736842105265,75,228,4770,Vol_Low,2025-09-01,1S
COINBASE->BITGET,0.2981651376146789,65,218,4676,Vol_Low,2025-09-01,1S
BYBITSPOT->BINANCE,0.29856115107913667,83,278,6102,Vol_Low,2025-09-01,1S
BYBITSPOT->COINBASE,0.23684210526315788,54,228,4774,Vol_Low,2025-09-01,1S
BYBITSPOT->BITGET,0.2607003891050584,67,257,5730,Vol_Low,2025-09-01,1S
BITGET->BINANCE,0.24727272727272728,68,275,5993,Vol_Low,2025-09-01,1S
BITGET->COINBASE,0.18636363636363637,41,220,4691,Vol_Low,2025-09-01,1S
BITGET->BYBITSPOT,0.2471042471042471,64,259,5748,Vol_Low,2025-09-01,1S
BINANCE->COINBASE,0.5345911949685535,170,318,5251,Vol_Med,2025-09-01,1S
BINANCE->BYBITSPOT,0.3079470198675497,93,302,5581,Vol_Med,2025-09-01,1S
BINANCE->BITGET,0.3242320819112628,95,293,5764,Vol_Med,2025-09-01,1S
COINBASE->BINANCE,0.2884012539184953,92,319,5250,Vol_Med,2025-09-01,1S
