day,frequency,rows_per_pair_median,pairs_analyzable,skip_low_n_pairs
2025-09-01,1S,16747.916666666668,12,0
2025-09-01,2S,16747.916666666668,12,0
2025-09-01,5S,16747.916666666668,12,0
2025-09-01,10S,8562.666666666666,12,0
2025-09-01,15S,5720.0,12,0
2025-09-01,30S,2861.1666666666665,12,0
2025-09-02,1S,16774.916666666668,12,0
2025-09-02,2S,16774.916666666668,12,0
2025-09-02,5S,16774.916666666668,12,0
2025-09-02,10S,8564.583333333334,12,0
2025-09-02,15S,5720.666666666667,12,0
2025-09-02,30S,2861.4166666666665,12,0
2025-09-03,1S,15757.583333333334,12,0
2025-09-03,2S,15757.583333333334,12,0
2025-09-03,5S,15757.583333333334,12,0
2025-09-03,10S,8309.75,12,0
2025-09-03,15S,5606.083333333333,12,0
2025-09-03,30S,2821.3333333333335,12,0
2025-09-04,1S,15084.416666666666,12,0
2025-09-04,2S,15084.416666666666,12,0
2025-09-04,5S,15084.416666666666,12,0
2025-09-04,10S,8121.583333333333,12,0
2025-09-04,15S,5515.166666666667,12,0
2025-09-04,30S,2787.9166666666665,12,0
2025-09-05,1S,12378.25,12,0
2025-09-05,2S,12378.25,12,0
2025-09-05,5S,12378.25,12,0
2025-09-05,10S,6711.0,12,0
2025-09-05,15S,4587.666666666667,12,0
2025-09-05,30S,2372.5833333333335,12,0
2025-09-06,1S,14314.25,12,0
2025-09-06,2S,14314.25,12,0
2025-09-06,5S,14314.25,12,0
2025-09-06,10S,7849.5,12,0
2025-09-06,15S,5379.916666666667,12,0
2025-09-06,30S,2745.8333333333335,12,0
2025-09-07,1S,13907.583333333334,12,0
2025-09-07,2S,13907.583333333334,12,0
2025-09-07,5S,13907.583333333334,12,0
2025-09-07,10S,7754.083333333333,12,0
2025-09-07,15S,5338.0,12,0
2025-09-07,30S,2738.0,12,0
