edge,lag,lag_s,coef,se,t,p_raw,n_obs
BINANCE->BITGET,1,15,-0.01702292813195849,0.01943540338765311,-0.8758721284258388,0.3811584634379108,3573
BINANCE->BITGET,3,45,-0.0071962255204080176,0.009831528806174116,-0.731953866207344,0.4642447858814678,3571
BINANCE->BITGET,6,90,0.009357484531207556,0.008533649069274946,1.0965396461988104,0.2729167270820234,3568
BINANCE->BYBITSPOT,1,15,-0.0011910839191605215,0.01195571750615512,-0.09962462884785625,0.9206479010666977,3593
BINANCE->BYBITSPOT,3,45,0.013565364500436418,0.011941468923287414,1.135987924733631,0.2560374671798513,3591
BINANCE->BYBITSPOT,6,90,-0.01536887751581252,0.008454945273588563,-1.817738260686512,0.06918755600878757,3588
BINANCE->COINBASE,1,15,0.0075046377692038185,0.00797364609782063,0.9411801924912367,0.34667574500401743,3598
BINANCE->COINBASE,3,45,-0.013024168176822754,0.008269394884864568,-1.5749844285052614,0.11534805468738107,3596
BINANCE->COINBASE,6,90,0.005532551761114282,0.009887402393781197,0.5595556386573332,0.5758174682813388,3593
BITGET->BINANCE,1,15,0.03611769580274603,0.03848847113666565,0.9384029746076059,0.348097472065775,3772
BITGET->BINANCE,3,45,-0.01866326990458071,0.021081786230148346,-0.88527934496798,0.3760624767121743,3770
BITGET->BINANCE,6,90,-0.024334175026227894,0.02767029509085557,-0.8794331591450866,0.37922258472891857,3767
BITGET->BYBITSPOT,1,15,0.01207238372033227,0.017690959838933828,0.6824041109269643,0.495011763103717,5586
BITGET->BYBITSPOT,3,45,0.0024951622826546184,0.015891144585866594,0.15701589455512147,0.8752380001208007,5584
BITGET->BYBITSPOT,6,90,0.01045798369764779,0.014290246766191275,0.7318266695288927,0.46430510771797606,5581
BITGET->COINBASE,1,15,0.014681075617068625,0.015166528572373087,0.9679918213988171,0.33308999766080705,5637
BITGET->COINBASE,3,45,0.004405218384768243,0.013304886204491054,0.33109778746407204,0.7405829384833589,5635
BITGET->COINBASE,6,90,0.0105810582354555,0.013145762893237791,0.8049025622467616,0.4209098987106279,5632
BYBITSPOT->BINANCE,1,15,0.01899182248443404,0.022368099664708214,0.8490583808690206,0.3959039304786862,3689
BYBITSPOT->BINANCE,3,45,-5.167124073022126e-05,0.02097066421423578,-0.0024639773066961143,0.9980341659104788,3687
BYBITSPOT->BINANCE,6,90,-0.0038329356393336745,0.017964553216709426,-0.21336103342489665,0.8310571840996341,3684
BYBITSPOT->BITGET,1,15,0.017645731145415986,0.015466671524892804,1.1408874312107875,0.25396759018773407,5378
BYBITSPOT->BITGET,3,45,0.013940762645393474,0.015434951113490965,0.9031944800400766,0.3664631691173885,5376
BYBITSPOT->BITGET,6,90,0.021170043271563223,0.01557287828405011,1.3594175004402225,0.17407139870968424,5373
BYBITSPOT->COINBASE,1,15,-0.006337323347624146,0.017419226144396987,-0.36381199113501317,0.7160117975891787,5746
BYBITSPOT->COINBASE,3,45,0.007035402655938032,0.018289915506598274,0.38466020542303425,0.7005034278422939,5744
BYBITSPOT->COINBASE,6,90,-0.015242268838678498,0.01766451245094028,-0.8628751504470283,0.3882421709592345,5741
COINBASE->BINANCE,1,15,-0.004200841794322025,0.020281862799759465,-0.2071230752222545,0.8359254850990294,3593
COINBASE->BINANCE,3,45,-0.016140271134082965,0.021896880365472316,-0.7371036816519968,0.4611074826760677,3591
COINBASE->BINANCE,6,90,0.0010105677751183467,0.02165691981772742,0.04666258099598907,0.9627847522155006,3588
COINBASE->BITGET,1,15,-0.018917129979403684,0.015678647014411726,-1.206553726352482,0.22765817373641117,5276
COINBASE->BITGET,3,45,0.04466148407237631,0.021430287010316698,2.0840357411394415,0.03720495088173359,5274
COINBASE->BITGET,6,90,0.009054684251132936,0.014524848337927587,0.6233926882037836,0.533053484955345,5271
COINBASE->BYBITSPOT,1,15,0.015571534314495587,0.013416530057464302,1.160623070779195,0.24584471948774334,5599
COINBASE->BYBITSPOT,3,45,0.01074763391624905,0.01704796075187298,0.630435163048358,0.5284356585536005,5597
COINBASE->BYBITSPOT,6,90,-0.026603532295805945,0.01789051448997514,-1.487018850727468,0.13706621197902957,5594
