edge,lag,lag_s,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs
BINANCE->BITGET,1,15,-0.016378014590697917,0.014769574445799382,-1.1089022673470454,0.26752702433187103,4879
BINANCE->BITGET,3,45,-0.009420217052927317,0.02032299628515638,-0.4635250098336979,0.6430087858991422,4877
BINANCE->BITGET,6,90,0.0007498388577894822,0.01942892975053795,0.03859393530252075,0.9692157188809742,4874
BINANCE->BYBITSPOT,1,15,0.008801892063810336,0.010601160230929366,0.8302762973179498,0.40642092358789084,5172
BINANCE->BYBITSPOT,3,45,0.0008400556639349532,0.00995583936031184,0.08437818585982494,0.9327590188151944,5170
BINANCE->BYBITSPOT,6,90,0.0071795415512914944,0.013411669745596141,0.5353204848821281,0.5924513106446017,5167
BINANCE->COINBASE,1,15,0.03156201585051623,0.024460517827156004,1.2903249258066058,0.19699010533757355,5713
BINANCE->COINBASE,3,45,-0.004017525137992583,0.013257314367743514,-0.3030421566956018,0.7618687762749834,5711
BINANCE->COINBASE,6,90,0.014450683693647583,0.01600561821249996,0.9028507054080538,0.36664324695631767,5708
BITGET->BINANCE,1,15,-0.007323869214077265,0.02032791177163816,-0.3602863538740683,0.7186472978679039,5325
BITGET->BINANCE,3,45,-0.012042805473947097,0.012853188264210062,-0.9369508347964146,0.3488263714158335,5323
BITGET->BINANCE,6,90,-0.00032109887534211966,0.009906302105832742,-0.03241359610394473,0.9741434364633439,5320
BITGET->BYBITSPOT,1,15,0.028103937288514687,0.015377357922890664,1.8276180751882802,0.06766425494448014,5194
BITGET->BYBITSPOT,3,45,0.011611370789511096,0.011735342808047665,0.9894360121758392,0.3224959875446878,5192
BITGET->BYBITSPOT,6,90,0.010692760539914914,0.017654496053729096,0.6056678427621456,0.5447618416901339,5189
BITGET->COINBASE,1,15,0.009143738709287764,0.009242874748271915,0.98927432842226,0.32257406710816694,5306
BITGET->COINBASE,3,45,-0.003597037460392357,0.01288370481297378,-0.2791927875256946,0.7801077678187851,5304
BITGET->COINBASE,6,90,-0.012303569257797107,0.01682441113685398,-0.731292712577979,0.46463271643195325,5301
BYBITSPOT->BINANCE,1,15,-0.001613654471792984,0.0160965055812303,-0.10024874427867268,0.9201503828508866,5688
BYBITSPOT->BINANCE,3,45,0.0025142714774054288,0.0130609689605375,0.1925026761032865,0.8473553490419374,5686
BYBITSPOT->BINANCE,6,90,-0.0077807004770885585,0.016449117545642634,-0.47301628525049133,0.6362197335962803,5683
BYBITSPOT->BITGET,1,15,0.008330683463343359,0.014021327618209138,0.594143699525608,0.5524417424697048,5224
BYBITSPOT->BITGET,3,45,-0.017495961611795306,0.013729298351450378,-1.2743522038726045,0.2025953508368863,5222
BYBITSPOT->BITGET,6,90,-0.020474291444791404,0.01501507401364039,-1.3635824522870554,0.17275785273881317,5219
BYBITSPOT->COINBASE,1,15,0.007571924485309574,0.021931192108825073,0.34525822617105456,0.7299130580933051,5671
BYBITSPOT->COINBASE,3,45,0.01488105815391098,0.016016757498014497,0.9290930549304812,0.3528804352154955,5669
BYBITSPOT->COINBASE,6,90,0.02381917215803976,0.013170129394966644,1.8085754090725157,0.070570000611339,5666
COINBASE->BINANCE,1,15,0.026373401413853942,0.015070501827827942,1.7500015404367624,0.08017132044844555,5759
COINBASE->BINANCE,3,45,0.014598031938571836,0.014844332446290404,0.9834077747443525,0.3254481255828563,5757
COINBASE->BINANCE,6,90,0.0426388270360243,0.019129832783324238,2.228917916793983,0.025857850212017253,5754
COINBASE->BITGET,1,15,-0.03145251067294259,0.030589158874230735,-1.0282241104523853,0.3038950789384298,4911
COINBASE->BITGET,3,45,-0.005123042489094891,0.014169837141852517,-0.3615456153665519,0.7177071778140309,4909
COINBASE->BITGET,6,90,-0.0017407634168342182,0.019550524121895348,-0.08903921991966822,0.9290543767631498,4906
COINBASE->BYBITSPOT,1,15,-0.03089873439042002,0.011015541537627722,-2.8050127435745016,0.005050144041141014,5202
COINBASE->BYBITSPOT,3,45,0.00046473361799114366,0.01380011545507101,0.03367606738539075,0.973136756611487,5200
COINBASE->BYBITSPOT,6,90,-0.000961531040943063,0.012483691611262488,-0.07702297292217573,0.9386082355974845,5197
