day,frequency,total_tests,bh_significant,placebo_robust,final_kept,mean_abs_beta,median_abs_beta
2025-09-01,1S,36,4,27,0,0.022405983640016204,0.010290752855299023
2025-09-01,2S,36,4,27,0,0.022405983640016204,0.010290752855299023
2025-09-01,5S,36,4,27,0,0.022405983640016204,0.010290752855299023
2025-09-01,10S,36,1,29,0,0.01712311994044332,0.00979249506544256
2025-09-01,15S,36,0,33,0,0.014061605898569798,0.011609431765397695
2025-09-01,30S,36,1,34,0,0.018490678349140803,0.013125239679620218
2025-09-02,1S,36,6,28,0,0.018448355947371625,0.009598628480550354
2025-09-02,2S,36,6,28,0,0.018448355947371625,0.009598628480550354
2025-09-02,5S,36,6,28,0,0.018448355947371625,0.009598628480550354
2025-09-02,10S,36,2,33,0,0.034981593821299596,0.007105851677347388
2025-09-02,15S,36,1,34,0,0.016309841400233952,0.012844241815200047
2025-09-02,30S,36,0,33,0,0.01905599410774669,0.014915311167670454
2025-09-03,1S,36,1,33,0,0.011766764188411386,0.010735051899264743
2025-09-03,2S,36,1,33,0,0.011766764188411386,0.010735051899264743
2025-09-03,5S,36,1,33,0,0.011766764188411386,0.010735051899264743
2025-09-03,10S,36,0,32,0,0.012116735027427383,0.009980348124686875
2025-09-03,15S,36,0,35,0,0.012577758435103182,0.01042866468510149
2025-09-03,30S,36,0,35,0,0.01607817030215666,0.01436385086921475
2025-09-04,1S,36,2,33,0,0.012481458227770909,0.008733083902242787
2025-09-04,2S,36,2,33,0,0.012481458227770909,0.008733083902242787
2025-09-04,5S,36,2,33,0,0.012481458227770909,0.008733083902242787
2025-09-04,10S,36,0,33,0,0.010747048095406957,0.00855035195203226
2025-09-04,15S,36,0,36,0,0.011342302186606482,0.010879549112418915
2025-09-04,30S,36,0,35,0,0.014941947302693595,0.012834457993256478
2025-09-05,1S,36,1,33,0,0.010084485509571839,0.006761431600868843
2025-09-05,2S,36,1,33,0,0.010084485509571839,0.006761431600868843
2025-09-05,5S,36,1,33,0,0.010084485509571839,0.006761431600868843
2025-09-05,10S,36,0,35,0,0.009983087979633896,0.008692354321384044
2025-09-05,15S,36,0,35,0,0.01318686070276956,0.012548275948577513
2025-09-05,30S,36,0,36,0,0.011167763014935515,0.008970904116745192
2025-09-06,1S,36,2,34,0,0.011234768090978856,0.007146989139456036
2025-09-06,2S,36,2,34,0,0.011234768090978856,0.007146989139456036
2025-09-06,5S,36,2,34,0,0.011234768090978856,0.007146989139456036
2025-09-06,10S,36,0,32,0,0.009854383039645915,0.007741879995506514
2025-09-06,15S,36,0,34,0,0.011915986362404894,0.00965505345291938
2025-09-06,30S,36,0,36,0,0.01824876991591687,0.015989332425559662
2025-09-07,1S,36,1,33,0,0.010227769685116288,0.008422406993530487
2025-09-07,2S,36,1,33,0,0.010227769685116288,0.008422406993530487
2025-09-07,5S,36,1,33,0,0.010227769685116288,0.008422406993530487
2025-09-07,10S,36,0,34,0,0.010682225053796486,0.008259931685215043
2025-09-07,15S,36,0,34,0,0.0124242573842096,0.009281977881107541
2025-09-07,30S,36,0,32,0,0.020062450862391876,0.016026674959249143
