frequency,edge,n_days,pooled_beta,pooled_se,pooled_mde_05,pooled_mde_10,pooled_power_05,pooled_power_10,exceeds_mde_05,exceeds_mde_10
1S,BINANCE->BITGET,21,0.008285539374929072,0.0019688645776861466,0.0055159418973117404,0.0048955322761935665,0.9877220731823748,0.9948178110679293,True,True
1S,BINANCE->BYBITSPOT,21,0.0014727219458392812,0.001854662417077401,0.005195994812273716,0.004611571474822352,0.12182758306167629,0.19744330539883875,False,False
1S,BINANCE->COINBASE,21,0.020196919514105616,0.0022792482898110404,0.0063855083171438735,0.005667293573508352,0.9999999999974227,0.999999999999733,True,True
1S,BITGET->BINANCE,21,0.0003989431170996087,0.0023377838944920607,0.006549500801951524,0.005812840882993303,0.03678214173486574,0.07021340382473021,False,False
1S,BITGET->BYBITSPOT,21,0.004446265899392193,0.0021989643901574028,0.006160586130621777,0.0054676696753147205,0.5247256638618476,0.6469608094638146,False,False
1S,BITGET->COINBASE,21,-0.0027445175207700743,0.0018523990113849128,0.005189653688343048,0.004605943573468812,0.0002891790196829402,0.0008846369194203447,False,False
1S,BYBITSPOT->BINANCE,21,5.6846688332654964e-05,0.0021797190551545893,0.0061066686845602635,0.005419816633647855,0.026563685982787286,0.052747970279045375,False,False
1S,BYBITSPOT->BITGET,21,-0.0006488549944216695,0.0023200409698986677,0.006499792486684581,0.005768723547039651,0.012557219333037835,0.027144244496626294,False,False
1S,BYBITSPOT->COINBASE,21,-0.0007460538938432997,0.0019743768031759714,0.005531384866762939,0.004909238286299557,0.009697981799489514,0.02155092584189525,False,False
1S,COINBASE->BINANCE,21,0.008814528608111697,0.002686603283791423,0.0075267480468038115,0.006680171525349637,0.9067418706703496,0.9490870799250031,True,True
1S,COINBASE->BITGET,21,0.0029568124501790504,0.0021906813283115354,0.0061373804269936804,0.0054470740502668025,0.2708510127721002,0.3839469557126336,False,False
1S,COINBASE->BYBITSPOT,21,0.0003231599251407889,0.002179003708066988,0.00610466457873382,0.005418037941097984,0.03501955104940558,0.06725553913408547,False,False
2S,BINANCE->BITGET,21,0.008285539374929072,0.0019688645776861466,0.0055159418973117404,0.0048955322761935665,0.9877220731823748,0.9948178110679293,True,True
2S,BINANCE->BYBITSPOT,21,0.0014727219458392812,0.001854662417077401,0.005195994812273716,0.004611571474822352,0.12182758306167629,0.19744330539883875,False,False
2S,BINANCE->COINBASE,21,0.020196919514105616,0.0022792482898110404,0.0063855083171438735,0.005667293573508352,0.9999999999974227,0.999999999999733,True,True
2S,BITGET->BINANCE,21,0.0003989431170996087,0.0023377838944920607,0.006549500801951524,0.005812840882993303,0.03678214173486574,0.07021340382473021,False,False
2S,BITGET->BYBITSPOT,21,0.004446265899392193,0.0021989643901574028,0.006160586130621777,0.0054676696753147205,0.5247256638618476,0.6469608094638146,False,False
2S,BITGET->COINBASE,21,-0.0027445175207700743,0.0018523990113849128,0.005189653688343048,0.004605943573468812,0.0002891790196829402,0.0008846369194203447,False,False
2S,BYBITSPOT->BINANCE,21,5.6846688332654964e-05,0.0021797190551545893,0.0061066686845602635,0.005419816633647855,0.026563685982787286,0.052747970279045375,False,False
2S,BYBITSPOT->BITGET,21,-0.0006488549944216695,0.0023200409698986677,0.006499792486684581,0.005768723547039651,0.012557219333037835,0.027144244496626294,False,False
2S,BYBITSPOT->COINBASE,21,-0.0007460538938432997,0.0019743768031759714,0.005531384866762939,0.004909238286299557,0.009697981799489514,0.02155092584189525,False,False
2S,COINBASE->BINANCE,21,0.008814528608111697,0.002686603283791423,0.0075267480468038115,0.006680171525349637,0.9067418706703496,0.9490870799250031,True,True
2S,COINBASE->BITGET,21,0.0029568124501790504,0.0021906813283115354,0.0061373804269936804,0.0054470740502668025,0.2708510127721002,0.3839469557126336,False,False
2S,COINBASE->BYBITSPOT,21,0.0003231599251407889,0.002179003708066988,0.00610466457873382,0.005418037941097984,0.03501955104940558,0.06725553913408547,False,False
5S,BINANCE->BITGET,21,0.008285539374929072,0.0019688645776861466,0.0055159418973117404,0.0048955322761935665,0.9877220731823748,0.9948178110679293,True,True
5S,BINANCE->BYBITSPOT,21,0.0014727219458392812,0.001854662417077401,0.005195994812273716,0.004611571474822352,0.12182758306167629,0.19744330539883875,False,False
5S,BINANCE->COINBASE,21,0.020196919514105616,0.0022792482898110404,0.0063855083171438735,0.005667293573508352,0.9999999999974227,0.999999999999733,True,True
5S,BITGET->BINANCE,21,0.0003989431170996087,0.0023377838944920607,0.006549500801951524,0.005812840882993303,0.03678214173486574,0.07021340382473021,False,False
5S,BITGET->BYBITSPOT,21,0.004446265899392193,0.0021989643901574028,0.006160586130621777,0.0054676696753147205,0.5247256638618476,0.6469608094638146,False,False
5S,BITGET->COINBASE,21,-0.0027445175207700743,0.0018523990113849128,0.005189653688343048,0.004605943573468812,0.0002891790196829402,0.0008846369194203447,False,False
5S,BYBITSPOT->BINANCE,21,5.6846688332654964e-05,0.0021797190551545893,0.0061066686845602635,0.005419816633647855,0.026563685982787286,0.052747970279045375,False,False
5S,BYBITSPOT->BITGET,21,-0.0006488549944216695,0.0023200409698986677,0.006499792486684581,0.005768723547039651,0.012557219333037835,0.027144244496626294,False,False
5S,BYBITSPOT->COINBASE,21,-0.0007460538938432997,0.0019743768031759714,0.005531384866762939,0.004909238286299557,0.009697981799489514,0.02155092584189525,False,False
5S,COINBASE->BINANCE,21,0.008814528608111697,0.002686603283791423,0.0075267480468038115,0.006680171525349637,0.9067418706703496,0.9490870799250031,True,True
5S,COINBASE->BITGET,21,0.0029568124501790504,0.0021906813283115354,0.0061373804269936804,0.0054470740502668025,0.2708510127721002,0.3839469557126336,False,False
5S,COINBASE->BYBITSPOT,21,0.0003231599251407889,0.002179003708066988,0.00610466457873382,0.005418037941097984,0.03501955104940558,0.06725553913408547,False,False
10S,BINANCE->BITGET,21,0.02589435290103414,0.00272733985465094,0.0076408750215604445,0.006781461984695796,0.9999999999999755,0.9999999999999979,True,True
10S,BINANCE->BYBITSPOT,21,0.0018160105661956872,0.0022270380156664722,0.006239236784866826,0.005537474039386797,0.12620270404077144,0.20343452180415317,False,False
10S,BINANCE->COINBASE,21,0.0064582664801244105,0.002642855057877653,0.007404183663765126,0.006571392661422507,0.6857028538731067,0.7878016468247356,False,False
10S,BITGET->BINANCE,21,0.0009237136395613447,0.002822586175891657,0.007907715707228077,0.007018289568018268,0.051265414131474826,0.09381950929423793,False,False
10S,BITGET->BYBITSPOT,21,0.0044106346959225575,0.0027791026487775008,0.0077858929004336426,0.006910168871001989,0.354614244449588,0.4769610999006619,False,False
10S,BITGET->COINBASE,21,-0.0022250493833856568,0.0023421441055255093,0.006561716304730687,0.005823682438114554,0.001807321216305889,0.004731487134808657,False,False
10S,BYBITSPOT->BINANCE,21,-0.00047418366801867676,0.002758788877185774,0.007728982138218138,0.006859659188616725,0.016509791954263685,0.03462887079009342,False,False
10S,BYBITSPOT->BITGET,21,-0.00014091936954130612,0.0028555372340792755,0.00800003090476769,0.007100221545829458,0.02225194872582737,0.0451133442731487,False,False
10S,BYBITSPOT->COINBASE,21,-1.908109654088008e-05,0.002597260092613062,0.007276445483059473,0.006458021926525618,0.024573706316317386,0.049246867534376924,False,False
10S,COINBASE->BINANCE,21,-0.0046676976692673145,0.0036354263470761805,0.010184956715507053,0.009039396219292926,0.0005895012670567425,0.0017013586279566372,False,False
10S,COINBASE->BITGET,21,0.003512672002362309,0.00287779917350179,0.008062399625180332,0.007155575298550058,0.22984620199630396,0.3356942702723119,False,False
10S,COINBASE->BYBITSPOT,21,0.0009340430969718334,0.0027585223005037064,0.007728235300926163,0.006858996352398362,0.05247008929137668,0.09573361952677611,False,False
15S,BINANCE->BITGET,21,0.0011536311117242217,0.0031707897227894427,0.00888323761711142,0.007884088933725037,0.05522953586714598,0.10009283250408729,False,False
15S,BINANCE->BYBITSPOT,21,0.00025073732298510357,0.0027595226276237264,0.007731037802598889,0.006861483640634593,0.030804353262455536,0.06009327514497672,False,False
