edge,jaccard,precision,recall,mutual_info,residual_windows,vmm_windows,day,frequency
COINBASE->BYBITSPOT,0.21863799283154123,0.21863799283154123,1.0,0.0,279,61,2025-09-04,1S
BINANCE->BITGET,0.22265625,0.22265625,1.0,0.0,256,57,2025-09-04,1S
BYBITSPOT->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,1S
BITGET->BINANCE,0.27177700348432055,0.27177700348432055,1.0,0.0,287,78,2025-09-04,1S
COINBASE->BINANCE,0.40418118466898956,0.40418118466898956,1.0,0.0,287,116,2025-09-04,1S
BITGET->BYBITSPOT,0.18815331010452963,0.18815331010452963,1.0,0.0,287,54,2025-09-04,1S
BINANCE->BYBITSPOT,0.19784172661870503,0.19784172661870503,1.0,0.0,278,55,2025-09-04,1S
BINANCE->COINBASE,0.19230769230769232,0.19230769230769232,1.0,0.0,286,55,2025-09-04,1S
COINBASE->BITGET,0.2607003891050584,0.2607003891050584,1.0,0.0,257,67,2025-09-04,1S
BYBITSPOT->BINANCE,0.24390243902439024,0.24390243902439024,1.0,0.0,287,70,2025-09-04,1S
BITGET->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,1S
BYBITSPOT->BITGET,0.2537878787878788,0.2537878787878788,1.0,0.0,264,67,2025-09-04,1S
COINBASE->BYBITSPOT,0.21863799283154123,0.21863799283154123,1.0,0.0,279,61,2025-09-04,2S
BINANCE->BITGET,0.22265625,0.22265625,1.0,0.0,256,57,2025-09-04,2S
BYBITSPOT->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,2S
BITGET->BINANCE,0.27177700348432055,0.27177700348432055,1.0,0.0,287,78,2025-09-04,2S
COINBASE->BINANCE,0.40418118466898956,0.40418118466898956,1.0,0.0,287,116,2025-09-04,2S
BITGET->BYBITSPOT,0.18815331010452963,0.18815331010452963,1.0,0.0,287,54,2025-09-04,2S
BINANCE->BYBITSPOT,0.19784172661870503,0.19784172661870503,1.0,0.0,278,55,2025-09-04,2S
BINANCE->COINBASE,0.19230769230769232,0.19230769230769232,1.0,0.0,286,55,2025-09-04,2S
COINBASE->BITGET,0.2607003891050584,0.2607003891050584,1.0,0.0,257,67,2025-09-04,2S
BYBITSPOT->BINANCE,0.24390243902439024,0.24390243902439024,1.0,0.0,287,70,2025-09-04,2S
BITGET->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,2S
BYBITSPOT->BITGET,0.2537878787878788,0.2537878787878788,1.0,0.0,264,67,2025-09-04,2S
COINBASE->BYBITSPOT,0.21863799283154123,0.21863799283154123,1.0,0.0,279,61,2025-09-04,5S
BINANCE->BITGET,0.22265625,0.22265625,1.0,0.0,256,57,2025-09-04,5S
BYBITSPOT->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,5S
BITGET->BINANCE,0.27177700348432055,0.27177700348432055,1.0,0.0,287,78,2025-09-04,5S
COINBASE->BINANCE,0.40418118466898956,0.40418118466898956,1.0,0.0,287,116,2025-09-04,5S
BITGET->BYBITSPOT,0.18815331010452963,0.18815331010452963,1.0,0.0,287,54,2025-09-04,5S
BINANCE->BYBITSPOT,0.19784172661870503,0.19784172661870503,1.0,0.0,278,55,2025-09-04,5S
BINANCE->COINBASE,0.19230769230769232,0.19230769230769232,1.0,0.0,286,55,2025-09-04,5S
COINBASE->BITGET,0.2607003891050584,0.2607003891050584,1.0,0.0,257,67,2025-09-04,5S
BYBITSPOT->BINANCE,0.24390243902439024,0.24390243902439024,1.0,0.0,287,70,2025-09-04,5S
BITGET->COINBASE,0.2264808362369338,0.2264808362369338,1.0,0.0,287,65,2025-09-04,5S
BYBITSPOT->BITGET,0.2537878787878788,0.2537878787878788,1.0,0.0,264,67,2025-09-04,5S
COINBASE->BYBITSPOT,0.2974910394265233,0.2974910394265233,1.0,0.0,279,83,2025-09-04,10S
BINANCE->BITGET,0.296875,0.296875,1.0,0.0,256,76,2025-09-04,10S
BYBITSPOT->COINBASE,0.2508710801393728,0.2508710801393728,1.0,0.0,287,72,2025-09-04,10S
BITGET->BINANCE,0.2926829268292683,0.2926829268292683,1.0,0.0,287,84,2025-09-04,10S
COINBASE->BINANCE,0.3693379790940767,0.3693379790940767,1.0,0.0,287,106,2025-09-04,10S
BITGET->BYBITSPOT,0.24390243902439024,0.24390243902439024,1.0,0.0,287,70,2025-09-04,10S
BINANCE->BYBITSPOT,0.18705035971223022,0.18705035971223022,1.0,0.0,278,52,2025-09-04,10S
BINANCE->COINBASE,0.25524475524475526,0.25524475524475526,1.0,0.0,286,73,2025-09-04,10S
COINBASE->BITGET,0.29571984435797666,0.29571984435797666,1.0,0.0,257,76,2025-09-04,10S
BYBITSPOT->BINANCE,0.2926829268292683,0.2926829268292683,1.0,0.0,287,84,2025-09-04,10S
BITGET->COINBASE,0.21951219512195122,0.21951219512195122,1.0,0.0,287,63,2025-09-04,10S
BYBITSPOT->BITGET,0.25,0.25,1.0,0.0,264,66,2025-09-04,10S
COINBASE->BYBITSPOT,0.3655913978494624,0.3655913978494624,1.0,0.0,279,102,2025-09-04,15S
BINANCE->BITGET,0.35546875,0.35546875,1.0,0.0,256,91,2025-09-04,15S
BYBITSPOT->COINBASE,0.30313588850174217,0.30313588850174217,1.0,0.0,287,87,2025-09-04,15S
BITGET->BINANCE,0.37630662020905925,0.37630662020905925,1.0,0.0,287,108,2025-09-04,15S
COINBASE->BINANCE,0.40069686411149824,0.40069686411149824,1.0,0.0,287,115,2025-09-04,15S
BITGET->BYBITSPOT,0.3170731707317073,0.3170731707317073,1.0,0.0,287,91,2025-09-04,15S
BINANCE->BYBITSPOT,0.2841726618705036,0.2841726618705036,1.0,0.0,278,79,2025-09-04,15S
BINANCE->COINBASE,0.23776223776223776,0.23776223776223776,1.0,0.0,286,68,2025-09-04,15S
COINBASE->BITGET,0.4357976653696498,0.4357976653696498,1.0,0.0,257,112,2025-09-04,15S
BYBITSPOT->BINANCE,0.43902439024390244,0.43902439024390244,1.0,0.0,287,126,2025-09-04,15S
BITGET->COINBASE,0.2613240418118467,0.2613240418118467,1.0,0.0,287,75,2025-09-04,15S
BYBITSPOT->BITGET,0.3787878787878788,0.3787878787878788,1.0,0.0,264,100,2025-09-04,15S
COINBASE->BYBITSPOT,0.3381294964028777,0.3381294964028777,1.0,0.0,278,94,2025-09-04,30S
