day,frequency,bh_significant,placebo_robust,final_kept,mean_abs_beta,median_abs_beta
2025-09-01,1S,4,27,0,0.0224059836400162,0.010290752855299
2025-09-01,2S,4,27,0,0.0224059836400162,0.010290752855299
2025-09-01,5S,4,27,0,0.0224059836400162,0.010290752855299
2025-09-01,10S,1,29,0,0.0171231199404433,0.0097924950654425
2025-09-01,15S,0,33,0,0.0140616058985697,0.0116094317653976
2025-09-01,30S,1,34,0,0.0184906783491408,0.0131252396796202
2025-09-02,1S,6,28,0,0.0184483559473716,0.0095986284805503
2025-09-02,2S,6,28,0,0.0184483559473716,0.0095986284805503
2025-09-02,5S,6,28,0,0.0184483559473716,0.0095986284805503
2025-09-02,10S,2,33,0,0.0349815938212995,0.0071058516773473
2025-09-02,15S,1,34,0,0.0163098414002339,0.0128442418152
2025-09-02,30S,0,33,0,0.0190559941077466,0.0149153111676704
2025-09-03,1S,1,33,0,0.0117667641884113,0.0107350518992647
2025-09-03,2S,1,33,0,0.0117667641884113,0.0107350518992647
2025-09-03,5S,1,33,0,0.0117667641884113,0.0107350518992647
2025-09-03,10S,0,32,0,0.0121167350274273,0.0099803481246868
2025-09-03,15S,0,35,0,0.0125777584351031,0.0104286646851014
2025-09-03,30S,0,35,0,0.0160781703021566,0.0143638508692147
2025-09-04,1S,2,33,0,0.0124814582277709,0.0087330839022427
2025-09-04,2S,2,33,0,0.0124814582277709,0.0087330839022427
2025-09-04,5S,2,33,0,0.0124814582277709,0.0087330839022427
2025-09-04,10S,0,33,0,0.0107470480954069,0.0085503519520322
2025-09-04,15S,0,36,0,0.0113423021866064,0.0108795491124189
2025-09-04,30S,0,35,0,0.0149419473026935,0.0128344579932564
2025-09-05,1S,1,33,0,0.0100844855095718,0.0067614316008688
2025-09-05,2S,1,33,0,0.0100844855095718,0.0067614316008688
2025-09-05,5S,1,33,0,0.0100844855095718,0.0067614316008688
2025-09-05,10S,0,35,0,0.0099830879796338,0.008692354321384
2025-09-05,15S,0,35,0,0.0131868607027695,0.0125482759485775
2025-09-05,30S,0,36,0,0.0111677630149355,0.0089709041167451
2025-09-06,1S,2,34,0,0.0112347680909788,0.007146989139456
2025-09-06,2S,2,34,0,0.0112347680909788,0.007146989139456
2025-09-06,5S,2,34,0,0.0112347680909788,0.007146989139456
2025-09-06,10S,0,32,0,0.0098543830396459,0.0077418799955065
2025-09-06,15S,0,34,0,0.0119159863624048,0.0096550534529193
2025-09-06,30S,0,36,0,0.0182487699159168,0.0159893324255596
2025-09-07,1S,1,33,0,0.0102277696851162,0.0084224069935304
2025-09-07,2S,1,33,0,0.0102277696851162,0.0084224069935304
2025-09-07,5S,1,33,0,0.0102277696851162,0.0084224069935304
2025-09-07,10S,0,34,0,0.0106822250537964,0.008259931685215
2025-09-07,15S,0,34,0,0.0124242573842096,0.0092819778811075
2025-09-07,30S,0,32,0,0.0200624508623918,0.0160266749592491
