day,frequency,bh_alpha,total_tests,tier_1_count,tier_2_count,tier_0_count
2025-09-01,1S,0.05,36,4,0,32
2025-09-01,1S,0.1,36,0,0,36
2025-09-01,2S,0.05,36,4,0,32
2025-09-01,2S,0.1,36,0,0,36
2025-09-01,5S,0.05,36,4,0,32
2025-09-01,5S,0.1,36,0,0,36
2025-09-01,10S,0.05,36,1,0,35
2025-09-01,10S,0.1,36,0,0,36
2025-09-01,15S,0.05,36,0,0,36
2025-09-01,15S,0.1,36,0,0,36
2025-09-01,30S,0.05,36,1,0,35
2025-09-01,30S,0.1,36,0,0,36
2025-09-02,1S,0.05,36,6,0,30
2025-09-02,1S,0.1,36,0,0,36
2025-09-02,2S,0.05,36,6,0,30
2025-09-02,2S,0.1,36,0,0,36
2025-09-02,5S,0.05,36,6,0,30
2025-09-02,5S,0.1,36,0,0,36
2025-09-02,10S,0.05,36,2,0,34
2025-09-02,10S,0.1,36,0,0,36
2025-09-02,15S,0.05,36,1,0,35
2025-09-02,15S,0.1,36,0,0,36
2025-09-02,30S,0.05,36,0,0,36
2025-09-02,30S,0.1,36,0,0,36
2025-09-03,1S,0.05,36,1,0,35
2025-09-03,1S,0.1,36,0,0,36
2025-09-03,2S,0.05,36,1,0,35
2025-09-03,2S,0.1,36,0,0,36
2025-09-03,5S,0.05,36,1,0,35
2025-09-03,5S,0.1,36,0,0,36
2025-09-03,10S,0.05,36,0,0,36
2025-09-03,10S,0.1,36,0,0,36
2025-09-03,15S,0.05,36,0,0,36
2025-09-03,15S,0.1,36,0,0,36
2025-09-03,30S,0.05,36,0,0,36
2025-09-03,30S,0.1,36,0,0,36
2025-09-04,1S,0.05,36,2,0,34
2025-09-04,1S,0.1,36,0,0,36
2025-09-04,2S,0.05,36,2,0,34
2025-09-04,2S,0.1,36,0,0,36
2025-09-04,5S,0.05,36,2,0,34
2025-09-04,5S,0.1,36,0,0,36
2025-09-04,10S,0.05,36,0,0,36
2025-09-04,10S,0.1,36,0,0,36
2025-09-04,15S,0.05,36,0,0,36
2025-09-04,15S,0.1,36,0,0,36
2025-09-04,30S,0.05,36,0,0,36
2025-09-04,30S,0.1,36,0,0,36
2025-09-05,1S,0.05,36,1,0,35
2025-09-05,1S,0.1,36,0,0,36
2025-09-05,2S,0.05,36,1,0,35
2025-09-05,2S,0.1,36,0,0,36
2025-09-05,5S,0.05,36,1,0,35
2025-09-05,5S,0.1,36,0,0,36
2025-09-05,10S,0.05,36,0,0,36
2025-09-05,10S,0.1,36,0,0,36
2025-09-05,15S,0.05,36,0,0,36
2025-09-05,15S,0.1,36,0,0,36
2025-09-05,30S,0.05,36,0,0,36
2025-09-05,30S,0.1,36,0,0,36
2025-09-06,1S,0.05,36,2,0,34
2025-09-06,1S,0.1,36,0,0,36
2025-09-06,2S,0.05,36,2,0,34
2025-09-06,2S,0.1,36,0,0,36
2025-09-06,5S,0.05,36,2,0,34
2025-09-06,5S,0.1,36,0,0,36
2025-09-06,10S,0.05,36,0,0,36
2025-09-06,10S,0.1,36,0,0,36
2025-09-06,15S,0.05,36,0,0,36
2025-09-06,15S,0.1,36,0,0,36
2025-09-06,30S,0.05,36,0,0,36
2025-09-06,30S,0.1,36,0,0,36
2025-09-07,1S,0.05,36,1,0,35
2025-09-07,1S,0.1,36,0,0,36
2025-09-07,2S,0.05,36,1,0,35
2025-09-07,2S,0.1,36,0,0,36
2025-09-07,5S,0.05,36,1,0,35
2025-09-07,5S,0.1,36,0,0,36
2025-09-07,10S,0.05,36,0,0,36
2025-09-07,10S,0.1,36,0,0,36
2025-09-07,15S,0.05,36,0,0,36
2025-09-07,15S,0.1,36,0,0,36
2025-09-07,30S,0.05,36,0,0,36
2025-09-07,30S,0.1,36,0,0,36
