edge,lag,alpha,beta,gamma,delta1_eu,delta2_us,beta_t,gamma_t,beta_p,gamma_p,r_squared,n_obs,lambda_used,cond_pre,cond_post,gamma_significant,gamma_fdr_corrected,gamma_fdr_rejected,interpretation
BINANCE_to_COINBASE,3,-2.4569085834529386e-06,-0.004277472640570143,-0.0018442175913003088,0.0,0.0,-0.5751163316815668,-0.2500120369794217,0.5652201234745231,0.8025810168636376,2.412298993359485e-05,17257,0.001,inf,17257001.00300142,False,0.9946316932368473,False,wash_dampens
BINANCE_to_BYBITSPOT,3,1.461215953490062e-05,0.0030205885539090586,-0.001314381597711732,0.0,0.0,0.4054088667489162,-0.17787030050796648,0.6851820216600428,0.8588269239673223,1.1940218404782321e-05,17257,0.001,inf,17257001.00300142,False,0.9946316932368473,False,wash_dampens
BINANCE_to_BITGET,3,4.548812399466984e-06,-0.007157366294441346,4.945174313597607e-05,0.0,0.0,-0.9658244038073259,0.006728323027052988,0.33414559322132753,0.9946316932368473,5.7029036199640615e-05,17257,0.001,inf,17257001.00300142,False,0.9946316932368473,False,mixed
COINBASE_to_BINANCE,3,1.2672418609999808e-05,-0.00018599591671081432,-0.006217578038544319,0.0,0.0,-0.025242185531972484,-0.8362998231849745,0.9798620804223643,0.40299783557509716,4.2845810532821105e-05,17257,0.001,inf,17257001.002717998,False,0.9946316932368473,False,wash_dampens
COINBASE_to_BYBITSPOT,3,1.4685911287724312e-05,0.0010036231619591864,-0.002279734630348988,0.0,0.0,0.13531908373343984,-0.3046420750157518,0.8923611759200405,0.7606424456896592,6.748662325750665e-06,17257,0.001,inf,17257001.002717998,False,0.9946316932368473,False,wash_dampens
COINBASE_to_BITGET,3,4.563145317121847e-06,0.016487889785003863,-0.0051874393766465545,0.0,0.0,2.2354132469644092,-0.6970484958188298,0.025402974102011422,0.4857818371332119,0.00033321169747335677,17257,0.001,inf,17257001.002717998,False,0.9946316932368473,False,wash_dampens
BYBITSPOT_to_BINANCE,3,1.2612328388718893e-05,-0.0012241845619018355,-0.00047182221080383326,0.0,0.0,-0.16642942814853803,-0.06466844618982243,0.8678209669549304,0.9484387357706758,1.9496546941333293e-06,17257,0.001,inf,17257001.00403065,False,0.9946316932368473,False,wash_dampens
BYBITSPOT_to_COINBASE,3,-2.7108987554127045e-06,0.015430577870068454,0.004431708629694247,0.0,0.0,2.0881636933421897,0.6046225929337327,0.03679769855819126,0.5454377429449306,0.0002888853458138385,17257,0.001,inf,17257001.00403065,False,0.9946316932368473,False,reinforcing
BYBITSPOT_to_BITGET,3,4.35465039495369e-06,0.006402048191147204,-0.002377245010769695,0.0,0.0,0.869399318171952,-0.32546562286301156,0.38464085105077794,0.7448326435182377,5.2594674937900265e-05,17257,0.001,inf,17257001.00403065,False,0.9946316932368473,False,wash_dampens
BITGET_to_BINANCE,3,1.2572464089155517e-05,-0.011340377752033172,-0.005776984285973546,0.0,0.0,-1.5338131884482427,-0.7820420098173478,0.12509395463214457,0.43420061803690446,0.00018238905997891575,17257,0.001,inf,17257001.003158186,False,0.9946316932368473,False,wash_dampens
BITGET_to_COINBASE,3,-2.3090875964795574e-06,-0.000839173549471665,0.014887327874307162,0.0,0.0,-0.112965923455793,2.0058403992455607,0.9100588857587484,0.044888862788218464,0.00024644683547037083,17257,0.001,inf,17257001.003158186,True,0.2693331767293108,False,wash_causal_channel
BITGET_to_BYBITSPOT,3,1.4899938717205917e-05,-0.005963189699965947,0.017065691529696524,0.0,0.0,-0.8013729575786223,2.295429187401021,0.42292680251034986,0.02172047988488912,0.0003593840804417825,17257,0.001,inf,17257001.003158186,True,0.26064575861866945,False,mixed
