edge,lag,lambda,cond_pre,cond_post,success
BINANCE_to_COINBASE,3,0.001,inf,17257001.00300142,True
BINANCE_to_BYBITSPOT,3,0.001,inf,17257001.00300142,True
BINANCE_to_BITGET,3,0.001,inf,17257001.00300142,True
COINBASE_to_BINANCE,3,0.001,inf,17257001.002717998,True
COINBASE_to_BYBITSPOT,3,0.001,inf,17257001.002717998,True
COINBASE_to_BITGET,3,0.001,inf,17257001.002717998,True
BYBITSPOT_to_BINANCE,3,0.001,inf,17257001.00403065,True
BYBITSPOT_to_COINBASE,3,0.001,inf,17257001.00403065,True
BYBITSPOT_to_BITGET,3,0.001,inf,17257001.00403065,True
BITGET_to_BINANCE,3,0.001,inf,17257001.003158186,True
BITGET_to_COINBASE,3,0.001,inf,17257001.003158186,True
BITGET_to_BYBITSPOT,3,0.001,inf,17257001.003158186,True
